#Datasets	 2-5toNT	 1-5toNT
root;	 8	 8
root;cellular organisms;	 958	 958
root;cellular organisms;Bacteria;	 414	 414
root;cellular organisms;Bacteria;Actinobacteria;Actinobacteria (class);	 3	 3
root;cellular organisms;Bacteria;Actinobacteria;Actinobacteria (class);Actinobacteridae;	 3	 3
root;cellular organisms;Bacteria;Actinobacteria;Actinobacteria (class);Actinobacteridae;Actinomycetales;	 11	 11
root;cellular organisms;Bacteria;Actinobacteria;Actinobacteria (class);Actinobacteridae;Actinomycetales;Corynebacterineae;	 6	 6
root;cellular organisms;Bacteria;Actinobacteria;Actinobacteria (class);Actinobacteridae;Actinomycetales;Corynebacterineae;Nocardiaceae;	 1	 1
root;cellular organisms;Bacteria;Actinobacteria;Actinobacteria (class);Actinobacteridae;Actinomycetales;Corynebacterineae;Nocardiaceae;Rhodococcus;	 13	 13
root;cellular organisms;Bacteria;Actinobacteria;Actinobacteria (class);Actinobacteridae;Actinomycetales;Frankineae;	 7	 7
root;cellular organisms;Bacteria;Actinobacteria;Actinobacteria (class);Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;	 1	 1
root;cellular organisms;Bacteria;Actinobacteria;Actinobacteria (class);Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Clavibacter;Clavibacter michiganensis;	 8	 8
root;cellular organisms;Bacteria;Actinobacteria;Actinobacteria (class);Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;	 6	 6
root;cellular organisms;Bacteria;Actinobacteria;Actinobacteria (class);Actinobacteridae;Actinomycetales;Pseudonocardineae;Pseudonocardiaceae;	 1	 1
root;cellular organisms;Bacteria;Actinobacteria;Actinobacteria (class);Actinobacteridae;Actinomycetales;Pseudonocardineae;Pseudonocardiaceae;Amycolatopsis;Amycolatopsis azurea;	 8	 8
root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;	 2	 2
root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;	 6	 6
root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;Bacteroidia;Bacteroidales;	 6	 6
root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;	 12	 12
root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacterium;	 19	 19
root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium johnsoniae;Flavobacterium johnsoniae UW101;	 74	 74
root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium psychrophilum;Flavobacterium psychrophilum JIP02/86;	 30	 30
root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Gramella;Gramella forsetii;Gramella forsetii KT0803;	 32	 32
root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;	 4	 4
root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobium/Pelodictyon group;	 3	 3
root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobium/Pelodictyon group;Chlorobium;	 1	 1
root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobium/Pelodictyon group;Chlorobium;Chlorobium chlorochromatii;Chlorobium chlorochromatii CaD3;	 5	 5
root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobium/Pelodictyon group;Chlorobium;Chlorobium limicola;Chlorobium limicola DSM 245;	 17	 17
root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chloroherpeton;Chloroherpeton thalassium;Chloroherpeton thalassium ATCC 35110;	 9	 9
root;cellular organisms;Bacteria;Chlamydiae/Verrucomicrobia group;Verrucomicrobia;	 3	 3
root;cellular organisms;Bacteria;Chlamydiae/Verrucomicrobia group;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae;Opitutus;Opitutus terrae;Opitutus terrae PB90-1;	 10	 10
root;cellular organisms;Bacteria;Chloroflexi;Chloroflexi (class);	 4	 4
root;cellular organisms;Bacteria;Chloroflexi;Chloroflexi (class);Chloroflexales;Chloroflexaceae;	 7	 7
root;cellular organisms;Bacteria;Cyanobacteria;	 2	 2
root;cellular organisms;Bacteria;Cyanobacteria;Chroococcales;	 4	 4
root;cellular organisms;Bacteria;Cyanobacteria;Chroococcales;Synechococcus;	 6	 6
root;cellular organisms;Bacteria;Firmicutes;	 1	 1
root;cellular organisms;Bacteria;Firmicutes;Clostridia;Clostridiales;	 1	 1
root;cellular organisms;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;	 1	 1
root;cellular organisms;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;	 2	 2
root;cellular organisms;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium difficile;Clostridium difficile 630;	 5	 5
root;cellular organisms;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales incertae sedis;Clostridiales Family XVIII. Incertae Sedis;Symbiobacterium;Symbiobacterium thermophilum;Symbiobacterium thermophilum IAM 14863;	 6	 6
root;cellular organisms;Bacteria;Nitrospirae;Nitrospira (class);Nitrospirales;Nitrospiraceae;	 1	 1
root;cellular organisms;Bacteria;Nitrospirae;Nitrospira (class);Nitrospirales;Nitrospiraceae;Leptospirillum;Leptospirillum sp. Group I;Leptospirillum ferrooxidans;	 5	 5
root;cellular organisms;Bacteria;Proteobacteria;	 1299	 1299
root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;	 111	 111
