Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|SapeloIsland_READ_00078643	231832	98.32	1e-57	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas; Unclassified; otu_3042
2|SapeloIsland_READ_00069151	207354	97.25	1e-48	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
3|SapeloIsland_READ_00108190	25807	99.14	7e-59	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Microbacteriaceae; Cryocola; otu_399
4|SapeloIsland_READ_00111028	207354	97.25	2e-49	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
5|SapeloIsland_READ_00114391	207354	96.36	6e-47	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
6|SapeloIsland_READ_00077450	226754	95.76	7e-50	Bacteria; Proteobacteria; Unclassified; otu_2091
7|SapeloIsland_READ_00073863	55371	100	7e-46	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
8|SapeloIsland_READ_00075193	55371	100	7e-46	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
9|SapeloIsland_READ_00086992	55371	100	7e-46	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
10|SapeloIsland_READ_00071778	221169	95.33	3e-42	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Legionellaceae; Legionella; Unclassified; otu_3240
11|SapeloIsland_READ_00067898	143237	97.14	1e-47	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
12|SapeloIsland_READ_00071899	55371	97.83	1e-41	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
13|SapeloIsland_READ_00081164	55371	97.83	1e-41	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
14|SapeloIsland_READ_00076560	143237	96.23	4e-45	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
15|SapeloIsland_READ_00094418	140716	98.94	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas; Unclassified; otu_3042
16|SapeloIsland_READ_00075466	55371	100	4e-41	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
17|SapeloIsland_READ_00079828	55371	100	4e-41	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
18|SapeloIsland_READ_00084659	55371	100	4e-41	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
19|SapeloIsland_READ_00113685	151211	95.96	6e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Ectothiorhodospiraceae; Thioalkalivibrio; Unclassified; otu_3107
20|SapeloIsland_READ_00118272	212699	96.84	5e-41	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Unclassified; otu_2139
21|SapeloIsland_READ_00103799	6901	93.64	2e-40	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; Unclassified; otu_2604
22|SapeloIsland_READ_00068581	233692	96.7	3e-39	Eukaryota; Metazoa; Mollusca; Bivalvia; Heteroconchia; Veneroida; Glossoidea; Vesicomyidae; Calyptogena; otu_3817
