Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|NCBI_NT_173110633	145117	99.12	1e-57	Bacteria; Unclassified; otu_205
2|SalternMetagenome_READ_02537139	105930	100	4e-54	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Collimonas; Unclassified; otu_2645
3|SalternMetagenome_READ_02525137	207827	100	7e-56	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
4|SalternMetagenome_READ_02518389	53334	98.96	5e-47	Bacteria; Proteobacteria; Gammaproteobacteria; Acidithiobacillales; Acidithiobacillaceae; Acidithiobacillus; Unclassified; otu_2976
5|SalternMetagenome_READ_02506555	187176	100	6e-50	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
6|SalternMetagenome_READ_02488834	91160	100	9e-52	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
7|SalternMetagenome_READ_02531258	81187	97.56	3e-58	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
8|SalternMetagenome_READ_02495673	91160	99	2e-49	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
9|SalternMetagenome_READ_02505996	210271	100	3e-45	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
10|SalternMetagenome_READ_02504582	91160	100	9e-52	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
11|SalternMetagenome_READ_02518589	91160	95.54	1e-45	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
12|SalternMetagenome_READ_02528484	110609	100	2e-53	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
13|SalternMetagenome_READ_02515458	91160	97.94	3e-45	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
14|SalternMetagenome_READ_02502194	91160	97.83	3e-42	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
15|SalternMetagenome_READ_02540900	132286	92.44	9e-40	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Janthinobacterium; Unclassified; otu_2654
16|SalternMetagenome_READ_02492455	132286	93.1	6e-41	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Janthinobacterium; Unclassified; otu_2654
17|SalternMetagenome_READ_02532621	170434	96.19	1e-44	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Bordetella; Unclassified; otu_2548
18|SalternMetagenome_READ_02517467	53447	100	2e-34	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; ant endosymbionts; Candidatus Blochmannia; otu_3123
21|SalternMetagenome_READ_02506467	50403	98.88	3e-42	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
24|SalternMetagenome_READ_02495952	50403	100	3e-45	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
1|rev|SalternMetagenome_READ_02504858	91160	100	2e-53	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
2|rev|SalternMetagenome_READ_02533750	168478	97.06	3e-45	Bacteria; Proteobacteria; Betaproteobacteria; Chitinimonas; otu_2680
3|rev|SalternMetagenome_READ_02496384	50403	100	3e-45	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
4|rev|SalternMetagenome_READ_02520166	50403	96.46	3e-49	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
5|rev|SalternMetagenome_READ_02518008	81187	97.35	3e-52	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
6|rev|SalternMetagenome_READ_02535778	207827	100	2e-49	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
7|rev|SalternMetagenome_READ_02528233	105930	97.39	2e-53	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Collimonas; Unclassified; otu_2645
8|rev|SalternMetagenome_READ_02494467	80181	95.88	3e-39	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
9|rev|SalternMetagenome_READ_02520423	207827	100	5e-60	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
10|rev|SalternMetagenome_READ_02505794	217655	96.67	2e-37	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Coxiellaceae; Rickettsiella; Unclassified; otu_3234
11|rev|SalternMetagenome_READ_02536106	91160	99.08	1e-54	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
12|rev|SalternMetagenome_READ_02535180	59347	98.73	6e-37	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium; Unclassified; otu_2245
13|rev|SalternMetagenome_READ_02499233	132693	89.83	5e-32	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
14|rev|SalternMetagenome_READ_02494411	50403	95.08	1e-48	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
15|rev|SalternMetagenome_READ_02489727	170434	96.15	5e-44	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Bordetella; Unclassified; otu_2548
16|rev|SalternMetagenome_READ_02507812	171306	92.79	2e-37	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia; Unclassified; otu_3153
17|rev|SalternMetagenome_READ_02534111	50403	100	7e-43	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
18|rev|NCBI_NT_184360286	53447	100	4e-35	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; ant endosymbionts; Candidatus Blochmannia; otu_3123
19|rev|SalternMetagenome_READ_02526545	110609	97.8	1e-41	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
20|rev|SalternMetagenome_READ_02525726	80181	93.55	2e-31	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
21|rev|SalternMetagenome_READ_02499852	80181	98.89	2e-43	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
24|rev|SalternMetagenome_READ_02527804	80181	100	6e-34	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
25|rev|SalternMetagenome_READ_02498302	50403	100	3e-42	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
