Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|WesternChannelOMM_READ_07138178	230366	97.33	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
2|WesternChannelOMM_READ_07130047	102326	91.59	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Stella; Unclassified; otu_2422
3|WesternChannelOMM_READ_07202061	5655	93.36	0.0	Bacteria; Unclassified; otu_205
4|WesternChannelOMM_READ_07216397	5645	95.52	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
5|WesternChannelOMM_READ_07125831	184706	94.07	4e-45	Bacteria; Actinobacteria; Candidatus Microthrix; Unclassified; otu_615
dup2WesternChannelOMM_READ_07125831	11402	95.35	8e-179	Bacteria; Actinobacteria; Candidatus Microthrix; Unclassified; otu_615
7|WesternChannelOMM_READ_07128579	11418	94.22	0.0	Bacteria; Actinobacteria; Candidatus Microthrix; Unclassified; otu_615
8|WesternChannelOMM_READ_07133033	11418	94.63	0.0	Bacteria; Actinobacteria; Candidatus Microthrix; Unclassified; otu_615
9|WesternChannelOMM_READ_07145654	184706	96.01	2e-142	Bacteria; Actinobacteria; Candidatus Microthrix; Unclassified; otu_615
dup2WesternChannelOMM_READ_07145654	191730	98.09	2e-78	Bacteria; Actinobacteria; Unclassified; otu_225
11|WesternChannelOMM_READ_07173133	91272	94.03	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Nitrincola; otu_3267
12|WesternChannelOMM_READ_07134809	11418	95.17	0.0	Bacteria; Actinobacteria; Candidatus Microthrix; Unclassified; otu_615
13|WesternChannelOMM_READ_07157172	93813	92.32	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Ectothiorhodospiraceae; Thioalkalivibrio; Unclassified; otu_3107
14|WesternChannelOMM_READ_07131789	92037	97.39	0.0	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
15|WesternChannelOMM_READ_07143393	120203	98.65	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium; Unclassified; otu_2225
16|WesternChannelOMM_READ_07216521	184706	92.73	2e-37	Bacteria; Actinobacteria; Candidatus Microthrix; Unclassified; otu_615
dup2WesternChannelOMM_READ_07216521	11402	94.6	1e-171	Bacteria; Actinobacteria; Candidatus Microthrix; Unclassified; otu_615
18|WesternChannelOMM_READ_07129237	149113	95.48	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium; Unclassified; otu_2225
19|WesternChannelOMM_READ_07107038	154294	95.43	8e-151	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
dup2WesternChannelOMM_READ_07107038	191730	97.86	3e-68	Bacteria; Actinobacteria; Unclassified; otu_225
21|WesternChannelOMM_READ_07147726	138778	95.66	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
22|WesternChannelOMM_READ_07167364	160075	95.17	0.0	Bacteria; Actinobacteria; Acidimicrobidae; Unclassified; otu_226
23|WesternChannelOMM_READ_07215920	160662	90.89	2e-180	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
24|WesternChannelOMM_READ_07147604	92037	96.67	0.0	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
25|WesternChannelOMM_READ_07108301	1673	89.94	1e-178	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Pelobacteraceae; Pelobacter; Unclassified; otu_2884
26|WesternChannelOMM_READ_07098001	154294	93.88	1e-143	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
dup2WesternChannelOMM_READ_07098001	108652	98.47	2e-65	Bacteria; Actinobacteria; Acidimicrobidae; Unclassified; otu_226
28|WesternChannelOMM_READ_07140685	103259	99.23	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Phaeospirillum; Unclassified; otu_2440
29|WesternChannelOMM_READ_07217873	11418	93.49	0.0	Bacteria; Actinobacteria; Candidatus Microthrix; Unclassified; otu_615
30|WesternChannelOMM_READ_07202098	160075	94.59	2e-60	Bacteria; Actinobacteria; Acidimicrobidae; Unclassified; otu_226
dup2WesternChannelOMM_READ_07202098	108652	96.1	2e-145	Bacteria; Actinobacteria; Acidimicrobidae; Unclassified; otu_226
32|WesternChannelOMM_READ_07142834	154294	95.67	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
34|WesternChannelOMM_READ_07143885	48787	96.99	6e-79	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
dup2WesternChannelOMM_READ_07143885	5655	93.62	4e-143	Bacteria; Unclassified; otu_205
36|WesternChannelOMM_READ_07208707	98298	95.81	0.0	Bacteria; Proteobacteria; Unclassified; otu_2091
37|WesternChannelOMM_READ_07169509	146638	90.18	3e-166	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinimicrobium; Unclassified; otu_3011
38|WesternChannelOMM_READ_07106513	164271	93.6	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
39|WesternChannelOMM_READ_07094372	48787	94.1	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
