Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|GeneExpression_READ_00346868	101111	96.67	5e-130	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
2|GeneExpression_READ_00330066	92037	100	2e-150	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
3|GeneExpression_READ_00318362	92037	98.86	2e-141	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
4|GeneExpression_READ_00312139	228462	98.12	2e-138	Bacteria; Unclassified; otu_205
5|GeneExpression_READ_00332726	228462	98.12	2e-138	Bacteria; Unclassified; otu_205
6|GeneExpression_READ_00340720	120203	97.23	3e-125	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium; Unclassified; otu_2225
7|GeneExpression_READ_00343270	5793	93.96	1e-111	Bacteria; Antarctic; otu_655
8|GeneExpression_READ_00329595	92037	98.82	1e-136	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
9|GeneExpression_READ_00337093	92037	97.97	6e-126	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
10|GeneExpression_READ_00363569	92037	100	2e-138	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
11|GeneExpression_READ_00357309	68995	93.73	2e-104	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum; Unclassified; otu_2430
12|GeneExpression_READ_00313105	91777	98.3	1e-121	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Moraxella; Unclassified; otu_3359
13|GeneExpression_READ_00337477	92037	95.62	1e-114	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
14|GeneExpression_READ_00353224	5903	93.73	5e-105	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Unclassified; otu_2158
15|GeneExpression_READ_00350652	92037	98.26	9e-119	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
16|GeneExpression_READ_00331706	61204	98.83	3e-137	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium; Unclassified; otu_2248
17|GeneExpression_READ_00327784	92037	98.15	3e-140	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
18|GeneExpression_READ_00310468	61204	98.83	8e-138	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium; Unclassified; otu_2248
19|GeneExpression_READ_00322085	92037	98.43	1e-133	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
20|GeneExpression_READ_00324158	92037	98.43	1e-133	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
21|GeneExpression_READ_00320501	92037	98.51	1e-142	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
22|GeneExpression_READ_00330472	122531	96.94	5e-111	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Unclassified; otu_767
