Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|NCBI_NT_173411899	29154	99.02	1e-50	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Propionibacteriaceae; Propionibacterium; Unclassified; otu_519
2|NCBI_NT_173457049	218720	100	2e-52	Bacteria; Unclassified; otu_205
3|NCBI_NT_173452470	78569	98.02	1e-47	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinobacter; Unclassified; otu_3013
4|NCBI_NT_173265064	233613	100	7e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
5|NCBI_NT_173447795	218720	100	1e-50	Bacteria; Unclassified; otu_205
6|NCBI_NT_173373547	169430	100	8e-49	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Microbacteriaceae; Unclassified; otu_382
10|SalternMetagenome_READ_00337700	54099	97.67	1e-38	Archaea; Euryarchaeota; Methanopyri; Methanopyrales; Methanopyraceae; Methanopyrus; Unclassified; otu_177
1|rev|NCBI_NT_173595200	110621	100	3e-58	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
2|rev|NCBI_NT_173449867	29154	97.89	2e-43	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Propionibacteriaceae; Propionibacterium; Unclassified; otu_519
3|rev|NCBI_NT_184515236	221498	100	1e-57	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
4|rev|NCBI_NT_173610442	10167	100	1e-57	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Serratia; Unclassified; otu_3200
5|rev|NCBI_NT_173208408	233613	100	4e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
6|rev|SalternMetagenome_READ_00410528	111879	100	3e-48	Bacteria; Unclassified; otu_205
7|rev|NCBI_NT_173580790	176825	95.19	5e-41	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Micrococcaceae; Arthrobacter; Unclassified; otu_436
8|rev|SalternMetagenome_READ_00278476	55371	97	1e-44	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
