Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|WesternChannelOMM_READ_05562298	125759	95.23	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
2|WesternChannelOMM_READ_05656336	154672	98.2	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Thalassospira; Unclassified; otu_2452
3|WesternChannelOMM_READ_05941365	8229	93.62	1e-115	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Alcanivoracaceae; Alcanivorax; Unclassified; otu_3272
dup2WesternChannelOMM_READ_05941365	8229	97.87	2e-94	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Alcanivoracaceae; Alcanivorax; Unclassified; otu_3272
5|WesternChannelOMM_READ_05652797	8229	95.82	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Alcanivoracaceae; Alcanivorax; Unclassified; otu_3272
6|WesternChannelOMM_READ_05955538	101880	91.89	3e-172	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
7|WesternChannelOMM_READ_05665295	8229	95.75	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Alcanivoracaceae; Alcanivorax; Unclassified; otu_3272
8|WesternChannelOMM_READ_05898145	104638	94.38	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; Unclassified; otu_2363
9|WesternChannelOMM_READ_05514687	105024	95.27	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Sulfitobacter; Unclassified; otu_2378
10|WesternChannelOMM_READ_05637111	91272	94.05	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Nitrincola; otu_3267
11|WesternChannelOMM_READ_05941076	154294	99.28	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
12|WesternChannelOMM_READ_05522307	105024	93.83	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Sulfitobacter; Unclassified; otu_2378
13|WesternChannelOMM_READ_06094289	105024	95.45	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Sulfitobacter; Unclassified; otu_2378
14|WesternChannelOMM_READ_05788771	3439	97.64	0.0	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
15|WesternChannelOMM_READ_05809174	196857	94.19	2e-170	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
16|WesternChannelOMM_READ_05796789	150680	95.14	2e-176	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinobacter; Unclassified; otu_3013
17|WesternChannelOMM_READ_06059786	104638	94.29	1e-174	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; Unclassified; otu_2363
18|WesternChannelOMM_READ_06086725	150680	94.9	5e-174	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinobacter; Unclassified; otu_3013
19|WesternChannelOMM_READ_05942683	234617	98.81	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
20|WesternChannelOMM_READ_05784340	22264	89.25	2e-155	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Unclassified; otu_2948
