Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|WesternChannelOMM_READ_03113547	3439	97.09	0.0	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
2|WesternChannelOMM_READ_03000038	105024	97.49	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Sulfitobacter; Unclassified; otu_2378
3|WesternChannelOMM_READ_03014209	150680	94.77	1e-149	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinobacter; Unclassified; otu_3013
4|WesternChannelOMM_READ_03166996	127094	99	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
5|WesternChannelOMM_READ_03100646	55371	95.39	9e-160	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
6|WesternChannelOMM_READ_03147467	120203	96.62	3e-156	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium; Unclassified; otu_2225
7|WesternChannelOMM_READ_03105034	120203	98.83	7e-126	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium; Unclassified; otu_2225
8|WesternChannelOMM_READ_03001906	104638	98.72	2e-36	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; Unclassified; otu_2363
dup2WesternChannelOMM_READ_03001906	55371	92.67	2e-88	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
10|WesternChannelOMM_READ_03048711	104638	97.16	3e-65	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; Unclassified; otu_2363
dup2WesternChannelOMM_READ_03048711	111879	93.28	3e-49	Bacteria; Unclassified; otu_205
12|WesternChannelOMM_READ_02981317	55371	95.92	5e-114	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
13|WesternChannelOMM_READ_03122752	6901	98.63	5e-155	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; Unclassified; otu_2604
