Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|JGI_AMD_UBA_IRNMTN_READ_1569739680	41859	92.31	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
2|JGI_AMD_UBA_IRNMTN_READ_1569719582	41859	92.73	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
3|JGI_AMD_UBA_IRNMTN_READ_1569746099	41859	93.52	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
4|JGI_AMD_UBA_IRNMTN_READ_1569741468	41859	93.34	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
5|JGI_AMD_UBA_IRNMTN_READ_1569713259	41859	93.7	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
6|JGI_AMD_UBA_IRNMTN_READ_1569705290	41859	92.89	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
7|JGI_AMD_UBA_IRNMTN_READ_1569873851	41859	92.06	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
8|JGI_AMD_UBA_IRNMTN_READ_1569826633	41859	90.54	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
9|JGI_AMD_UBA_IRNMTN_READ_1569741269	184252	98.88	0.0	Bacteria; Unclassified; otu_205
10|JGI_AMD_UBA_IRNMTN_READ_1569696521	41859	93.15	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
11|JGI_AMD_UBA_IRNMTN_READ_1569822985	41859	93.35	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
12|JGI_AMD_UBA_IRNMTN_READ_1569716231	41859	93.4	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
13|JGI_AMD_UBA_IRNMTN_READ_1569704899	41859	92.95	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
14|JGI_AMD_UBA_IRNMTN_READ_1569826417	184252	97.89	0.0	Bacteria; Unclassified; otu_205
15|JGI_AMD_UBA_IRNMTN_READ_1569685512	41859	93.29	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
16|JGI_AMD_UBA_IRNMTN_READ_1569861122	184252	98.84	0.0	Bacteria; Unclassified; otu_205
17|JGI_AMD_UBA_IRNMTN_READ_1569716640	41859	93.14	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
18|JGI_AMD_UBA_IRNMTN_READ_1569823601	41859	92.04	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
19|JGI_AMD_UBA_IRNMTN_READ_1569857853	184252	99.36	0.0	Bacteria; Unclassified; otu_205
20|JGI_AMD_UBA_IRNMTN_READ_1569757474	184252	97.6	0.0	Bacteria; Unclassified; otu_205
21|JGI_AMD_UBA_IRNMTN_READ_1569743124	41859	90.65	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
22|JGI_AMD_UBA_IRNMTN_READ_1569727277	41859	92.68	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
23|JGI_AMD_UBA_IRNMTN_READ_1569730906	41859	92.39	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
24|JGI_AMD_UBA_IRNMTN_READ_1569674344	184252	99.33	0.0	Bacteria; Unclassified; otu_205
25|JGI_AMD_UBA_IRNMTN_READ_1569735717	41859	91.73	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
26|JGI_AMD_UBA_IRNMTN_READ_1569672388	111907	93.8	0.0	Bacteria; Thermolithobacter; otu_3579
27|JGI_AMD_UBA_IRNMTN_READ_1569860378	184252	99.11	0.0	Bacteria; Unclassified; otu_205
28|JGI_AMD_UBA_IRNMTN_READ_1569816767	184252	99.23	0.0	Bacteria; Unclassified; otu_205
29|JGI_AMD_UBA_IRNMTN_READ_1569867027	184252	98.97	0.0	Bacteria; Unclassified; otu_205
30|JGI_AMD_UBA_IRNMTN_READ_1569744739	184252	99.61	0.0	Bacteria; Unclassified; otu_205
31|JGI_AMD_UBA_IRNMTN_READ_1569711025	184252	99.65	0.0	Bacteria; Unclassified; otu_205
32|JGI_AMD_UBA_IRNMTN_READ_1569310483	41859	93.36	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
33|JGI_AMD_UBA_IRNMTN_READ_1569730519	41859	92.59	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
34|JGI_AMD_UBA_IRNMTN_READ_1569742195	41859	92.51	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
35|JGI_AMD_UBA_IRNMTN_READ_1569822468	184252	99.23	0.0	Bacteria; Unclassified; otu_205
36|JGI_AMD_UBA_IRNMTN_READ_1569689954	41859	93.02	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
37|JGI_AMD_UBA_IRNMTN_READ_1569859114	184252	91.25	0.0	Bacteria; Unclassified; otu_205
38|JGI_AMD_UBA_IRNMTN_READ_1569675770	41859	93.24	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
39|JGI_AMD_UBA_IRNMTN_READ_1569697279	41859	91.36	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
40|JGI_AMD_UBA_IRNMTN_READ_1569720560	41859	90.26	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
41|JGI_AMD_UBA_IRNMTN_READ_1569672715	184252	99.85	0.0	Bacteria; Unclassified; otu_205
42|JGI_AMD_UBA_IRNMTN_READ_1569816910	94490	94.02	0.0	Bacteria; Firmicutes; Bacillales; Alicyclobacillaceae; Sulfobacillus; Unclassified; otu_1359
43|JGI_AMD_UBA_IRNMTN_READ_1569749746	184252	99.57	0.0	Bacteria; Unclassified; otu_205
44|JGI_AMD_UBA_IRNMTN_READ_1569730625	184252	91.78	4e-159	Bacteria; Unclassified; otu_205
45|JGI_AMD_UBA_IRNMTN_READ_1569750663	184252	91.3	3e-157	Bacteria; Unclassified; otu_205
