Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|WesternChannelOMM_READ_07234001	12743	94.42	8e-107	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Nocardioidaceae; Friedmanniella; otu_501
2|WesternChannelOMM_READ_07229802	132521	97.87	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
3|WesternChannelOMM_READ_07231802	132521	97.87	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
4|WesternChannelOMM_READ_07221922	132521	98.94	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
5|WesternChannelOMM_READ_07225557	132521	98.94	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
6|WesternChannelOMM_READ_07223099	132521	97.83	3e-42	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
7|WesternChannelOMM_READ_07222474	113435	96.74	2e-40	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas; Unclassified; otu_3003
8|WesternChannelOMM_READ_07220352	132521	97.83	3e-42	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
9|WesternChannelOMM_READ_07220625	225963	96.88	3e-42	Bacteria; Unclassified; otu_205
10|WesternChannelOMM_READ_07221678	218720	98.89	2e-43	Bacteria; Unclassified; otu_205
11|WesternChannelOMM_READ_07223594	225963	97.83	3e-42	Bacteria; Unclassified; otu_205
12|WesternChannelOMM_READ_07226047	225963	97.83	3e-42	Bacteria; Unclassified; otu_205
13|WesternChannelOMM_READ_07232378	127094	98.96	5e-47	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
14|WesternChannelOMM_READ_07219827	132521	98.92	3e-45	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
15|WesternChannelOMM_READ_07231691	113435	96.67	3e-39	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas; Unclassified; otu_3003
16|WesternChannelOMM_READ_07228506	113435	96.81	1e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas; Unclassified; otu_3003
17|WesternChannelOMM_READ_07233697	113435	97.87	5e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas; Unclassified; otu_3003
18|WesternChannelOMM_READ_07223830	58675	97.83	1e-41	Bacteria; Firmicutes; Bacillales; Bacillaceae; Bacillus; Unclassified; otu_1368
19|WesternChannelOMM_READ_07219020	218720	98.91	1e-44	Bacteria; Unclassified; otu_205
20|WesternChannelOMM_READ_07221086	96014	98.89	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
21|WesternChannelOMM_READ_07230684	96014	98.89	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
22|WesternChannelOMM_READ_07231927	96014	98.89	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
23|WesternChannelOMM_READ_07226051	96014	100	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
24|WesternChannelOMM_READ_07229292	96014	100	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
25|WesternChannelOMM_READ_07230813	96014	100	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
26|WesternChannelOMM_READ_07227149	233630	97.87	2e-43	Bacteria; Unclassified; otu_205
27|WesternChannelOMM_READ_07222059	225963	97.87	2e-43	Bacteria; Unclassified; otu_205
28|WesternChannelOMM_READ_07225258	225963	97.87	2e-43	Bacteria; Unclassified; otu_205
29|WesternChannelOMM_READ_07227611	58675	97.92	5e-44	Bacteria; Firmicutes; Bacillales; Bacillaceae; Bacillus; Unclassified; otu_1368
30|WesternChannelOMM_READ_07230854	233630	97.87	2e-43	Bacteria; Unclassified; otu_205
31|WesternChannelOMM_READ_07231038	58675	98.91	1e-44	Bacteria; Firmicutes; Bacillales; Bacillaceae; Bacillus; Unclassified; otu_1368
32|WesternChannelOMM_READ_07221342	132521	96.81	5e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
33|WesternChannelOMM_READ_07223752	233630	98.96	5e-47	Bacteria; Unclassified; otu_205
34|WesternChannelOMM_READ_07225386	132521	97.87	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
35|WesternChannelOMM_READ_07221708	113435	96.67	3e-39	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas; Unclassified; otu_3003
36|WesternChannelOMM_READ_07227517	113435	96.67	3e-39	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas; Unclassified; otu_3003
37|WesternChannelOMM_READ_07232789	113435	96.67	3e-39	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas; Unclassified; otu_3003
38|WesternChannelOMM_READ_07222283	132521	97.83	3e-42	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
39|WesternChannelOMM_READ_07231764	131988	94.85	2e-37	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Colwelliaceae; Colwellia; Unclassified; otu_3024
