Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|SalternMetagenome_READ_02366679	91160	99.17	8e-62	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
2|SalternMetagenome_READ_02371771	207827	100	7e-56	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
3|NCBI_NT_184370618	233630	100	6e-53	Bacteria; Unclassified; otu_205
4|SalternMetagenome_READ_02368564	91160	99.15	5e-60	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
5|NCBI_NT_184336320	218720	100	9e-52	Bacteria; Unclassified; otu_205
6|SalternMetagenome_READ_02345808	189383	98.97	1e-47	Bacteria; Firmicutes; Clostridia; Clostridiales; Unclassified; otu_1498
7|SalternMetagenome_READ_02352021	93530	98.95	2e-46	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herminiimonas; Unclassified; otu_2652
8|SalternMetagenome_READ_02365537	189383	100	1e-50	Bacteria; Firmicutes; Clostridia; Clostridiales; Unclassified; otu_1498
9|SalternMetagenome_READ_02354463	93530	97.92	5e-44	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herminiimonas; Unclassified; otu_2652
10|SalternMetagenome_READ_02356529	50403	100	5e-50	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
11|SalternMetagenome_READ_02411671	110609	100	2e-56	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
12|SalternMetagenome_READ_02345190	170434	97.41	7e-53	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Bordetella; Unclassified; otu_2548
13|SalternMetagenome_READ_02389627	214060	98.92	3e-45	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Unclassified; otu_268
14|SalternMetagenome_READ_02345584	91160	99.13	3e-58	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
15|SalternMetagenome_READ_02338910	207827	100	3e-58	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
16|SalternMetagenome_READ_02406279	105930	98.35	8e-59	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Collimonas; Unclassified; otu_2645
17|SalternMetagenome_READ_02350578	91160	98.06	9e-49	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
18|SalternMetagenome_READ_02386779	170434	93.44	3e-43	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Bordetella; Unclassified; otu_2548
19|SalternMetagenome_READ_02352350	91160	98.04	4e-48	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
20|SalternMetagenome_READ_02353030	50403	100	1e-63	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
21|SalternMetagenome_READ_02379464	110609	100	6e-53	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
22|SalternMetagenome_READ_02379624	171922	100	8e-49	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Citrobacter; Unclassified; otu_3141
23|SalternMetagenome_READ_02373064	91160	98.23	4e-54	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
24|SalternMetagenome_READ_02340233	105930	97.37	7e-53	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Collimonas; Unclassified; otu_2645
25|SalternMetagenome_READ_02386094	132286	93.33	2e-43	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Janthinobacterium; Unclassified; otu_2654
26|SalternMetagenome_READ_02402742	217989	98.77	4e-38	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Unclassified; otu_2644
27|SalternMetagenome_READ_02386066	214060	100	8e-46	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Unclassified; otu_268
28|SalternMetagenome_READ_02408572	208819	97.8	4e-41	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Rubrivivax; Unclassified; otu_2666
29|SalternMetagenome_READ_02383132	170434	96.3	2e-46	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Bordetella; Unclassified; otu_2548
30|SalternMetagenome_READ_02391485	91160	97.89	5e-44	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
31|SalternMetagenome_READ_02388274	110609	100	5e-50	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
32|SalternMetagenome_READ_02340682	105930	100	2e-40	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Collimonas; Unclassified; otu_2645
33|SalternMetagenome_READ_02402000	110609	100	3e-48	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
34|SalternMetagenome_READ_02418751	110609	100	3e-48	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
35|SalternMetagenome_READ_02413755	9760	99.01	6e-50	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella; Salmonella enterica subsp. enterica serovar Saintpaul; otu_3195
36|SalternMetagenome_READ_02389115	110609	100	8e-49	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
37|SalternMetagenome_READ_02351050	234489	100	2e-40	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Unclassified; otu_2570
38|SalternMetagenome_READ_02335594	234489	94.32	7e-31	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Unclassified; otu_2570
39|NCBI_NT_173104064	9644	100	4e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Buchnera; otu_3133
40|SalternMetagenome_READ_02353976	80181	98.59	3e-32	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
41|SalternMetagenome_READ_02335263	207827	100	3e-45	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
