Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|NCBI_NT_173678472	29154	99.15	2e-59	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Propionibacteriaceae; Propionibacterium; Unclassified; otu_519
2|NCBI_NT_173495268	164271	100	6e-53	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
3|NCBI_NT_173257382	232927	100	5e-47	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
4|NCBI_NT_173389151	171922	100	1e-50	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Citrobacter; Unclassified; otu_3141
5|NCBI_NT_173287050	233613	100	3e-48	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
6|SalternMetagenome_READ_01140413	159977	96.12	6e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Colwelliaceae; Thalassomonas; Unclassified; otu_3027
7|NCBI_NT_173674735	110621	99.12	4e-57	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
8|NCBI_NT_173545513	140916	100	3e-55	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
9|SalternMetagenome_READ_01297805	100508	98.92	3e-45	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Sphingobacteriales genera incertae sedis; Balneola; otu_1032
10|SalternMetagenome_READ_01248379	28419	99.12	1e-57	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Sphingobacteriales genera incertae sedis; Salinibacter; Unclassified; otu_1039
11|SalternMetagenome_READ_01254964	133672	94.49	5e-51	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Flexibacteraceae; Adhaeribacter; Unclassified; otu_951
12|SalternMetagenome_READ_01167470	100508	100	8e-49	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Sphingobacteriales genera incertae sedis; Balneola; otu_1032
13|SalternMetagenome_READ_00957089	109549	94.64	1e-44	Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina; Unclassified; otu_175
14|SalternMetagenome_READ_01364015	14309	95.65	1e-48	Bacteria; Firmicutes; Clostridia; Halanaerobiales; Halanaerobiaceae; Halanaerobium; otu_1814
15|NCBI_NT_173509782	23149	100	3e-36	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Actinomycineae; Actinomycetaceae; Actinomyces; Unclassified; otu_242
16|NCBI_NT_173360702	221498	97.89	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
17|SalternMetagenome_READ_01411971	156943	91.74	5e-35	Archaea; Euryarchaeota; Methanopyri; Methanopyrales; Methanopyraceae; Methanopyrus; Unclassified; otu_177
18|SalternMetagenome_READ_01038093	100508	96.08	8e-43	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Sphingobacteriales genera incertae sedis; Balneola; otu_1032
19|SalternMetagenome_READ_00964841	133395	100	4e-51	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
20|SalternMetagenome_READ_00844347	100508	96.08	3e-42	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Sphingobacteriales genera incertae sedis; Balneola; otu_1032
21|SalternMetagenome_READ_01091633	109549	94.39	5e-41	Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina; Unclassified; otu_175
22|SalternMetagenome_READ_01138211	28419	95.41	5e-44	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Sphingobacteriales genera incertae sedis; Salinibacter; Unclassified; otu_1039
23|SalternMetagenome_READ_01294107	156943	95.15	1e-41	Archaea; Euryarchaeota; Methanopyri; Methanopyrales; Methanopyraceae; Methanopyrus; Unclassified; otu_177
26|SalternMetagenome_READ_00931349	100508	94.23	1e-38	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Sphingobacteriales genera incertae sedis; Balneola; otu_1032
27|SalternMetagenome_READ_01394372	28419	98	2e-46	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Sphingobacteriales genera incertae sedis; Salinibacter; Unclassified; otu_1039
29|NCBI_NT_173500789	167146	100	3e-32	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
32|SalternMetagenome_READ_01186929	156943	94.17	3e-39	Archaea; Euryarchaeota; Methanopyri; Methanopyrales; Methanopyraceae; Methanopyrus; Unclassified; otu_177
33|SalternMetagenome_READ_00961262	74464	100	4e-57	Archaea; Euryarchaeota; Methanopyri; Methanopyrales; Methanopyraceae; Methanopyrus; Unclassified; otu_177
34|SalternMetagenome_READ_00951297	74464	98.2	6e-53	Archaea; Euryarchaeota; Methanopyri; Methanopyrales; Methanopyraceae; Methanopyrus; Unclassified; otu_177
35|SalternMetagenome_READ_01212012	28419	99	2e-49	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Sphingobacteriales genera incertae sedis; Salinibacter; Unclassified; otu_1039
36|SalternMetagenome_READ_01320194	161507	100	5e-34	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Bryophyta; Bryopsida; Funariidae; Funariales; Funariaceae; Physcomitrella; otu_4012
37|SalternMetagenome_READ_01228156	156943	95	3e-39	Archaea; Euryarchaeota; Methanopyri; Methanopyrales; Methanopyraceae; Methanopyrus; Unclassified; otu_177
38|SalternMetagenome_READ_01304660	156943	95.96	1e-41	Archaea; Euryarchaeota; Methanopyri; Methanopyrales; Methanopyraceae; Methanopyrus; Unclassified; otu_177
