Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|SalternMetagenome_READ_02245187	171306	100	2e-59	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia; Unclassified; otu_3153
2|SalternMetagenome_READ_02262869	234489	100	4e-57	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Unclassified; otu_2570
3|SalternMetagenome_READ_02234916	91160	100	4e-57	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
4|SalternMetagenome_READ_02232967	207827	100	3e-58	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
5|SalternMetagenome_READ_02235924	207827	100	3e-58	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
6|NCBI_NT_184483576	110392	96.15	1e-57	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Bordetella; Unclassified; otu_2548
7|SalternMetagenome_READ_02261170	207827	99.11	7e-56	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
8|NCBI_NT_184415521	234617	100	2e-53	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
9|SalternMetagenome_READ_02241021	93530	96.04	1e-41	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herminiimonas; Unclassified; otu_2652
10|SalternMetagenome_READ_02215534	105930	97.32	1e-51	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Collimonas; Unclassified; otu_2645
11|SalternMetagenome_READ_02236725	207827	100	2e-62	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
12|SalternMetagenome_READ_02260398	207827	100	2e-62	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
13|SalternMetagenome_READ_02253715	207827	100	8e-62	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
14|SalternMetagenome_READ_02253176	132286	93.55	1e-45	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Janthinobacterium; Unclassified; otu_2654
15|SalternMetagenome_READ_02260773	217655	98.82	6e-40	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Coxiellaceae; Rickettsiella; Unclassified; otu_3234
16|NCBI_NT_173141475	99056	98.02	5e-47	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Serratia; Unclassified; otu_3200
17|SalternMetagenome_READ_02227587	105930	99.01	6e-50	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Collimonas; Unclassified; otu_2645
18|SalternMetagenome_READ_02266121	80181	100	1e-50	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
19|SalternMetagenome_READ_02237781	105930	98	5e-47	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Collimonas; Unclassified; otu_2645
20|SalternMetagenome_READ_02220049	91160	98.02	5e-47	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
21|SalternMetagenome_READ_02248668	105930	100	4e-38	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Collimonas; Unclassified; otu_2645
22|SalternMetagenome_READ_02246478	50403	94.53	2e-50	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
23|SalternMetagenome_READ_02236761	105930	100	2e-40	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Collimonas; Unclassified; otu_2645
24|SalternMetagenome_READ_02241094	207827	98.68	3e-35	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
25|NCBI_NT_173162186	9760	98.98	4e-48	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella; Salmonella enterica subsp. enterica serovar Saintpaul; otu_3195
26|SalternMetagenome_READ_02232317	132286	90.16	9e-34	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Janthinobacterium; Unclassified; otu_2654
27|NCBI_NT_172889083	65383	100	3e-45	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Serratia; Unclassified; otu_3200
28|SalternMetagenome_READ_02221083	50403	98.57	1e-31	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
29|SalternMetagenome_READ_02232607	132286	100	1e-31	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Janthinobacterium; Unclassified; otu_2654
30|SalternMetagenome_READ_02238549	9644	100	5e-34	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Buchnera; otu_3133
