Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|PeruMarginSediment_READ_00075729	156996	98.95	2e-46	Bacteria; Firmicutes; Clostridia; Clostridiales; Natronoanaerobium; Unclassified; otu_1687
2|PeruMarginSediment_READ_00025733	73235	95.5	1e-45	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobacteraceae; Desulfofaba; otu_2814
3|PeruMarginSediment_READ_00037268	67796	93.22	1e-41	Bacteria; Proteobacteria; Deltaproteobacteria; Syntrophobacterales; Syntrophaceae; Syntrophus; Unclassified; otu_2933
4|PeruMarginSediment_READ_00070779	163063	92.23	7e-34	Bacteria; Chloroflexi; Dehalococcoidetes; Dehalococcoides; Unclassified; otu_1167
6|PeruMarginSediment_READ_00050706	201321	96.84	1e-41	Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus; otu_61
9|PeruMarginSediment_READ_00099026	1911	98.86	3e-42	Bacteria; Bacteroidetes; Bacteroidetes (class); Bacteroidales; Rikenellaceae; Ruminofilibacter; otu_726
10|PeruMarginSediment_READ_00035341	24840	98	2e-46	Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus; Unclassified; otu_130
18|PeruMarginSediment_READ_00043146	142115	95.28	2e-43	Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina; Unclassified; otu_175
19|PeruMarginSediment_READ_00043415	237	97.85	7e-43	Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina; Unclassified; otu_175
20|PeruMarginSediment_READ_00055859	428	95.74	1e-38	Archaea; Euryarchaeota; Thermoplasmata; Thermoplasmatales; Thermoplasmataceae; Thermoplasma; Unclassified; otu_196
1|rev|PeruMarginSediment_READ_00089673	31890	95.58	2e-47	Bacteria; Chloroflexi; Dehalococcoidetes; Dehalococcoides; Unclassified; otu_1167
2|rev|PeruMarginSediment_READ_00020459	132414	96.3	6e-47	Bacteria; Firmicutes; Clostridia; Thermoanaerobacteriales; Thermoanaerobacteriaceae; Thermovenabulum; Unclassified; otu_1869
3|rev|PeruMarginSediment_READ_00033933	132414	96.3	6e-47	Bacteria; Firmicutes; Clostridia; Thermoanaerobacteriales; Thermoanaerobacteriaceae; Thermovenabulum; Unclassified; otu_1869
4|rev|PeruMarginSediment_READ_00049748	132414	96.3	6e-47	Bacteria; Firmicutes; Clostridia; Thermoanaerobacteriales; Thermoanaerobacteriaceae; Thermovenabulum; Unclassified; otu_1869
5|rev|PeruMarginSediment_READ_00100603	166367	92.86	9e-40	Bacteria; Chloroflexi; Dehalococcoidetes; Dehalococcoides; Unclassified; otu_1167
7|rev|PeruMarginSediment_READ_00060633	143037	95.33	6e-44	Bacteria; Chloroflexi; Dehalococcoidetes; Dehalococcoides; Unclassified; otu_1167
9|rev|PeruMarginSediment_READ_00028375	143480	98.55	5e-31	Bacteria; Actinobacteria; Rubrobacteridae; Rubrobacterales; Rubrobacterineae; unclassified Rubrobacterineae; otu_647
12|rev|PeruMarginSediment_READ_00042990	137541	91.74	5e-35	Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halobacterium; Unclassified; otu_79
17|rev|PeruMarginSediment_READ_00088106	140627	98.04	1e-47	Archaea; Euryarchaeota; Methanopyri; Methanopyrales; Methanopyraceae; Methanopyrus; Unclassified; otu_177
20|rev|PeruMarginSediment_READ_00035633	136481	94.51	2e-34	Bacteria; Proteobacteria; Deltaproteobacteria; Unclassified; otu_2787
21|rev|PeruMarginSediment_READ_00063788	136481	94.51	2e-34	Bacteria; Proteobacteria; Deltaproteobacteria; Unclassified; otu_2787
23|rev|PeruMarginSediment_READ_00105331	237	97.96	3e-45	Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina; Unclassified; otu_175
