Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|WesternChannelOMM_READ_00402657	102500	98.59	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
2|WesternChannelOMM_READ_00401954	102500	97.59	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
3|WesternChannelOMM_READ_00352079	5645	95.64	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
4|WesternChannelOMM_READ_00376760	101111	100	4e-31	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
dup2WesternChannelOMM_READ_00376760	101111	98.86	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
6|WesternChannelOMM_READ_00392595	101111	98.86	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
7|WesternChannelOMM_READ_00353858	150680	99.35	7e-82	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinobacter; Unclassified; otu_3013
dup2WesternChannelOMM_READ_00353858	5655	94.34	6e-114	Bacteria; Unclassified; otu_205
9|WesternChannelOMM_READ_00350346	195962	96.37	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
10|WesternChannelOMM_READ_00354389	163334	95.89	9e-160	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinobacter; Unclassified; otu_3013
dup2WesternChannelOMM_READ_00354389	150680	92.14	8e-47	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinobacter; Unclassified; otu_3013
12|WesternChannelOMM_READ_00404887	75119	99.77	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
13|WesternChannelOMM_READ_00375208	102500	98.87	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
14|WesternChannelOMM_READ_00406039	40525	98.81	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Hyphomonadaceae; Oceanicaulis; Unclassified; otu_2289
dup2WesternChannelOMM_READ_00406039	165618	97.37	3e-32	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Hyphomonadaceae; Hyphomonas; Unclassified; otu_2286
16|WesternChannelOMM_READ_00380527	113435	99.19	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas; Unclassified; otu_3003
17|WesternChannelOMM_READ_00376611	233559	98.02	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
18|WesternChannelOMM_READ_00407102	92037	95.91	1e-161	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
19|WesternChannelOMM_READ_00410517	119242	94.56	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Cryomorphaceae; Crocinitomix; otu_772
20|WesternChannelOMM_READ_00371365	48787	97.05	4e-115	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
dup2WesternChannelOMM_READ_00371365	5655	96.15	5e-57	Bacteria; Unclassified; otu_205
22|WesternChannelOMM_READ_00380408	102500	98.04	7e-132	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
dup2WesternChannelOMM_READ_00380408	233630	94.12	2e-53	Bacteria; Unclassified; otu_205
24|WesternChannelOMM_READ_00406890	101111	96.04	1e-41	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
dup2WesternChannelOMM_READ_00406890	101111	96	1e-114	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
26|WesternChannelOMM_READ_00347514	40525	100	3e-178	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Hyphomonadaceae; Oceanicaulis; Unclassified; otu_2289
28|WesternChannelOMM_READ_00407150	196857	92.02	6e-130	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
29|WesternChannelOMM_READ_00380357	230638	97.97	4e-180	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Azorhizobium; otu_2269
30|WesternChannelOMM_READ_00406923	101111	99.67	5e-170	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
31|WesternChannelOMM_READ_00380263	75119	99.71	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
32|WesternChannelOMM_READ_00395085	169976	100	4e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
dup2WesternChannelOMM_READ_00395085	102500	98.8	3e-134	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
34|WesternChannelOMM_READ_00351197	61189	99.7	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Cellulophaga; Unclassified; otu_800
35|WesternChannelOMM_READ_00395232	58609	95.42	1e-139	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Flexibacteraceae; Roseivirga; otu_996
36|WesternChannelOMM_READ_00372907	44012	96.23	6e-139	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Paracoccus; Unclassified; otu_2334
37|WesternChannelOMM_READ_00352373	196857	96.7	8e-132	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
38|WesternChannelOMM_READ_00347900	159222	97.21	1e-142	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
39|WesternChannelOMM_READ_00356755	233630	100	4e-133	Bacteria; Unclassified; otu_205
40|WesternChannelOMM_READ_00400063	159222	97.48	1e-139	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
41|WesternChannelOMM_READ_00347534	233630	100	4e-127	Bacteria; Unclassified; otu_205
42|WesternChannelOMM_READ_00377757	225963	97.71	3e-109	Bacteria; Unclassified; otu_205
44|WesternChannelOMM_READ_00395400	159222	97.12	3e-137	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
45|WesternChannelOMM_READ_00379970	92037	97.84	1e-117	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
46|WesternChannelOMM_READ_00402842	92037	96.75	9e-119	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
47|WesternChannelOMM_READ_00400280	233630	98.73	9e-125	Bacteria; Unclassified; otu_205
48|WesternChannelOMM_READ_00351783	105079	98.01	7e-129	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Nitratireductor; Unclassified; otu_2227
49|WesternChannelOMM_READ_00378539	159222	97.74	8e-135	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
50|WesternChannelOMM_READ_00390769	105079	97.61	7e-126	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Nitratireductor; Unclassified; otu_2227
51|WesternChannelOMM_READ_00406325	159222	98.05	5e-133	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
52|WesternChannelOMM_READ_00347508	124930	94.29	4e-134	Bacteria; Proteobacteria; Betaproteobacteria; Methylophilales; Methylophilaceae; Methylophilus; Unclassified; otu_2701
53|WesternChannelOMM_READ_00329457	233630	100	5e-120	Bacteria; Unclassified; otu_205
54|WesternChannelOMM_READ_00330394	233630	100	5e-120	Bacteria; Unclassified; otu_205
55|WesternChannelOMM_READ_00379261	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
56|WesternChannelOMM_READ_00349136	159222	98.01	2e-129	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
57|WesternChannelOMM_READ_00355268	159222	98.01	2e-129	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
58|WesternChannelOMM_READ_00356466	159222	98.01	2e-129	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
59|WesternChannelOMM_READ_00391327	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
60|WesternChannelOMM_READ_00342431	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
61|WesternChannelOMM_READ_00395764	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
62|WesternChannelOMM_READ_00356353	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
63|WesternChannelOMM_READ_00374640	159222	97.67	1e-130	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
64|WesternChannelOMM_READ_00340764	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
65|WesternChannelOMM_READ_00411322	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
66|WesternChannelOMM_READ_00402979	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
67|WesternChannelOMM_READ_00397978	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
68|WesternChannelOMM_READ_00409929	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
69|WesternChannelOMM_READ_00330555	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
70|WesternChannelOMM_READ_00410860	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
71|WesternChannelOMM_READ_00372469	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
72|WesternChannelOMM_READ_00376054	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
73|WesternChannelOMM_READ_00352014	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
74|WesternChannelOMM_READ_00354305	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
75|WesternChannelOMM_READ_00376717	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
76|WesternChannelOMM_READ_00336325	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
77|WesternChannelOMM_READ_00344868	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
78|WesternChannelOMM_READ_00409480	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
79|WesternChannelOMM_READ_00409780	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
80|WesternChannelOMM_READ_00330275	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
81|WesternChannelOMM_READ_00407018	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
82|WesternChannelOMM_READ_00378902	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
83|WesternChannelOMM_READ_00363220	196857	95.69	4e-48	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
dup2WesternChannelOMM_READ_00363220	71553	91.67	5e-48	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
85|WesternChannelOMM_READ_00406218	61204	98.11	5e-79	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium; Unclassified; otu_2248
dup2WesternChannelOMM_READ_00406218	61204	97.92	4e-70	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium; Unclassified; otu_2248
87|WesternChannelOMM_READ_00355008	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
88|WesternChannelOMM_READ_00344640	75119	99.7	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
89|WesternChannelOMM_READ_00404254	55371	97.7	1e-108	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
90|WesternChannelOMM_READ_00374959	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
91|WesternChannelOMM_READ_00338962	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
92|WesternChannelOMM_READ_00339598	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
93|WesternChannelOMM_READ_00372416	95046	95.37	7e-126	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Unclassified; otu_2350
94|WesternChannelOMM_READ_00350660	55371	98.15	5e-111	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
95|WesternChannelOMM_READ_00351795	159222	98.02	1e-130	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
96|WesternChannelOMM_READ_00354774	75119	100	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
97|WesternChannelOMM_READ_00412290	159222	97.62	4e-127	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
98|WesternChannelOMM_READ_00412186	55371	97.7	1e-108	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
99|WesternChannelOMM_READ_00371394	113435	99.6	1e-139	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas; Unclassified; otu_3003
100|WesternChannelOMM_READ_00349563	55371	98.13	7e-110	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
101|WesternChannelOMM_READ_00356413	55371	97.7	1e-108	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
102|WesternChannelOMM_READ_00378420	55371	97.7	1e-108	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
103|WesternChannelOMM_READ_00409266	55371	97.69	1e-108	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
dup2WesternChannelOMM_READ_00338905	61204	98.74	6e-126	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium; Unclassified; otu_2248
106|WesternChannelOMM_READ_00380522	55371	97.67	2e-107	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
107|WesternChannelOMM_READ_00399101	55371	97.69	5e-108	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
108|WesternChannelOMM_READ_00374648	55371	97.69	5e-108	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
109|WesternChannelOMM_READ_00403933	55371	98.12	3e-109	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
110|WesternChannelOMM_READ_00408087	55371	98.12	3e-109	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
