Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|DICE_READ_00097090	143093	95.31	3e-125	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
2|DICE_READ_00098096	98593	96.54	3e-125	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
3|DICE_READ_00113468	98593	96.54	3e-125	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
4|DICE_READ_00135279	225963	94.57	3e-119	Bacteria; Unclassified; otu_205
5|DICE_READ_00099896	91272	95.94	3e-125	Bacteria; Proteobacteria; Gammaproteobacteria; Nitrincola; otu_3267
6|DICE_READ_00088713	225963	94.83	1e-118	Bacteria; Unclassified; otu_205
7|DICE_READ_00115463	169976	98.81	8e-135	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
8|DICE_READ_00085486	169976	98.42	5e-133	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
9|DICE_READ_00067362	169976	98.41	2e-132	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
10|DICE_READ_00075955	169976	98.41	2e-132	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
11|DICE_READ_00079568	169976	98.41	2e-132	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
12|DICE_READ_00086185	169976	98.41	2e-132	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
13|DICE_READ_00093390	169976	98.41	2e-132	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
14|DICE_READ_00083718	169976	98.42	5e-133	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
15|DICE_READ_00109314	169976	98.42	5e-133	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
16|DICE_READ_00109590	169976	98.42	5e-133	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
17|DICE_READ_00127927	169976	98.42	5e-133	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
18|DICE_READ_00145280	87543	96.08	1e-118	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillum; Unclassified; otu_3311
19|DICE_READ_00142190	225963	94.44	1e-115	Bacteria; Unclassified; otu_205
20|DICE_READ_00132018	169976	98.02	4e-130	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
21|DICE_READ_00106538	169976	98.43	3e-134	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
22|DICE_READ_00145304	154294	98.78	1e-130	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
23|DICE_READ_00101458	169976	98.39	4e-130	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
24|DICE_READ_00107041	169976	98.39	4e-130	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
25|DICE_READ_00110567	169976	98.39	4e-130	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
26|DICE_READ_00112309	169976	98.39	4e-130	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
27|DICE_READ_00119845	169976	98.39	4e-130	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
28|DICE_READ_00087187	169976	98.39	4e-130	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
29|DICE_READ_00139335	101111	99.24	9e-144	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
30|DICE_READ_00133419	155199	93.18	3e-106	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillum; Unclassified; otu_3311
31|DICE_READ_00138488	155199	93.18	3e-106	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillum; Unclassified; otu_3311
32|DICE_READ_00073142	101111	95.73	2e-107	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
33|DICE_READ_00081655	101111	95.73	2e-107	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
34|DICE_READ_00113132	101111	95.73	2e-107	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
35|DICE_READ_00096635	154145	95.73	2e-107	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Neptunomonas; Unclassified; otu_3306
36|DICE_READ_00099673	154145	95.73	2e-107	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Neptunomonas; Unclassified; otu_3306
37|DICE_READ_00110044	101111	95.74	5e-108	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
