Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|JGI_SLUDGE_US_READ_1404910104	29770	93.38	0.0	Bacteria; Unclassified; otu_205
2|JGI_SLUDGE_US_READ_1404905987	29770	96.12	0.0	Bacteria; Unclassified; otu_205
3|JGI_SLUDGE_US_READ_1404745443	29770	95.25	0.0	Bacteria; Unclassified; otu_205
4|JGI_SLUDGE_US_READ_1404546597	128706	93.68	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium; Unclassified; otu_2225
5|JGI_SLUDGE_US_READ_1401975875	29770	95.47	0.0	Bacteria; Unclassified; otu_205
6|JGI_SLUDGE_US_READ_1404540165	103662	93.07	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Unclassified; otu_821
7|JGI_SLUDGE_US_READ_1404981490	29770	95.89	0.0	Bacteria; Unclassified; otu_205
8|JGI_SLUDGE_US_READ_1404736290	29770	94.22	0.0	Bacteria; Unclassified; otu_205
9|JGI_SLUDGE_US_READ_1404633980	152244	96.92	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xylella; otu_3487
10|JGI_SLUDGE_US_READ_1404901988	43992	96.89	0.0	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Intrasporangiaceae; Tetrasphaera; otu_379
11|JGI_SLUDGE_US_READ_1404542855	6702	90.68	0.0	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Dechloromonas; Unclassified; otu_2765
12|JGI_SLUDGE_US_READ_1404548835	7820	98.1	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Unclassified; otu_3481
13|JGI_SLUDGE_US_READ_1404746298	29770	93.33	0.0	Bacteria; Unclassified; otu_205
14|JGI_SLUDGE_US_READ_1404908337	29770	95.97	0.0	Bacteria; Unclassified; otu_205
15|JGI_SLUDGE_US_READ_1404544527	103662	97.72	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Unclassified; otu_821
16|JGI_SLUDGE_US_READ_1404882074	29770	93.18	0.0	Bacteria; Unclassified; otu_205
17|JGI_SLUDGE_US_READ_1404900522	154287	92.55	0.0	Bacteria; Bacteroidetes; Niastella; otu_904
18|JGI_SLUDGE_US_READ_1404743470	29770	95.96	0.0	Bacteria; Unclassified; otu_205
19|JGI_SLUDGE_US_READ_1404550354	7820	94.26	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Unclassified; otu_3481
20|JGI_SLUDGE_US_READ_1404742045	155780	93.53	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Unclassified; otu_821
21|JGI_SLUDGE_US_READ_1404567499	29770	96.12	0.0	Bacteria; Unclassified; otu_205
22|JGI_SLUDGE_US_READ_1404754328	29770	95.48	0.0	Bacteria; Unclassified; otu_205
23|JGI_SLUDGE_US_READ_1404883601	45877	98.19	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
24|JGI_SLUDGE_US_READ_1404902986	6702	93.24	0.0	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Dechloromonas; Unclassified; otu_2765
25|JGI_SLUDGE_US_READ_1404752815	6702	91.12	0.0	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Dechloromonas; Unclassified; otu_2765
26|JGI_SLUDGE_US_READ_1404550417	88702	97.35	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
27|JGI_SLUDGE_US_READ_1404911737	6702	96.78	0.0	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Dechloromonas; Unclassified; otu_2765
28|JGI_SLUDGE_US_READ_1404570550	7820	95.49	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Unclassified; otu_3481
29|JGI_SLUDGE_US_READ_1404744803	6702	96.66	0.0	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Dechloromonas; Unclassified; otu_2765
30|JGI_SLUDGE_US_READ_1404893149	6702	96.66	0.0	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Dechloromonas; Unclassified; otu_2765
31|JGI_SLUDGE_US_READ_1404904041	6702	96.43	0.0	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Dechloromonas; Unclassified; otu_2765
32|JGI_SLUDGE_US_READ_1404551476	45877	95.38	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
33|JGI_SLUDGE_US_READ_1401973384	7820	93.23	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Unclassified; otu_3481
34|JGI_SLUDGE_US_READ_1404753173	6702	92.15	0.0	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Dechloromonas; Unclassified; otu_2765
35|JGI_SLUDGE_US_READ_1404973927	6702	96.08	0.0	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Dechloromonas; Unclassified; otu_2765
36|JGI_SLUDGE_US_READ_1404752655	142837	98.25	0.0	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Chitinophagaceae; Flavisolibacter; Unclassified; otu_913
37|JGI_SLUDGE_US_READ_1404752293	142837	98.25	0.0	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Chitinophagaceae; Flavisolibacter; Unclassified; otu_913
38|JGI_SLUDGE_US_READ_1404904957	45877	95.62	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
39|JGI_SLUDGE_US_READ_1404884543	6702	99.77	0.0	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Dechloromonas; Unclassified; otu_2765
40|JGI_SLUDGE_US_READ_1404542673	6702	96.15	0.0	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Dechloromonas; Unclassified; otu_2765
41|JGI_SLUDGE_US_READ_1404881219	2596	91.92	0.0	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Flexibacteraceae; Dyadobacter; Unclassified; otu_967
42|JGI_SLUDGE_US_READ_1404552888	105079	98.95	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Nitratireductor; Unclassified; otu_2227
43|JGI_SLUDGE_US_READ_1404549075	6702	95.58	1e-168	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Dechloromonas; Unclassified; otu_2765
44|JGI_SLUDGE_US_READ_1404565499	6763	96.44	9e-163	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Thauera; Unclassified; otu_2780
45|JGI_SLUDGE_US_READ_1404745092	29770	94.59	7e-170	Bacteria; Unclassified; otu_205
46|JGI_SLUDGE_US_READ_1404888139	6702	87.63	8e-106	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Dechloromonas; Unclassified; otu_2765
47|JGI_SLUDGE_US_READ_1401972919	6702	95.65	6e-139	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Dechloromonas; Unclassified; otu_2765
48|JGI_SLUDGE_US_READ_1404571212	6702	95.42	1e-118	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Dechloromonas; Unclassified; otu_2765
49|JGI_SLUDGE_US_READ_1404628823	78916	96.67	9e-116	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Acidovorax; Unclassified; otu_2593
50|JGI_SLUDGE_US_READ_1404571575	6702	94.53	2e-110	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Dechloromonas; Unclassified; otu_2765
51|JGI_SLUDGE_US_READ_1404626953	60618	91.2	1e-87	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter; Unclassified; otu_2541
52|JGI_SLUDGE_US_READ_1401975373	108713	94.47	5e-83	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Microbacteriaceae; Unclassified; otu_382
53|JGI_SLUDGE_US_READ_1404627213	215580	84.44	2e-37	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Sphingobacteriaceae; Sphingoterrabacterium; Unclassified; otu_1030
54|JGI_SLUDGE_US_READ_1404741900	6702	91.19	3e-63	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Dechloromonas; Unclassified; otu_2765
56|JGI_SLUDGE_US_READ_1404753511	214543	91.72	1e-56	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Flexibacteraceae; Cytophaga; Unclassified; otu_964
57|JGI_SLUDGE_US_READ_1404980272	6702	96.18	4e-58	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Dechloromonas; Unclassified; otu_2765
58|JGI_SLUDGE_US_READ_1404753866	215462	90.18	6e-48	Bacteria; Bacteroidetes; Bacteroidetes (class); Bacteroidales; Rikenellaceae; Alistipes; otu_720
59|JGI_SLUDGE_US_READ_1404567448	138944	100	2e-33	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Unclassified; otu_2756
1|rev|JGI_SLUDGE_US_READ_1404543422	155780	93.24	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Unclassified; otu_821
2|rev|JGI_SLUDGE_US_READ_1404540552	142837	94.53	0.0	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Chitinophagaceae; Flavisolibacter; Unclassified; otu_913
3|rev|JGI_SLUDGE_US_READ_1404905045	45877	95.23	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
4|rev|JGI_SLUDGE_US_READ_1404741621	154287	92.27	0.0	Bacteria; Bacteroidetes; Niastella; otu_904
