Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|WesternChannelOMM_READ_07319904	226754	96.88	3e-42	Bacteria; Proteobacteria; Unclassified; otu_2091
2|WesternChannelOMM_READ_07322939	132521	98.89	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
3|WesternChannelOMM_READ_07320339	226754	95.65	2e-37	Bacteria; Proteobacteria; Unclassified; otu_2091
4|WesternChannelOMM_READ_07327729	138778	96.67	1e-38	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
5|WesternChannelOMM_READ_07318134	127094	100	5e-47	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
6|WesternChannelOMM_READ_07327300	138778	97.87	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
7|WesternChannelOMM_READ_07320102	138778	96.77	2e-40	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
8|WesternChannelOMM_READ_07326512	221659	97.87	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
9|WesternChannelOMM_READ_07319267	167146	95.79	1e-38	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
10|WesternChannelOMM_READ_07323938	196857	98.94	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
11|WesternChannelOMM_READ_07320168	132521	98.9	5e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
12|WesternChannelOMM_READ_07325807	137423	100	5e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Francisellaceae; Francisella; Unclassified; otu_3401
13|WesternChannelOMM_READ_07325491	96014	97.83	3e-42	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
14|WesternChannelOMM_READ_07319337	221659	97.92	1e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
15|WesternChannelOMM_READ_07318965	231968	98.89	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
16|WesternChannelOMM_READ_07324438	231968	98.89	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
