Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|WesternChannelOMM_READ_07308072	5798	91.25	3e-91	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Unclassified; otu_2350
2|WesternChannelOMM_READ_07303656	101111	99.23	5e-142	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
3|WesternChannelOMM_READ_07305462	101111	94.88	9e-110	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
dup2WesternChannelOMM_READ_07302514	95046	90.91	2e-35	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Unclassified; otu_2350
6|WesternChannelOMM_READ_07307814	132521	98.96	5e-47	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
7|WesternChannelOMM_READ_07302617	132521	97.87	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
8|WesternChannelOMM_READ_07304898	167146	96.81	5e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
9|WesternChannelOMM_READ_07303153	132521	97.87	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
11|WesternChannelOMM_READ_07301358	73788	94.79	2e-37	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
12|WesternChannelOMM_READ_07299560	96014	100	3e-48	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
13|WesternChannelOMM_READ_07301516	91272	96.74	7e-40	Bacteria; Proteobacteria; Gammaproteobacteria; Nitrincola; otu_3267
14|WesternChannelOMM_READ_07299744	96014	98.94	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
15|WesternChannelOMM_READ_07302041	96014	100	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
16|WesternChannelOMM_READ_07297496	96014	100	3e-48	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
17|WesternChannelOMM_READ_07300339	96014	100	3e-48	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
18|WesternChannelOMM_READ_07306991	96014	100	3e-48	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
20|WesternChannelOMM_READ_07296971	127094	97.89	5e-44	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
21|WesternChannelOMM_READ_07303537	96014	98.89	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
22|WesternChannelOMM_READ_07308046	96014	98.89	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
23|WesternChannelOMM_READ_07299917	96014	100	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
24|WesternChannelOMM_READ_07300134	96014	100	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
25|WesternChannelOMM_READ_07301147	96014	97.92	1e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
26|WesternChannelOMM_READ_07296463	96014	98.96	5e-47	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
27|WesternChannelOMM_READ_07299741	96014	98.96	5e-47	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
28|WesternChannelOMM_READ_07300913	127094	97.83	3e-42	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
29|WesternChannelOMM_READ_07301127	96014	98.94	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
30|WesternChannelOMM_READ_07296550	96014	100	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
31|WesternChannelOMM_READ_07302425	113435	96.67	3e-39	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas; Unclassified; otu_3003
32|WesternChannelOMM_READ_07305937	96014	98.96	5e-47	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
33|WesternChannelOMM_READ_07306333	225963	97.78	5e-41	Bacteria; Unclassified; otu_205
34|WesternChannelOMM_READ_07301812	224949	94.79	7e-37	Bacteria; Firmicutes; Bacillales; Bacillaceae; Bacillus; Unclassified; otu_1368
35|WesternChannelOMM_READ_07302249	224949	94.79	7e-37	Bacteria; Firmicutes; Bacillales; Bacillaceae; Bacillus; Unclassified; otu_1368
36|WesternChannelOMM_READ_07304516	164097	98.94	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia; Unclassified; otu_3153
37|WesternChannelOMM_READ_07304334	96014	97.83	3e-42	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
39|WesternChannelOMM_READ_07306063	132521	96.7	1e-38	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
40|WesternChannelOMM_READ_07307035	132521	97.78	5e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
41|WesternChannelOMM_READ_07299272	137423	100	5e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Francisellaceae; Francisella; Unclassified; otu_3401
42|WesternChannelOMM_READ_07300606	96014	98.91	1e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
43|WesternChannelOMM_READ_07305891	96014	98.91	1e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
44|WesternChannelOMM_READ_07307379	96014	98.91	1e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
45|WesternChannelOMM_READ_07296435	132521	97.87	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
46|WesternChannelOMM_READ_07300943	127094	98.89	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
47|WesternChannelOMM_READ_07301514	127094	98.89	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
48|WesternChannelOMM_READ_07302580	127094	98.94	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
49|WesternChannelOMM_READ_07298528	127094	100	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
50|WesternChannelOMM_READ_07299853	132521	97.78	5e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
51|WesternChannelOMM_READ_07300043	132521	97.78	5e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
52|WesternChannelOMM_READ_07301262	132521	97.78	5e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
53|WesternChannelOMM_READ_07306427	132521	97.78	5e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
54|WesternChannelOMM_READ_07297024	127094	100	3e-48	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
55|WesternChannelOMM_READ_07300924	127094	100	3e-48	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
56|WesternChannelOMM_READ_07301482	127094	100	3e-48	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
57|WesternChannelOMM_READ_07301489	127094	100	3e-48	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
58|WesternChannelOMM_READ_07304035	132521	96.88	3e-42	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
59|WesternChannelOMM_READ_07305613	132521	97.87	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
62|WesternChannelOMM_READ_07303079	127094	97.78	5e-41	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
63|WesternChannelOMM_READ_07304917	95512	94.57	4e-35	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
64|WesternChannelOMM_READ_07301343	127094	97.78	5e-41	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
65|WesternChannelOMM_READ_07298306	127094	98.89	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
66|WesternChannelOMM_READ_07300679	127094	98.89	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
67|WesternChannelOMM_READ_07301599	127094	98.89	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
68|WesternChannelOMM_READ_07302128	127094	98.89	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
69|WesternChannelOMM_READ_07301214	127094	100	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
70|WesternChannelOMM_READ_07303521	132521	96.74	7e-40	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
71|WesternChannelOMM_READ_07304297	132521	96.81	5e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
73|WesternChannelOMM_READ_07301857	58675	96.94	8e-43	Bacteria; Firmicutes; Bacillales; Bacillaceae; Bacillus; Unclassified; otu_1368
74|WesternChannelOMM_READ_07297938	225963	95.65	2e-37	Bacteria; Unclassified; otu_205
75|WesternChannelOMM_READ_07298899	127094	98.96	5e-47	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
76|WesternChannelOMM_READ_07304307	127094	97.83	3e-42	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
77|WesternChannelOMM_READ_07299834	127094	98.91	1e-44	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
78|WesternChannelOMM_READ_07301379	127094	97.78	5e-41	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
