Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|WesternChannelOMM_READ_07288211	132521	97.78	5e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
2|WesternChannelOMM_READ_07293037	132521	97.78	5e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
4|WesternChannelOMM_READ_07287767	96014	98.94	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
5|WesternChannelOMM_READ_07289777	96014	100	3e-48	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
6|WesternChannelOMM_READ_07291971	218720	97.78	5e-41	Bacteria; Unclassified; otu_205
7|WesternChannelOMM_READ_07288218	96014	98.89	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
8|WesternChannelOMM_READ_07296331	96014	98.89	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
9|WesternChannelOMM_READ_07291280	96014	100	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
10|WesternChannelOMM_READ_07295972	96014	100	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
11|WesternChannelOMM_READ_07290923	96014	98.96	5e-47	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
12|WesternChannelOMM_READ_07295163	96014	98.91	1e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
13|WesternChannelOMM_READ_07295988	207691	95.56	3e-36	Bacteria; Unclassified; otu_205
15|WesternChannelOMM_READ_07290309	127094	98.94	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
16|WesternChannelOMM_READ_07291808	127094	98.94	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
17|WesternChannelOMM_READ_07293423	127094	98.94	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
18|WesternChannelOMM_READ_07289901	164271	97.78	5e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
19|WesternChannelOMM_READ_07293651	96014	98.91	1e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
