Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|SalternMetagenome_READ_01792826	155199	98.33	8e-59	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillum; Unclassified; otu_3311
2|NCBI_NT_173080243	218720	100	7e-56	Bacteria; Unclassified; otu_205
3|NCBI_NT_175473195	217947	99.02	1e-50	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Unclassified; otu_2570
4|NCBI_NT_173100530	50403	100	7e-59	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
5|NCBI_NT_175397214	229009	100	5e-50	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella; Unclassified; otu_3048
6|NCBI_NT_173070914	46111	100	1e-57	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Photorhabdus; Unclassified; otu_3172
7|NCBI_NT_173072271	46111	100	7e-56	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Photorhabdus; Unclassified; otu_3172
8|NCBI_NT_175443776	229009	100	9e-49	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella; Unclassified; otu_3048
9|SalternMetagenome_READ_01759373	155199	95.9	1e-51	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillum; Unclassified; otu_3311
10|NCBI_NT_172996429	214508	100	7e-56	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Citrobacter; Unclassified; otu_3141
11|NCBI_NT_173086900	218720	98.15	1e-51	Bacteria; Unclassified; otu_205
12|NCBI_NT_173069376	10056	100	1e-57	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Buttiauxella; otu_3135
13|NCBI_NT_173159227	110392	96.64	7e-53	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Bordetella; Unclassified; otu_2548
14|NCBI_NT_184440657	218720	100	2e-53	Bacteria; Unclassified; otu_205
15|NCBI_NT_173032579	214508	100	2e-56	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Citrobacter; Unclassified; otu_3141
16|NCBI_NT_175661430	141639	99.12	4e-57	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella; Unclassified; otu_3048
17|NCBI_NT_184909815	141639	99.07	2e-53	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella; Unclassified; otu_3048
18|NCBI_NT_173015583	165882	100	1e-50	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Serratia; Unclassified; otu_3200
19|NCBI_NT_184370803	218720	100	2e-52	Bacteria; Unclassified; otu_205
20|NCBI_NT_184326001	50403	100	7e-46	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
21|NCBI_NT_175616807	146872	100	4e-51	Bacteria; Firmicutes; Bacillales; Staphylococcus; Unclassified; otu_1483
22|SalternMetagenome_READ_01882757	155199	98.02	5e-47	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillum; Unclassified; otu_3311
