Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|WesternChannelOMM_READ_07313238	63760	100	5e-47	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
2|WesternChannelOMM_READ_07317499	132521	100	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
4|WesternChannelOMM_READ_07314461	132521	97.78	5e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
6|WesternChannelOMM_READ_07311424	218720	98.89	2e-43	Bacteria; Unclassified; otu_205
8|WesternChannelOMM_READ_07311251	137423	98.85	1e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Francisellaceae; Francisella; Unclassified; otu_3401
9|WesternChannelOMM_READ_07309729	110621	97.78	5e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
11|WesternChannelOMM_READ_07312813	218720	97.92	1e-44	Bacteria; Unclassified; otu_205
14|WesternChannelOMM_READ_07310280	218720	98.91	1e-44	Bacteria; Unclassified; otu_205
15|WesternChannelOMM_READ_07317810	218720	98.92	3e-45	Bacteria; Unclassified; otu_205
16|WesternChannelOMM_READ_07313548	96014	98.89	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
17|WesternChannelOMM_READ_07310751	137423	95.4	2e-34	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Francisellaceae; Francisella; Unclassified; otu_3401
18|WesternChannelOMM_READ_07310069	221659	97.87	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
19|WesternChannelOMM_READ_07311487	221659	98.94	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
20|WesternChannelOMM_READ_07311551	221659	98.94	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
21|WesternChannelOMM_READ_07315899	218720	97.8	5e-41	Bacteria; Unclassified; otu_205
22|WesternChannelOMM_READ_07310217	132286	98.89	2e-43	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Janthinobacterium; Unclassified; otu_2654
23|WesternChannelOMM_READ_07312253	226754	96.67	1e-38	Bacteria; Proteobacteria; Unclassified; otu_2091
25|WesternChannelOMM_READ_07309633	58675	100	2e-49	Bacteria; Firmicutes; Bacillales; Bacillaceae; Bacillus; Unclassified; otu_1368
26|WesternChannelOMM_READ_07309672	58675	100	2e-49	Bacteria; Firmicutes; Bacillales; Bacillaceae; Bacillus; Unclassified; otu_1368
27|WesternChannelOMM_READ_07313651	167146	97.78	5e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
28|WesternChannelOMM_READ_07310922	221498	98.89	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
29|WesternChannelOMM_READ_07310543	58675	98.96	5e-47	Bacteria; Firmicutes; Bacillales; Bacillaceae; Bacillus; Unclassified; otu_1368
30|WesternChannelOMM_READ_07309700	110621	97.92	1e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
31|WesternChannelOMM_READ_07315742	132521	98.89	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
32|WesternChannelOMM_READ_07308792	221498	100	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
33|WesternChannelOMM_READ_07309235	137423	98.85	1e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Francisellaceae; Francisella; Unclassified; otu_3401
34|WesternChannelOMM_READ_07309808	137423	98.85	1e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Francisellaceae; Francisella; Unclassified; otu_3401
35|WesternChannelOMM_READ_07316149	137423	98.85	1e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Francisellaceae; Francisella; Unclassified; otu_3401
36|WesternChannelOMM_READ_07309607	137423	100	5e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Francisellaceae; Francisella; Unclassified; otu_3401
37|WesternChannelOMM_READ_07311624	137423	100	5e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Francisellaceae; Francisella; Unclassified; otu_3401
38|WesternChannelOMM_READ_07312470	137423	100	5e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Francisellaceae; Francisella; Unclassified; otu_3401
39|WesternChannelOMM_READ_07314772	137423	100	5e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Francisellaceae; Francisella; Unclassified; otu_3401
40|WesternChannelOMM_READ_07309049	58675	98.94	8e-46	Bacteria; Firmicutes; Bacillales; Bacillaceae; Bacillus; Unclassified; otu_1368
