Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|CoralMetagenome_READ_00506914	60733	100	1e-57	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Unclassified; otu_821
2|CoralMetagenome_READ_00507798	214543	94.34	5e-41	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Flexibacteraceae; Cytophaga; Unclassified; otu_964
3|CoralMetagenome_READ_00499127	60733	100	2e-46	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Unclassified; otu_821
4|CoralMetagenome_READ_00514116	155780	100	6e-53	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Unclassified; otu_821
5|CoralMetagenome_READ_00496850	79767	96.04	9e-43	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
6|CoralMetagenome_READ_00516692	82233	95.83	7e-40	Bacteria; Unclassified; otu_205
7|CoralMetagenome_READ_00490146	60733	100	2e-40	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Unclassified; otu_821
8|CoralMetagenome_READ_00512244	116532	95.7	4e-38	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Krokinobacter; otu_842
1|rev|CoralMetagenome_READ_00491306	103662	100	3e-42	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Unclassified; otu_821
2|rev|CoralMetagenome_READ_00496439	214543	100	2e-49	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Flexibacteraceae; Cytophaga; Unclassified; otu_964
3|rev|CoralMetagenome_READ_00492564	1913	100	1e-35	Bacteria; Unclassified; otu_205
4|rev|CoralMetagenome_READ_00514143	192192	94.17	1e-38	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Unclassified; otu_821
5|rev|CoralMetagenome_READ_00511645	192192	92.04	2e-37	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Unclassified; otu_821
7|rev|CoralMetagenome_READ_00494696	65383	98.97	1e-47	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Serratia; Unclassified; otu_3200
8|rev|CoralMetagenome_READ_00499017	155780	94.44	3e-42	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Unclassified; otu_821
