Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|WesternChannelOMM_READ_02472263	5645	96.26	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
3|WesternChannelOMM_READ_02473558	164914	93.21	4e-112	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
dup2WesternChannelOMM_READ_02473558	37234	91.26	3e-69	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Magnetospirillum; Unclassified; otu_2438
5|WesternChannelOMM_READ_02527262	150680	98.72	1e-123	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinobacter; Unclassified; otu_3013
dup2WesternChannelOMM_READ_02527262	5685	96.32	3e-87	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; Unclassified; otu_2363
7|WesternChannelOMM_READ_02440083	164914	92.33	4e-131	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
8|WesternChannelOMM_READ_02523994	204762	98.97	1e-47	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
dup2WesternChannelOMM_READ_02523994	101111	98.88	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
10|WesternChannelOMM_READ_02545386	101111	95.15	2e-40	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
dup2WesternChannelOMM_READ_02545386	101111	98.83	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
12|WesternChannelOMM_READ_02431741	101111	97.83	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
13|WesternChannelOMM_READ_02432785	101111	97.83	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
14|WesternChannelOMM_READ_02435471	101111	97.03	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
15|WesternChannelOMM_READ_02538991	101111	98.06	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
16|WesternChannelOMM_READ_02435056	101111	97.26	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
17|WesternChannelOMM_READ_02524692	69013	94.98	5e-143	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
18|WesternChannelOMM_READ_02416650	69013	95.28	2e-145	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
19|WesternChannelOMM_READ_02529984	69013	95.3	4e-146	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
20|WesternChannelOMM_READ_02436309	230366	93.28	7e-44	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
dup2WesternChannelOMM_READ_02436309	230366	93.63	5e-102	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
22|WesternChannelOMM_READ_02496076	143237	93.39	7e-142	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
dup2WesternChannelOMM_READ_02525040	143237	93.67	2e-136	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
25|WesternChannelOMM_READ_02491771	143237	93.41	2e-142	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
26|WesternChannelOMM_READ_02425866	69013	94.69	3e-141	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
27|WesternChannelOMM_READ_02545199	214060	95.38	4e-137	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Unclassified; otu_268
dup2WesternChannelOMM_READ_02493044	143237	94.5	3e-125	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
dup2WesternChannelOMM_READ_02525221	143237	94.25	6e-133	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
32|WesternChannelOMM_READ_02472232	17553	96.3	1e-60	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
dup2WesternChannelOMM_READ_02472232	143237	94.81	1e-99	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
34|WesternChannelOMM_READ_02521099	17553	94.12	8e-53	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
dup2WesternChannelOMM_READ_02521099	143237	94.61	1e-102	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
dup2WesternChannelOMM_READ_02436051	143237	94.53	9e-135	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
38|WesternChannelOMM_READ_02527307	143237	94.03	3e-141	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
