Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|CellCapture_READ_00425944	6901	100	1e-145	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; Unclassified; otu_2604
2|CellCapture_READ_00402712	7056	99.62	5e-145	Bacteria; Unclassified; otu_205
3|CellCapture_READ_00259394	46201	100	1e-142	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
4|CellCapture_READ_00364112	6901	98.53	2e-144	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; Unclassified; otu_2604
5|CellCapture_READ_00228603	7056	100	9e-147	Bacteria; Unclassified; otu_205
6|CellCapture_READ_00350226	6901	98.5	2e-141	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; Unclassified; otu_2604
7|CellCapture_READ_00415014	6901	98.5	2e-141	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; Unclassified; otu_2604
8|CellCapture_READ_00490951	6901	99.25	4e-146	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; Unclassified; otu_2604
9|CellCapture_READ_00373357	134438	98.87	1e-142	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
10|CellCapture_READ_00426380	6901	98.5	3e-140	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; Unclassified; otu_2604
11|CellCapture_READ_00454597	110621	100	2e-144	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
12|CellCapture_READ_00282576	6901	100	9e-147	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; Unclassified; otu_2604
13|CellCapture_READ_00483282	134438	99.15	6e-126	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
14|CellCapture_READ_00446495	5266	98.13	1e-139	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Agrobacterium; Unclassified; otu_2237
15|CellCapture_READ_00429199	6901	99.18	4e-133	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; Unclassified; otu_2604
16|CellCapture_READ_00424469	128706	98.76	3e-128	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium; Unclassified; otu_2225
17|CellCapture_READ_00469376	6901	98.83	5e-136	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; Unclassified; otu_2604
18|CellCapture_READ_00450520	6901	98.8	1e-133	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; Unclassified; otu_2604
19|CellCapture_READ_00343702	6901	99.2	2e-135	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; Unclassified; otu_2604
20|CellCapture_READ_00269648	6901	98.07	1e-133	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; Unclassified; otu_2604
21|CellCapture_READ_00396697	6901	99.16	2e-129	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; Unclassified; otu_2604
22|CellCapture_READ_00439235	46201	99.21	2e-138	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
23|CellCapture_READ_00250029	6901	97.69	4e-108	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; Unclassified; otu_2604
24|CellCapture_READ_00302767	68992	99.47	1e-101	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Hoeflea; otu_2224
25|CellCapture_READ_00393298	114375	99.5	9e-110	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Flexibacteraceae; Cytophaga; Unclassified; otu_964
26|CellCapture_READ_00419790	111289	97.4	1e-114	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Unclassified; otu_3481
27|CellCapture_READ_00287781	6901	98.21	3e-115	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; Unclassified; otu_2604
28|CellCapture_READ_00469483	150538	98.87	1e-92	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Sulfurimonas; Unclassified; otu_2961
29|CellCapture_READ_00344333	6901	96.64	5e-114	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; Unclassified; otu_2604
30|CellCapture_READ_00381012	92037	100	1e-114	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
31|CellCapture_READ_00462852	69031	100	2e-107	other sequences; artificial sequences; vectors; otu_4243
32|CellCapture_READ_00431992	6901	98.49	1e-139	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; Unclassified; otu_2604
33|CellCapture_READ_00391088	141206	98.28	4e-121	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
34|CellCapture_READ_00433072	143846	96.81	2e-138	Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halobacterium; Unclassified; otu_79
35|CellCapture_READ_00240636	104381	96.65	3e-84	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Unclassified; otu_2570
36|CellCapture_READ_00426259	143237	97.6	3e-81	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
37|CellCapture_READ_00440917	196718	100	1e-95	Bacteria; Firmicutes; Lactobacillales; Streptococcaceae; Streptococcus; Unclassified; otu_1946
38|CellCapture_READ_00335863	14894	99.4	4e-89	Bacteria; Firmicutes; Bacillales; Staphylococcus; Unclassified; otu_1483
39|CellCapture_READ_00298246	6901	99.53	5e-117	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; Unclassified; otu_2604
40|CellCapture_READ_00469060	6901	100	1e-101	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; Unclassified; otu_2604
