Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|WesternChannelOMM_READ_05452912	5793	96.24	0.0	Bacteria; Antarctic; otu_655
2|WesternChannelOMM_READ_05462887	9760	98.21	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella; Salmonella enterica subsp. enterica serovar Saintpaul; otu_3195
3|WesternChannelOMM_READ_05437123	171306	98.66	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia; Unclassified; otu_3153
4|WesternChannelOMM_READ_05478933	5793	95.79	0.0	Bacteria; Antarctic; otu_655
5|WesternChannelOMM_READ_05459723	108110	97.18	3e-103	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
dup2WesternChannelOMM_READ_05459723	111879	90.96	7e-54	Bacteria; Unclassified; otu_205
7|WesternChannelOMM_READ_05401879	55371	93.85	4e-159	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
8|WesternChannelOMM_READ_05458099	44012	94.51	2e-142	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Paracoccus; Unclassified; otu_2334
10|WesternChannelOMM_READ_05418676	55371	93.99	9e-157	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
11|WesternChannelOMM_READ_05398880	55371	92.59	8e-148	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
dup2WesternChannelOMM_READ_05449205	55371	93.31	5e-127	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
14|WesternChannelOMM_READ_05377444	108110	98.63	3e-74	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
dup2WesternChannelOMM_READ_05377444	44012	91.53	9e-82	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Paracoccus; Unclassified; otu_2334
16|WesternChannelOMM_READ_05409312	108110	97.45	1e-95	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
dup2WesternChannelOMM_READ_05409312	111879	97.96	1e-45	Bacteria; Unclassified; otu_205
18|WesternChannelOMM_READ_05390621	108110	98.6	2e-72	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
dup2WesternChannelOMM_READ_05390621	55371	91.74	1e-77	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
20|WesternChannelOMM_READ_05454853	108110	96.32	7e-129	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
22|WesternChannelOMM_READ_05392565	108110	97.88	2e-94	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
dup2WesternChannelOMM_READ_05392565	111879	92.42	3e-46	Bacteria; Unclassified; otu_205
dup2WesternChannelOMM_READ_05426984	108110	94.81	4e-118	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
26|WesternChannelOMM_READ_05395833	5685	96.07	1e-130	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; Unclassified; otu_2363
28|WesternChannelOMM_READ_05415773	108110	96.34	2e-116	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
dup2WesternChannelOMM_READ_05415773	31848	100	7e-33	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobacteraceae; Desulfococcus; otu_2812
30|WesternChannelOMM_READ_05450057	111879	95.8	1e-61	Bacteria; Unclassified; otu_205
dup2WesternChannelOMM_READ_05450057	44012	93.3	2e-73	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Paracoccus; Unclassified; otu_2334
32|WesternChannelOMM_READ_05452006	108110	96.57	6e-95	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
dup2WesternChannelOMM_READ_05452006	111879	98.78	1e-38	Bacteria; Unclassified; otu_205
34|WesternChannelOMM_READ_05437048	108110	96.12	1e-93	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
dup2WesternChannelOMM_READ_05437048	111879	98.78	1e-38	Bacteria; Unclassified; otu_205
36|WesternChannelOMM_READ_05406756	44012	95.07	2e-135	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Paracoccus; Unclassified; otu_2334
37|WesternChannelOMM_READ_05413192	55371	93.65	2e-123	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
38|WesternChannelOMM_READ_05496563	108110	97.66	1e-83	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
dup2WesternChannelOMM_READ_05496563	111879	97.96	9e-46	Bacteria; Unclassified; otu_205
