Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|JGI_AMD_5WAY_IRNMTN_READ_1704651431	41859	92.66	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
2|JGI_AMD_5WAY_IRNMTN_READ_1704645929	41859	92.9	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
3|JGI_AMD_5WAY_IRNMTN_READ_1541001748	41859	93.01	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
4|JGI_AMD_5WAY_IRNMTN_READ_1541018998	41859	93.19	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
5|JGI_AMD_5WAY_IRNMTN_READ_1704649536	41859	92.96	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
6|JGI_AMD_5WAY_IRNMTN_READ_1541021761	41859	92.88	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
7|JGI_AMD_5WAY_IRNMTN_READ_1540948871	41859	90.65	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
8|JGI_AMD_5WAY_IRNMTN_READ_1540951132	41859	90.88	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
9|JGI_AMD_5WAY_IRNMTN_READ_1541009162	41859	91.48	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
10|JGI_AMD_5WAY_IRNMTN_READ_1704695882	41859	93.35	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
11|JGI_AMD_5WAY_IRNMTN_READ_1704681739	41859	91.84	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
12|JGI_AMD_5WAY_IRNMTN_READ_1704687929	41859	92.41	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
13|JGI_AMD_5WAY_IRNMTN_READ_1704696670	41859	93.39	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
14|JGI_AMD_5WAY_IRNMTN_READ_1704638968	41859	92.25	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
15|JGI_AMD_5WAY_IRNMTN_READ_1540950459	41859	92.71	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
16|JGI_AMD_5WAY_IRNMTN_READ_1540919562	41859	92.51	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
17|JGI_AMD_5WAY_IRNMTN_READ_1704692811	41859	92.27	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
18|JGI_AMD_5WAY_IRNMTN_READ_1704629471	41859	92.45	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
19|JGI_AMD_5WAY_IRNMTN_READ_1540928276	41859	93.53	0.0	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum; Unclassified; otu_2058
