Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|Bacterioplankton_READ_00272834	92037	98.88	2e-144	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
2|Bacterioplankton_READ_00274489	92037	98.88	2e-144	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
3|Bacterioplankton_READ_00231703	68992	93.24	2e-113	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Hoeflea; otu_2224
4|Bacterioplankton_READ_00242453	96014	98.8	3e-134	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
5|Bacterioplankton_READ_00257602	96014	98.8	3e-134	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
6|Bacterioplankton_READ_00238960	92037	100	1e-145	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
7|Bacterioplankton_READ_00263836	68992	99.2	5e-136	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Hoeflea; otu_2224
8|Bacterioplankton_READ_00251608	111879	94.12	4e-115	Bacteria; Unclassified; otu_205
9|Bacterioplankton_READ_00274677	111879	94.12	4e-115	Bacteria; Unclassified; otu_205
10|Bacterioplankton_READ_00258655	92037	98.88	6e-145	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
11|Bacterioplankton_READ_00252475	92037	100	5e-145	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
12|Bacterioplankton_READ_00231457	5903	96.86	1e-124	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Unclassified; otu_2158
13|Bacterioplankton_READ_00247914	92037	99.63	6e-148	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
14|Bacterioplankton_READ_00214923	149878	95.53	1e-111	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Pelobacteraceae; Pelobacter; Unclassified; otu_2884
15|Bacterioplankton_READ_00221990	53290	96.53	6e-123	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Nocardioidaceae; Aeromicrobium; Unclassified; otu_498
16|Bacterioplankton_READ_00249609	118269	96.43	3e-134	Bacteria; Bacteroidetes; Unclassified; otu_684
17|Bacterioplankton_READ_00270671	230638	98.85	1e-139	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Azorhizobium; otu_2269
18|Bacterioplankton_READ_00248446	92037	99.58	2e-129	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
