Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|SargassoSea_READ_00509353	125759	95.71	7e-129	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
2|SargassoSea_READ_00552182	125759	96.03	2e-129	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
3|SargassoSea_READ_00556807	125759	96.97	2e-129	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
4|SargassoSea_READ_00456590	125759	95.68	1e-127	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
5|SargassoSea_READ_00496183	125759	95.68	1e-127	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
6|SargassoSea_READ_00497801	125759	94.64	1e-121	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
7|SargassoSea_READ_00396165	125759	95.67	5e-127	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
8|SargassoSea_READ_00460578	125759	95.67	5e-127	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
9|SargassoSea_READ_00550373	74504	96.38	8e-132	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Coxiellaceae; Coxiella; Unclassified; otu_3231
10|SargassoSea_READ_00507427	125759	95.34	3e-125	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
11|SargassoSea_READ_00492685	125759	95.65	2e-126	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
12|SargassoSea_READ_00526710	125759	95.29	2e-123	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
13|SargassoSea_READ_00474305	68994	100	5e-161	Bacteria; Unclassified; otu_205
14|SargassoSea_READ_00512146	68995	96.59	4e-127	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum; Unclassified; otu_2430
15|SargassoSea_READ_00563074	32355	94.8	4e-118	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Coxiellaceae; Coxiella; Unclassified; otu_3231
16|SargassoSea_READ_00516077	98298	94.36	2e-113	Bacteria; Proteobacteria; Unclassified; otu_2091
17|SargassoSea_READ_00583402	83477	93.26	2e-107	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Coxiellaceae; Coxiella; Unclassified; otu_3231
18|SargassoSea_READ_00547262	103709	95	1e-114	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum; Unclassified; otu_2430
19|SargassoSea_READ_00365023	103807	97.41	3e-134	Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylococcus; Unclassified; otu_3253
20|SargassoSea_READ_00480548	234175	99.24	3e-143	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Pelobacteraceae; Pelobacter; Unclassified; otu_2884
21|SargassoSea_READ_00319887	68994	99.3	4e-158	Bacteria; Unclassified; otu_205
22|SargassoSea_READ_00384158	68994	99.3	4e-158	Bacteria; Unclassified; otu_205
23|SargassoSea_READ_00595308	68994	98.65	3e-159	Bacteria; Unclassified; otu_205
24|SargassoSea_READ_00318533	164914	95.7	3e-128	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
25|SargassoSea_READ_00312405	164914	95.7	3e-128	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
26|SargassoSea_READ_00338031	25832	95.72	1e-117	Bacteria; Proteobacteria; Alphaproteobacteria; Kopriimonadales; Kopriimonadaceae; Kopriimonas; otu_2115
27|SargassoSea_READ_00410100	68974	97.65	7e-129	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Candidatus Liberibacter; otu_2240
28|SargassoSea_READ_00481931	164914	95.67	5e-127	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
29|SargassoSea_READ_00474602	128032	97.98	4e-127	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micromonosporineae; Micromonosporaceae; Salinispora; otu_487
30|SargassoSea_READ_00489245	68994	99.3	7e-157	Bacteria; Unclassified; otu_205
31|SargassoSea_READ_00536675	164914	95.7	3e-128	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
32|SargassoSea_READ_00559567	55371	94.8	1e-118	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
33|SargassoSea_READ_00536824	61204	98.59	6e-151	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium; Unclassified; otu_2248
34|SargassoSea_READ_00306971	92037	96.89	3e-125	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
35|SargassoSea_READ_00330028	92037	96.89	3e-125	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
36|SargassoSea_READ_00403693	92037	96.89	3e-125	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
37|SargassoSea_READ_00418426	92037	96.89	3e-125	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
38|SargassoSea_READ_00466196	92037	96.89	3e-125	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
39|SargassoSea_READ_00490414	92037	96.89	3e-125	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
40|SargassoSea_READ_00540244	92037	97.67	4e-130	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
41|SargassoSea_READ_00586629	92037	97.67	4e-130	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
42|SargassoSea_READ_00532835	68994	97.48	3e-140	Bacteria; Unclassified; otu_205
43|SargassoSea_READ_00486947	55371	94.8	1e-118	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
44|SargassoSea_READ_00383289	68994	97.49	3e-140	Bacteria; Unclassified; otu_205
45|SargassoSea_READ_00571029	68992	98.94	1e-152	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Hoeflea; otu_2224
46|SargassoSea_READ_00503656	5903	97.45	2e-138	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Unclassified; otu_2158
47|SargassoSea_READ_00389293	92037	96.89	3e-125	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
48|SargassoSea_READ_00458141	92037	96.89	3e-125	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
49|SargassoSea_READ_00529348	5903	97.45	2e-138	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Unclassified; otu_2158
50|SargassoSea_READ_00589986	68994	98.6	1e-152	Bacteria; Unclassified; otu_205
51|SargassoSea_READ_00390747	68994	99.6	3e-140	Bacteria; Unclassified; otu_205
52|SargassoSea_READ_00501960	92037	100	4e-149	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
53|SargassoSea_READ_00478064	92037	96.86	4e-124	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
54|SargassoSea_READ_00525255	92037	98.46	1e-136	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
55|SargassoSea_READ_00486434	103709	95.35	9e-116	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum; Unclassified; otu_2430
56|SargassoSea_READ_00352866	92037	97.67	4e-130	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
57|SargassoSea_READ_00572964	5903	95.6	3e-125	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Unclassified; otu_2158
58|SargassoSea_READ_00535184	5903	97.42	1e-136	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Unclassified; otu_2158
59|SargassoSea_READ_00460798	92037	96.51	6e-123	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
60|SargassoSea_READ_00470250	92037	97.67	4e-130	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
61|SargassoSea_READ_00390515	68995	98	1e-127	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum; Unclassified; otu_2430
62|SargassoSea_READ_00435850	125759	96.1	2e-132	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
63|SargassoSea_READ_00518850	92037	96.83	2e-122	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
64|SargassoSea_READ_00476968	61204	98.27	4e-152	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium; Unclassified; otu_2248
65|SargassoSea_READ_00588416	92037	100	2e-147	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
66|SargassoSea_READ_00509901	68994	99.21	3e-137	Bacteria; Unclassified; otu_205
