Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|NCBI_NT_173637622	221498	100	5e-60	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
2|SalternMetagenome_READ_00196523	68994	99.17	1e-60	Bacteria; Unclassified; otu_205
3|SalternMetagenome_READ_00177234	118817	100	4e-54	Bacteria; Unclassified; otu_205
4|NCBI_NT_173282272	214508	100	1e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Citrobacter; Unclassified; otu_3141
5|SalternMetagenome_READ_00170724	61204	97.35	4e-51	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium; Unclassified; otu_2248
6|NCBI_NT_173700166	104372	95.04	3e-49	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Unclassified; otu_2429
7|NCBI_NT_173545215	43992	100	2e-39	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Intrasporangiaceae; Tetrasphaera; otu_379
9|SalternMetagenome_READ_00176635	234617	96.91	3e-42	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
10|NCBI_NT_173675682	10167	100	8e-62	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Serratia; Unclassified; otu_3200
11|SalternMetagenome_READ_00168431	105395	96.94	8e-43	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Sanguibacteraceae; Sanguibacter; otu_462
12|SalternMetagenome_READ_00171350	65700	98.57	2e-31	Bacteria; Ferribacter; otu_1345
13|SalternMetagenome_READ_00182933	223710	100	1e-31	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Polaribacter; Unclassified; otu_862
14|SalternMetagenome_READ_00176428	119998	94.5	1e-41	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Candidatus Liberibacter; otu_2240
15|SalternMetagenome_READ_00171056	85388	98.77	2e-37	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; Unclassified; otu_2163
17|SalternMetagenome_READ_00172740	61204	97.75	7e-40	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium; Unclassified; otu_2248
1|rev|NCBI_NT_173577892	143354	100	1e-57	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Unclassified; otu_821
2|rev|SalternMetagenome_READ_00169485	124930	96.15	5e-44	Bacteria; Proteobacteria; Betaproteobacteria; Methylophilales; Methylophilaceae; Methylophilus; Unclassified; otu_2701
3|rev|SalternMetagenome_READ_00190352	85388	95.33	2e-43	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; Unclassified; otu_2163
4|rev|SalternMetagenome_READ_00176083	30861	93.33	2e-37	Bacteria; Bacteroidetes; Bacteroidetes (class); Bacteroidales; Bacteroidaceae; Bacteroides; Unclassified; otu_693
5|rev|SalternMetagenome_READ_00169082	3439	96.46	3e-49	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
7|rev|SalternMetagenome_READ_00189378	2588	94.29	2e-40	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Flexibacteraceae; Unclassified; otu_950
8|rev|SalternMetagenome_READ_00193052	234617	98.86	1e-41	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
10|rev|NCBI_NT_173362990	134438	98.98	3e-48	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
11|rev|SalternMetagenome_READ_00198457	118817	97.87	8e-43	Bacteria; Unclassified; otu_205
12|rev|SalternMetagenome_READ_00197059	118269	94.25	2e-31	Bacteria; Bacteroidetes; Unclassified; otu_684
13|rev|SalternMetagenome_READ_00181322	234617	96.26	4e-45	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
