Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|NCBI_READ_1593704858	73788	94.01	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
2|NCBI_READ_1593681493	61870	93.65	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Unclassified; otu_2943
3|NCBI_READ_1593714078	95078	93	0.0	Bacteria; Unclassified; otu_205
4|NCBI_READ_1593692172	154672	98.1	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Thalassospira; Unclassified; otu_2452
5|NCBI_READ_1593699703	138778	93.49	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
6|NCBI_READ_1593710835	46201	93.78	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
7|NCBI_READ_1593693493	154672	95.4	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Thalassospira; Unclassified; otu_2452
8|NCBI_READ_1593709264	134438	89.37	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
9|NCBI_READ_1593717849	61870	94.06	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Unclassified; otu_2943
10|NCBI_READ_1593715068	102768	94.48	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Arcobacter; Unclassified; otu_2946
11|NCBI_READ_1593717905	61870	93.78	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Unclassified; otu_2943
12|NCBI_READ_1593709563	103892	93.88	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Unclassified; otu_2944
13|NCBI_READ_1593685855	95078	95.4	0.0	Bacteria; Unclassified; otu_205
14|NCBI_READ_1593702712	102768	94.46	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Arcobacter; Unclassified; otu_2946
15|NCBI_READ_1593710189	140807	96.56	0.0	Bacteria; Unclassified; otu_205
16|NCBI_READ_1593682015	11113	96.5	0.0	Bacteria; Unclassified; otu_205
17|NCBI_READ_1593704690	9053	97.02	0.0	Bacteria; Unclassified; otu_205
18|NCBI_READ_1593702485	61870	95.12	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Unclassified; otu_2943
19|NCBI_READ_1593697665	61870	92.28	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Unclassified; otu_2943
20|NCBI_READ_1593685103	134438	88.25	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
21|NCBI_READ_1593693178	143387	94.94	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
22|NCBI_READ_1593698751	102768	94.96	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Arcobacter; Unclassified; otu_2946
23|NCBI_READ_1593717584	9053	96.89	0.0	Bacteria; Unclassified; otu_205
24|NCBI_READ_1593712356	103892	89.63	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Unclassified; otu_2944
25|NCBI_READ_1593696246	100077	89.1	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Leptobacterium; otu_846
26|NCBI_READ_1593706002	115206	94.16	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Unclassified; otu_2997
27|NCBI_READ_1593711779	11113	93.87	0.0	Bacteria; Unclassified; otu_205
28|NCBI_READ_1593708485	141639	93	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella; Unclassified; otu_3048
29|NCBI_READ_1593706861	95078	96.09	0.0	Bacteria; Unclassified; otu_205
30|NCBI_READ_1593702062	95078	96.32	0.0	Bacteria; Unclassified; otu_205
31|NCBI_READ_1593716635	102768	94.62	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Arcobacter; Unclassified; otu_2946
32|NCBI_READ_1593688335	140565	90.41	7e-143	Bacteria; Proteobacteria; Alphaproteobacteria; Nisaea; otu_2118
33|NCBI_READ_1593686245	160549	94.96	4e-178	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
34|NCBI_READ_1593709432	49628	91.25	1e-178	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Arcobacter; Unclassified; otu_2946
35|NCBI_READ_1593698477	140565	90.13	5e-125	Bacteria; Proteobacteria; Alphaproteobacteria; Nisaea; otu_2118
36|NCBI_READ_1593708870	102768	95.09	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Arcobacter; Unclassified; otu_2946
37|NCBI_READ_1593693540	102768	95.47	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Arcobacter; Unclassified; otu_2946
38|NCBI_READ_1593704092	102768	95.64	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Arcobacter; Unclassified; otu_2946
39|NCBI_READ_1593709996	101620	86.75	3e-114	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Gilvibacter; otu_835
40|NCBI_READ_1593704800	4596	91.07	1e-118	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylocystaceae; Terasakiella; otu_2211
41|NCBI_READ_1593695226	102768	95.6	1e-146	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Arcobacter; Unclassified; otu_2946
42|NCBI_READ_1593700502	102768	95.3	7e-145	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Arcobacter; Unclassified; otu_2946
43|NCBI_READ_1593683917	102768	96.58	2e-126	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Arcobacter; Unclassified; otu_2946
44|NCBI_READ_1593681279	116532	95.34	1e-105	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Krokinobacter; otu_842
45|NCBI_READ_1593715055	49628	88.99	1e-97	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Arcobacter; Unclassified; otu_2946
46|NCBI_READ_1593700525	165618	95.48	1e-87	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Hyphomonadaceae; Hyphomonas; Unclassified; otu_2286
47|NCBI_READ_1593681337	102500	98.45	1e-99	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
48|NCBI_READ_1593686639	103892	96.09	3e-81	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Unclassified; otu_2944
49|NCBI_READ_1593706330	94413	96.45	1e-77	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
50|NCBI_READ_1593687499	63760	97.9	2e-69	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
51|NCBI_READ_1593698222	156157	88.41	6e-42	Bacteria; Unclassified; otu_205
