Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|BisonMetagenome_READ_00474779	9760	93.97	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella; Salmonella enterica subsp. enterica serovar Saintpaul; otu_3195
2|BisonMetagenome_READ_00455918	152906	88.1	0.0	Bacteria; Cyanobacteria; Chroococcales; Synechococcus; Unclassified; otu_1205
3|BisonMetagenome_READ_00396888	9760	97.46	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella; Salmonella enterica subsp. enterica serovar Saintpaul; otu_3195
4|BisonMetagenome_READ_00403025	167370	92.51	0.0	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter; Unclassified; otu_2876
5|BisonMetagenome_READ_00381707	152906	99.59	0.0	Bacteria; Cyanobacteria; Chroococcales; Synechococcus; Unclassified; otu_1205
6|BisonMetagenome_READ_00394421	46343	96.39	0.0	Bacteria; Actinobacteria; Rubrobacteridae; Rubrobacterales; Rubrobacterineae; Thermoleophilaceae; Thermoleophilum; otu_646
7|BisonMetagenome_READ_00396903	136142	89.06	0.0	Bacteria; Cyanobacteria; Oscillatoriales; Geitlerinema; Unclassified; otu_1248
8|BisonMetagenome_READ_00462624	9760	96.77	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella; Salmonella enterica subsp. enterica serovar Saintpaul; otu_3195
9|BisonMetagenome_READ_00398912	152906	88.04	0.0	Bacteria; Cyanobacteria; Chroococcales; Synechococcus; Unclassified; otu_1205
10|BisonMetagenome_READ_00424213	152906	100	0.0	Bacteria; Cyanobacteria; Chroococcales; Synechococcus; Unclassified; otu_1205
11|BisonMetagenome_READ_00449588	46343	98.62	0.0	Bacteria; Actinobacteria; Rubrobacteridae; Rubrobacterales; Rubrobacterineae; Thermoleophilaceae; Thermoleophilum; otu_646
12|BisonMetagenome_READ_00393644	40287	92.27	0.0	Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Unclassified; otu_207
13|BisonMetagenome_READ_00469837	9760	98.59	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella; Salmonella enterica subsp. enterica serovar Saintpaul; otu_3195
14|BisonMetagenome_READ_00378337	193176	93.97	0.0	Bacteria; Chloroflexi; Chloroflexales; Chloroflexaceae; Chloroflexus; Unclassified; otu_1158
15|BisonMetagenome_READ_00475172	46343	95.74	0.0	Bacteria; Actinobacteria; Rubrobacteridae; Rubrobacterales; Rubrobacterineae; Thermoleophilaceae; Thermoleophilum; otu_646
16|BisonMetagenome_READ_00435384	17199	94.49	0.0	Bacteria; Chloroflexi; Chloroflexales; Chloroflexaceae; Roseiflexus; Unclassified; otu_1163
17|BisonMetagenome_READ_00416587	128421	96.92	0.0	Bacteria; Deinococcus-Thermus; Deinococci; Thermales; Thermaceae; Thermus; Unclassified; otu_1335
18|BisonMetagenome_READ_00377577	193176	95.04	0.0	Bacteria; Chloroflexi; Chloroflexales; Chloroflexaceae; Chloroflexus; Unclassified; otu_1158
19|BisonMetagenome_READ_00383686	17199	95.25	0.0	Bacteria; Chloroflexi; Chloroflexales; Chloroflexaceae; Roseiflexus; Unclassified; otu_1163
20|BisonMetagenome_READ_00413113	193176	94.08	0.0	Bacteria; Chloroflexi; Chloroflexales; Chloroflexaceae; Chloroflexus; Unclassified; otu_1158
21|BisonMetagenome_READ_00467730	193176	92.43	0.0	Bacteria; Chloroflexi; Chloroflexales; Chloroflexaceae; Chloroflexus; Unclassified; otu_1158
22|BisonMetagenome_READ_00406138	46343	98.48	0.0	Bacteria; Actinobacteria; Rubrobacteridae; Rubrobacterales; Rubrobacterineae; Thermoleophilaceae; Thermoleophilum; otu_646
23|BisonMetagenome_READ_00377430	214508	97.28	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Citrobacter; Unclassified; otu_3141
24|BisonMetagenome_READ_00395559	193176	95.03	0.0	Bacteria; Chloroflexi; Chloroflexales; Chloroflexaceae; Chloroflexus; Unclassified; otu_1158
25|BisonMetagenome_READ_00397271	9760	98.48	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella; Salmonella enterica subsp. enterica serovar Saintpaul; otu_3195
26|BisonMetagenome_READ_00418442	16693	99.05	0.0	Bacteria; Thermodesulfobacteria; Thermodesulfobacteriales; Thermodesulfobacteriaceae; Thermodesulfatator; otu_3576
27|BisonMetagenome_READ_00398631	9760	96.38	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella; Salmonella enterica subsp. enterica serovar Saintpaul; otu_3195
28|BisonMetagenome_READ_00450042	9760	98.07	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella; Salmonella enterica subsp. enterica serovar Saintpaul; otu_3195
29|BisonMetagenome_READ_00439020	17199	94.4	0.0	Bacteria; Chloroflexi; Chloroflexales; Chloroflexaceae; Roseiflexus; Unclassified; otu_1163
