Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|WesternChannelOMM_READ_02661437	104638	96.57	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; Unclassified; otu_2363
2|WesternChannelOMM_READ_02838101	137270	92.05	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Rickettsiaceae; Rickettsieae; Rickettsia; spotted fever group; Unclassified; otu_2488
3|WesternChannelOMM_READ_02707669	3439	98.04	0.0	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
4|WesternChannelOMM_READ_02600516	138778	91.13	5e-165	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
5|WesternChannelOMM_READ_02714303	91272	92.89	6e-155	Bacteria; Proteobacteria; Gammaproteobacteria; Nitrincola; otu_3267
6|WesternChannelOMM_READ_02712304	5685	95.15	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; Unclassified; otu_2363
7|WesternChannelOMM_READ_02781546	5655	98.47	0.0	Bacteria; Unclassified; otu_205
8|WesternChannelOMM_READ_02662775	116532	89.54	7e-177	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Krokinobacter; otu_842
9|WesternChannelOMM_READ_02560034	95512	94.25	3e-172	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
10|WesternChannelOMM_READ_02877111	225192	92.66	8e-173	Bacteria; Proteobacteria; Gammaproteobacteria; Solibium; otu_3388
11|WesternChannelOMM_READ_02883162	146066	93.82	0.0	Bacteria; Verrucomicrobia; unclassified Verrucomicrobia; Unclassified; otu_3605
12|WesternChannelOMM_READ_02612604	92037	96.68	0.0	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
13|WesternChannelOMM_READ_02716441	92037	96.48	0.0	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
14|WesternChannelOMM_READ_02951623	18143	95.33	2e-167	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
15|WesternChannelOMM_READ_02858157	105331	95.56	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Yeosuana; otu_898
16|WesternChannelOMM_READ_02577948	82792	97.92	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Cryomorphaceae; unclassified Cryomorphaceae; otu_780
17|WesternChannelOMM_READ_02853358	48787	96.71	2e-163	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
18|WesternChannelOMM_READ_02961561	95512	94.35	7e-145	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
19|WesternChannelOMM_READ_02627212	92037	96.06	8e-157	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
20|WesternChannelOMM_READ_02669077	213627	90.49	5e-140	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Gelidibacter; Unclassified; otu_831
21|WesternChannelOMM_READ_02610236	92037	96.77	0.0	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
22|WesternChannelOMM_READ_02678019	116532	90.67	2e-133	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Krokinobacter; otu_842
23|WesternChannelOMM_READ_02704194	79767	93.77	6e-133	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
24|WesternChannelOMM_READ_02619642	92037	95.88	1e-171	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
25|WesternChannelOMM_READ_02666270	101111	98.97	7e-157	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
26|WesternChannelOMM_READ_02566016	213627	97.99	2e-154	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Gelidibacter; Unclassified; otu_831
