Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|IceMetagenome_READ_00430514	6365	99.24	3e-143	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
2|IceMetagenome_READ_00389043	6365	99.23	2e-141	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
3|IceMetagenome_READ_00417872	216234	98.44	2e-135	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Leptothrix; Unclassified; otu_2638
4|IceMetagenome_READ_00072126	216234	98.03	7e-132	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Leptothrix; Unclassified; otu_2638
5|IceMetagenome_READ_00351004	111580	98.19	6e-145	Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Thermaerobacter; otu_1771
6|IceMetagenome_READ_00378992	216234	98.29	1e-121	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Leptothrix; Unclassified; otu_2638
7|IceMetagenome_READ_00440473	30376	95.9	4e-124	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Pseudonocardineae; Actinosynnemataceae; Lentzea; otu_529
8|IceMetagenome_READ_00533034	176825	96.11	9e-110	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Micrococcaceae; Arthrobacter; Unclassified; otu_436
9|IceMetagenome_READ_00136891	163322	95.67	5e-127	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Roseomonas; otu_2200
10|IceMetagenome_READ_00849138	7088	99.24	2e-144	Bacteria; Unclassified; otu_205
11|IceMetagenome_READ_01075392	7088	99.24	2e-144	Bacteria; Unclassified; otu_205
12|IceMetagenome_READ_00066429	76891	99.63	1e-148	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Polaromonas; Unclassified; otu_2620
13|IceMetagenome_READ_00935891	106487	94.39	7e-123	Bacteria; Proteobacteria; Deltaproteobacteria; Bdellovibrionales; Bacteriovoracaceae; Bacteriovorax; Unclassified; otu_2789
14|IceMetagenome_READ_00451750	138944	95.71	3e-128	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Unclassified; otu_2756
