Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|HydrothermalVent_READ_00047208	7705	93.83	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
2|HydrothermalVent_READ_00016794	5655	92.89	0.0	Bacteria; Unclassified; otu_205
3|HydrothermalVent_READ_00043724	7705	91.77	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
4|HydrothermalVent_READ_00027715	142065	96.7	0.0	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfotomaculum; Unclassified; otu_1704
5|HydrothermalVent_READ_00009827	7705	91.62	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
6|HydrothermalVent_READ_00012362	142065	98.9	0.0	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfotomaculum; Unclassified; otu_1704
7|HydrothermalVent_READ_00037655	7705	91.3	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
8|HydrothermalVent_READ_00048329	5655	93.49	0.0	Bacteria; Unclassified; otu_205
9|HydrothermalVent_READ_00043996	142065	96.97	0.0	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfotomaculum; Unclassified; otu_1704
10|HydrothermalVent_READ_00027112	5655	93.05	0.0	Bacteria; Unclassified; otu_205
11|HydrothermalVent_READ_00035497	7705	91.74	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
12|HydrothermalVent_READ_00045496	7705	93.2	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
13|HydrothermalVent_READ_00023992	7705	90.62	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
14|HydrothermalVent_READ_00033938	7705	91.24	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
15|HydrothermalVent_READ_00046403	7705	91.34	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
16|HydrothermalVent_READ_00008673	7705	92.64	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
17|HydrothermalVent_READ_00022957	142065	99.05	0.0	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfotomaculum; Unclassified; otu_1704
18|HydrothermalVent_READ_00020026	142065	96.83	0.0	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfotomaculum; Unclassified; otu_1704
19|HydrothermalVent_READ_00023749	142065	97.95	0.0	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfotomaculum; Unclassified; otu_1704
20|HydrothermalVent_READ_00022527	7705	89.82	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
21|HydrothermalVent_READ_00024764	8051	91.63	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylomicrobium; Unclassified; otu_3256
22|HydrothermalVent_READ_00013622	8051	92.13	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylomicrobium; Unclassified; otu_3256
23|HydrothermalVent_READ_00045771	8051	92.18	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylomicrobium; Unclassified; otu_3256
24|HydrothermalVent_READ_00027675	137181	94.17	0.0	Bacteria; Unclassified; otu_205
25|HydrothermalVent_READ_00002368	137181	94	0.0	Bacteria; Unclassified; otu_205
26|HydrothermalVent_READ_00016120	7705	90.44	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
27|HydrothermalVent_READ_00009513	56341	90.36	0.0	Bacteria; Unclassified; otu_205
28|HydrothermalVent_READ_00022491	7705	90.04	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
29|HydrothermalVent_READ_00040627	142065	98.8	0.0	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfotomaculum; Unclassified; otu_1704
30|HydrothermalVent_READ_00015399	8051	91.75	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylomicrobium; Unclassified; otu_3256
31|HydrothermalVent_READ_00034386	2359	90.09	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Polaribacter; Unclassified; otu_862
32|HydrothermalVent_READ_00038875	108110	96.26	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
33|HydrothermalVent_READ_00007946	8051	92.54	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylomicrobium; Unclassified; otu_3256
34|HydrothermalVent_READ_00026572	8051	92.63	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylomicrobium; Unclassified; otu_3256
35|HydrothermalVent_READ_00024630	7705	88.97	2e-161	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
36|HydrothermalVent_READ_00034653	8051	92.11	3e-176	Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylomicrobium; Unclassified; otu_3256
37|HydrothermalVent_READ_00046365	213627	88.77	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Gelidibacter; Unclassified; otu_831
38|HydrothermalVent_READ_00017807	8051	90.74	5e-156	Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylomicrobium; Unclassified; otu_3256
39|HydrothermalVent_READ_00023299	142065	98.68	9e-163	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfotomaculum; Unclassified; otu_1704
40|HydrothermalVent_READ_00045530	142065	98.99	2e-160	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfotomaculum; Unclassified; otu_1704
41|HydrothermalVent_READ_00046617	19883	90.11	1e-144	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
42|HydrothermalVent_READ_00003629	19883	93.94	6e-155	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
43|HydrothermalVent_READ_00024456	9760	95.95	2e-114	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella; Salmonella enterica subsp. enterica serovar Saintpaul; otu_3195
44|HydrothermalVent_READ_00042758	30394	95.44	6e-108	Bacteria; Aquificae; Aquificales; Unclassified; otu_656
46|HydrothermalVent_READ_00028756	9760	96.53	4e-80	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella; Salmonella enterica subsp. enterica serovar Saintpaul; otu_3195
