Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|GeneExpression_READ_00798450	48787	95.11	4e-118	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
2|GeneExpression_READ_00789440	145581	95.9	1e-124	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium; Unclassified; otu_2179
3|GeneExpression_READ_00809211	5266	98.85	1e-139	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Agrobacterium; Unclassified; otu_2237
4|GeneExpression_READ_00865443	5123	97.99	3e-128	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Aurantimonadaceae; Aurantimonas; Unclassified; otu_2124
5|GeneExpression_READ_00856028	68992	96.24	2e-126	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Hoeflea; otu_2224
6|GeneExpression_READ_00877130	104372	95.56	2e-113	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Unclassified; otu_2429
7|GeneExpression_READ_00884303	104372	95.56	2e-113	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Unclassified; otu_2429
8|GeneExpression_READ_00861300	6161	99.6	7e-138	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingobium; Unclassified; otu_2526
9|GeneExpression_READ_00798042	154294	98.45	5e-136	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
10|GeneExpression_READ_00877920	92037	100	1e-161	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
11|GeneExpression_READ_00881430	68994	93.82	6e-114	Bacteria; Unclassified; otu_205
12|GeneExpression_READ_00885692	138694	94.02	5e-105	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium; Unclassified; otu_2225
13|GeneExpression_READ_00865842	92037	100	2e-160	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
14|GeneExpression_READ_00885354	125759	95.4	1e-118	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
15|GeneExpression_READ_00822129	45382	95.88	3e-125	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Legionellaceae; Legionella; Unclassified; otu_3240
16|GeneExpression_READ_00880013	5685	97.51	1e-142	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; Unclassified; otu_2363
17|GeneExpression_READ_00890275	98298	95.86	7e-123	Bacteria; Proteobacteria; Unclassified; otu_2091
18|GeneExpression_READ_00854412	92037	99.65	3e-159	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
19|GeneExpression_READ_00894201	92037	99.65	3e-159	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
20|GeneExpression_READ_00871396	68994	97.81	9e-141	Bacteria; Unclassified; otu_205
21|GeneExpression_READ_00820471	137423	93.8	9e-113	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Francisellaceae; Francisella; Unclassified; otu_3401
22|GeneExpression_READ_00849755	92037	99.63	1e-148	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
23|GeneExpression_READ_00891721	5903	95.96	4e-127	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Unclassified; otu_2158
24|GeneExpression_READ_00841221	164914	95.88	2e-123	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
25|GeneExpression_READ_00867030	119998	99.24	3e-143	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Candidatus Liberibacter; otu_2240
26|GeneExpression_READ_00858327	92037	99.62	3e-146	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
27|GeneExpression_READ_00873574	92037	99.62	3e-146	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
28|GeneExpression_READ_00857963	196857	92.13	5e-99	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
29|GeneExpression_READ_00846643	98298	95.49	2e-120	Bacteria; Proteobacteria; Unclassified; otu_2091
30|GeneExpression_READ_00840389	92037	98.88	2e-144	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
31|GeneExpression_READ_00876590	92037	98.88	2e-144	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
32|GeneExpression_READ_00873408	92037	99.63	1e-148	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
33|GeneExpression_READ_00880029	92037	99.63	1e-148	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
34|GeneExpression_READ_00824904	169976	100	2e-151	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
35|GeneExpression_READ_00865536	92037	100	7e-160	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
36|GeneExpression_READ_00837517	92037	99.63	6e-151	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
37|GeneExpression_READ_00872946	154294	99.63	2e-150	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
38|GeneExpression_READ_00837226	92037	100	2e-144	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
