Sequence_id	Greengene_id	Percentage_identity	E-value	Classification
1|TwinStudy_READ_08966119	199413	98.3	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
2|TwinStudy_READ_09160457	27791	97.8	0.0	ncbi:Bacteria; Firmicutes; Unclassified; otu_1350
3|TwinStudy_READ_09212961	191738	98.5	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; Unclassified; otu_1747
4|TwinStudy_READ_09216760	109018	99.6	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Unclassified; otu_1631
5|TwinStudy_READ_09175719	177320	99.6	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
6|TwinStudy_READ_09116687	186062	96.6	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
7|TwinStudy_READ_09167769	52305	96.6	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; Unclassified; otu_1640
8|TwinStudy_READ_08926631	197958	99.6	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
9|TwinStudy_READ_09133238	137482	95.5	0.0	ncbi:Bacteria; Actinobacteria; Actinobacteridae; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Unclassified; otu_604
10|TwinStudy_READ_09087934	52410	99.4	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Unclassified; otu_1547
11|TwinStudy_READ_09027938	185648	96.2	0.0	ncbi:Bacteria; Unclassified; otu_205
12|TwinStudy_READ_09128449	164869	99.4	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Anaerostipes; Unclassified; otu_1656
13|TwinStudy_READ_08936105	162129	99.8	0.0	ncbi:Bacteria; Unclassified; otu_205
14|TwinStudy_READ_08984036	196134	99.4	0.0	ncbi:Bacteria; Unclassified; otu_205
15|TwinStudy_READ_08961174	164869	98.2	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Anaerostipes; Unclassified; otu_1656
16|TwinStudy_READ_08915826	18361	100.0	0.0	ncbi:Bacteria; Unclassified; otu_205
17|TwinStudy_READ_09214682	188690	97.6	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
18|TwinStudy_READ_09132312	196134	97.2	0.0	ncbi:Bacteria; Unclassified; otu_205
19|TwinStudy_READ_08976386	13989	95.7	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
20|TwinStudy_READ_08962997	182431	99.4	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Faecalibacterium; Unclassified; otu_1574
21|TwinStudy_READ_09131857	175587	97.4	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Faecalibacterium; Unclassified; otu_1574
22|TwinStudy_READ_09106737	192654	97.3	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
23|TwinStudy_READ_09093582	174747	99.0	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
24|TwinStudy_READ_08976443	137482	98.5	0.0	ncbi:Bacteria; Actinobacteria; Actinobacteridae; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Unclassified; otu_604
25|TwinStudy_READ_09098391	155577	94.4	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
26|TwinStudy_READ_09024851	16054	98.8	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
27|TwinStudy_READ_09065458	188690	96.5	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
28|TwinStudy_READ_09153256	27866	96.8	0.0	ncbi:Bacteria; Unclassified; otu_205
29|TwinStudy_READ_09118215	16054	98.0	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
30|TwinStudy_READ_09024959	112186	93.7	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
31|TwinStudy_READ_09068477	18361	98.3	0.0	ncbi:Bacteria; Unclassified; otu_205
32|TwinStudy_READ_08997650	189786	96.0	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
33|TwinStudy_READ_09119197	177211	99.4	0.0	ncbi:Bacteria; Unclassified; otu_205
34|TwinStudy_READ_09138137	188690	98.9	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
35|TwinStudy_READ_09120551	177320	99.4	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
36|TwinStudy_READ_08973558	16076	99.4	0.0	ncbi:Bacteria; Unclassified; otu_205
37|TwinStudy_READ_09046733	210102	92.9	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
38|TwinStudy_READ_09113382	186688	97.6	0.0	ncbi:Bacteria; Bacteroidetes; Bacteroidetes (class); Bacteroidales; Bacteroidaceae; Bacteroides; Unclassified; otu_693
39|TwinStudy_READ_08917467	42538	94.9	0.0	ncbi:Bacteria; Firmicutes; Bacillales; Bacillaceae; Bacillus; Unclassified; otu_1368
