Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|WesternChannelOMM_READ_07275524	101111	94.72	6e-114	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
2|WesternChannelOMM_READ_07278546	111739	97.42	1e-136	Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Opitutaceae; Opitutus; otu_3614
3|WesternChannelOMM_READ_07278054	65940	96.81	5e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Cardiobacteriales; Cardiobacteriaceae; Dichelobacter; otu_3059
4|WesternChannelOMM_READ_07277881	132521	100	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
5|WesternChannelOMM_READ_07280169	65940	95.74	1e-38	Bacteria; Proteobacteria; Gammaproteobacteria; Cardiobacteriales; Cardiobacteriaceae; Dichelobacter; otu_3059
6|WesternChannelOMM_READ_07276403	138778	94.68	3e-36	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
7|WesternChannelOMM_READ_07277884	153768	92.55	2e-31	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
8|WesternChannelOMM_READ_07282972	137423	98.88	8e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Francisellaceae; Francisella; Unclassified; otu_3401
9|WesternChannelOMM_READ_07275960	127094	98.91	1e-44	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
14|WesternChannelOMM_READ_07271618	138778	97.78	5e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
15|WesternChannelOMM_READ_07273243	96014	100	3e-48	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
16|WesternChannelOMM_READ_07277474	96014	100	3e-48	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
18|WesternChannelOMM_READ_07278250	225963	98.89	2e-43	Bacteria; Unclassified; otu_205
19|WesternChannelOMM_READ_07282852	127094	96.67	1e-38	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
20|WesternChannelOMM_READ_07272999	221659	98.94	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
21|WesternChannelOMM_READ_07280296	196857	94.74	3e-36	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
23|WesternChannelOMM_READ_07274196	164271	97.78	5e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
24|WesternChannelOMM_READ_07279337	225963	96.67	1e-38	Bacteria; Unclassified; otu_205
25|WesternChannelOMM_READ_07277141	221498	98.89	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
26|WesternChannelOMM_READ_07275927	226754	98.91	5e-44	Bacteria; Proteobacteria; Unclassified; otu_2091
27|WesternChannelOMM_READ_07271395	137423	100	5e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Francisellaceae; Francisella; Unclassified; otu_3401
28|WesternChannelOMM_READ_07271628	137423	100	5e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Francisellaceae; Francisella; Unclassified; otu_3401
29|WesternChannelOMM_READ_07275057	137423	100	5e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Francisellaceae; Francisella; Unclassified; otu_3401
30|WesternChannelOMM_READ_07281012	137423	100	5e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Francisellaceae; Francisella; Unclassified; otu_3401
31|WesternChannelOMM_READ_07280909	225963	97.78	5e-41	Bacteria; Unclassified; otu_205
32|WesternChannelOMM_READ_07284023	96014	97.83	3e-42	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
34|WesternChannelOMM_READ_07273299	96014	98.91	1e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
35|WesternChannelOMM_READ_07286834	96014	98.91	1e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
36|WesternChannelOMM_READ_07277053	221659	96.88	3e-42	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
37|WesternChannelOMM_READ_07284205	221659	96.88	3e-42	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
38|WesternChannelOMM_READ_07275305	225963	97.87	2e-43	Bacteria; Unclassified; otu_205
39|WesternChannelOMM_READ_07275552	225963	96.67	1e-38	Bacteria; Unclassified; otu_205
40|WesternChannelOMM_READ_07280327	225963	97.78	5e-41	Bacteria; Unclassified; otu_205
41|WesternChannelOMM_READ_07283730	225963	97.78	5e-41	Bacteria; Unclassified; otu_205
42|WesternChannelOMM_READ_07286235	225963	97.78	5e-41	Bacteria; Unclassified; otu_205
43|WesternChannelOMM_READ_07272913	127094	100	3e-48	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
44|WesternChannelOMM_READ_07270915	137423	97.75	2e-40	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Francisellaceae; Francisella; Unclassified; otu_3401
45|WesternChannelOMM_READ_07271638	137423	97.75	2e-40	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Francisellaceae; Francisella; Unclassified; otu_3401
46|WesternChannelOMM_READ_07286044	137423	97.75	2e-40	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Francisellaceae; Francisella; Unclassified; otu_3401
47|WesternChannelOMM_READ_07282709	137423	98.88	8e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Francisellaceae; Francisella; Unclassified; otu_3401
48|WesternChannelOMM_READ_07272041	127094	100	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
49|WesternChannelOMM_READ_07273466	127094	100	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
50|WesternChannelOMM_READ_07274783	127094	100	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
51|WesternChannelOMM_READ_07276349	127094	100	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
