Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|WesternChannelOMM_READ_03968201	127094	98.86	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
2|WesternChannelOMM_READ_04076676	5645	94.48	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
3|WesternChannelOMM_READ_03937945	5645	94.56	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
4|WesternChannelOMM_READ_04271496	68995	99.8	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum; Unclassified; otu_2430
5|WesternChannelOMM_READ_03913787	124930	98.24	0.0	Bacteria; Proteobacteria; Betaproteobacteria; Methylophilales; Methylophilaceae; Methylophilus; Unclassified; otu_2701
6|WesternChannelOMM_READ_04197430	48787	94.12	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
7|WesternChannelOMM_READ_03999647	5798	93.1	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Unclassified; otu_2350
8|WesternChannelOMM_READ_03958445	124930	95.33	0.0	Bacteria; Proteobacteria; Betaproteobacteria; Methylophilales; Methylophilaceae; Methylophilus; Unclassified; otu_2701
9|WesternChannelOMM_READ_04321321	5798	91.46	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Unclassified; otu_2350
10|WesternChannelOMM_READ_04262671	5798	92.89	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Unclassified; otu_2350
11|WesternChannelOMM_READ_04229864	5793	94.78	0.0	Bacteria; Antarctic; otu_655
12|WesternChannelOMM_READ_04074699	230638	99.55	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Azorhizobium; otu_2269
13|WesternChannelOMM_READ_04325695	61204	98.57	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium; Unclassified; otu_2248
14|WesternChannelOMM_READ_04291724	116532	93.28	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Krokinobacter; otu_842
15|WesternChannelOMM_READ_04274327	230638	98.49	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Azorhizobium; otu_2269
16|WesternChannelOMM_READ_04278605	127094	98.88	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
17|WesternChannelOMM_READ_04334863	61204	99.05	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium; Unclassified; otu_2248
18|WesternChannelOMM_READ_04282429	127094	98.65	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
19|WesternChannelOMM_READ_04376695	5655	94.66	0.0	Bacteria; Unclassified; otu_205
20|WesternChannelOMM_READ_04085733	5645	93.72	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
21|WesternChannelOMM_READ_04311267	50807	98.85	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Pseudochrobactrum; otu_2165
22|WesternChannelOMM_READ_04344555	2359	92.28	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Polaribacter; Unclassified; otu_862
23|WesternChannelOMM_READ_04131934	118311	99.78	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Hyphomonadaceae; Hyphomonas; Unclassified; otu_2286
24|WesternChannelOMM_READ_04204589	105331	96.7	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Yeosuana; otu_898
25|WesternChannelOMM_READ_03999059	18143	96.36	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
26|WesternChannelOMM_READ_03961112	101111	99.75	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
27|WesternChannelOMM_READ_04023737	5798	92.42	3e-163	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Unclassified; otu_2350
28|WesternChannelOMM_READ_04417214	127094	99.19	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
29|WesternChannelOMM_READ_04420182	233613	94.14	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
30|WesternChannelOMM_READ_04070222	79767	94.19	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
31|WesternChannelOMM_READ_03923542	5798	92.79	3e-160	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Unclassified; otu_2350
32|WesternChannelOMM_READ_04051126	101111	95.37	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
33|WesternChannelOMM_READ_04430878	61204	98.14	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium; Unclassified; otu_2248
34|WesternChannelOMM_READ_04045308	124930	96.83	0.0	Bacteria; Proteobacteria; Betaproteobacteria; Methylophilales; Methylophilaceae; Methylophilus; Unclassified; otu_2701
35|WesternChannelOMM_READ_03953900	5645	92.5	2e-158	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
36|WesternChannelOMM_READ_04285460	5655	93.85	5e-165	Bacteria; Unclassified; otu_205
37|WesternChannelOMM_READ_03922430	116532	90.2	1e-172	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Krokinobacter; otu_842
38|WesternChannelOMM_READ_04064234	96014	99.49	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
39|WesternChannelOMM_READ_03934621	127094	98.12	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
40|WesternChannelOMM_READ_04182765	55371	93.68	4e-159	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
41|WesternChannelOMM_READ_03923882	116532	90.38	6e-171	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Krokinobacter; otu_842
42|WesternChannelOMM_READ_04273948	105331	97.49	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Yeosuana; otu_898
43|WesternChannelOMM_READ_04147044	124930	98.94	0.0	Bacteria; Proteobacteria; Betaproteobacteria; Methylophilales; Methylophilaceae; Methylophilus; Unclassified; otu_2701
44|WesternChannelOMM_READ_03840365	105115	93.1	8e-170	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
45|WesternChannelOMM_READ_03898065	82792	98.24	2e-179	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Cryomorphaceae; unclassified Cryomorphaceae; otu_780
46|WesternChannelOMM_READ_04092039	5655	94.55	4e-162	Bacteria; Unclassified; otu_205
47|WesternChannelOMM_READ_04119356	118269	94.89	7e-167	Bacteria; Bacteroidetes; Unclassified; otu_684
48|WesternChannelOMM_READ_04295163	5645	96.48	4e-165	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
