Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|SalternMetagenome_READ_02079469	91160	100	3e-58	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
2|SalternMetagenome_READ_02081824	91160	100	6e-53	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
3|SalternMetagenome_READ_02084316	104054	100	3e-61	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
4|SalternMetagenome_READ_02115240	110609	100	4e-57	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
5|SalternMetagenome_READ_02118805	110609	100	4e-57	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
6|SalternMetagenome_READ_02080095	60325	98.04	1e-47	Bacteria; Unclassified; otu_205
7|SalternMetagenome_READ_02077560	50403	100	6e-66	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
8|SalternMetagenome_READ_02088429	80984	100	3e-48	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
9|SalternMetagenome_READ_02117668	105930	99.07	2e-53	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Collimonas; Unclassified; otu_2645
10|SalternMetagenome_READ_02082203	207827	100	2e-53	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
11|SalternMetagenome_READ_02089772	50403	99.2	1e-63	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
12|SalternMetagenome_READ_02081465	50403	100	3e-42	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
13|SalternMetagenome_READ_02099271	91160	99.12	4e-57	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
14|SalternMetagenome_READ_02091040	50403	98.23	4e-54	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
15|SalternMetagenome_READ_02071316	207827	100	5e-50	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
16|SalternMetagenome_READ_02073279	207827	100	5e-50	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
17|SalternMetagenome_READ_02120149	91160	99.12	1e-57	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
18|SalternMetagenome_READ_02137945	110609	99	9e-49	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
19|SalternMetagenome_READ_02091464	59347	100	2e-39	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium; Unclassified; otu_2245
20|SalternMetagenome_READ_02112835	99056	100	2e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Serratia; Unclassified; otu_3200
21|SalternMetagenome_READ_02105592	81187	97.22	2e-49	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
22|SalternMetagenome_READ_02103240	50403	100	5e-60	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
23|SalternMetagenome_READ_02126609	50403	100	8e-49	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
24|SalternMetagenome_READ_02129323	50403	100	8e-49	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
25|SalternMetagenome_READ_02139256	105930	94.06	3e-36	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Collimonas; Unclassified; otu_2645
26|SalternMetagenome_READ_02088211	105930	94.95	3e-39	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Collimonas; Unclassified; otu_2645
27|SalternMetagenome_READ_02116479	80181	97.85	3e-42	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
28|SalternMetagenome_READ_02135510	80181	99	2e-49	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
29|SalternMetagenome_READ_02127736	50403	96.91	8e-43	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
30|SalternMetagenome_READ_02132875	50403	96.91	8e-43	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
32|SalternMetagenome_READ_02135532	80181	98.63	2e-33	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
33|SalternMetagenome_READ_02140624	80181	98.63	2e-33	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
34|SalternMetagenome_READ_02141108	80181	98.63	2e-33	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
36|SalternMetagenome_READ_02107811	80181	98.81	6e-40	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
37|SalternMetagenome_READ_02112262	88207	100	2e-40	Bacteria; Proteobacteria; Betaproteobacteria; Methylophilales; Methylophilaceae; Methylobacillus; Unclassified; otu_2699
38|SalternMetagenome_READ_02132070	88207	100	2e-40	Bacteria; Proteobacteria; Betaproteobacteria; Methylophilales; Methylophilaceae; Methylobacillus; Unclassified; otu_2699
1|rev|SalternMetagenome_READ_02108292	50403	100	2e-56	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
2|rev|SalternMetagenome_READ_02133855	81187	98.18	6e-53	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
3|rev|SalternMetagenome_READ_02081243	91160	100	4e-51	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
4|rev|SalternMetagenome_READ_02091268	214508	100	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Citrobacter; Unclassified; otu_3141
5|rev|SalternMetagenome_READ_02096154	50403	100	6e-53	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
6|rev|SalternMetagenome_READ_02127989	207827	100	5e-60	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
7|rev|SalternMetagenome_READ_02127496	208819	100	4e-38	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Rubrivivax; Unclassified; otu_2666
8|rev|SalternMetagenome_READ_02128773	208819	100	4e-38	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Rubrivivax; Unclassified; otu_2666
10|rev|SalternMetagenome_READ_02128276	50403	96.36	4e-48	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
11|rev|SalternMetagenome_READ_02108657	10167	100	2e-56	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Serratia; Unclassified; otu_3200
12|rev|SalternMetagenome_READ_02089018	80181	100	6e-37	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
14|rev|SalternMetagenome_READ_02109459	207827	100	7e-46	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
15|rev|SalternMetagenome_READ_02081629	80181	96.12	8e-43	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
16|rev|SalternMetagenome_READ_02086374	50403	98.89	2e-43	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
18|rev|SalternMetagenome_READ_02093394	91160	94.79	1e-35	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
20|rev|SalternMetagenome_READ_02078127	80181	95.05	1e-38	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
