Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|SalternMetagenome_READ_01992129	150758	97.25	2e-49	Bacteria; Firmicutes; Bacillales; Bacillaceae; Geobacillus; Unclassified; otu_1378
2|NCBI_NT_173683853	99056	100	2e-52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Serratia; Unclassified; otu_3200
dup2NCBI_NT_173625675	176825	100	2e-39	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Micrococcaceae; Arthrobacter; Unclassified; otu_436
5|NCBI_NT_173626677	171306	96.43	3e-49	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia; Unclassified; otu_3153
6|NCBI_NT_173610046	43992	100	7e-46	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Intrasporangiaceae; Tetrasphaera; otu_379
7|SalternMetagenome_READ_01964049	6901	96.15	2e-43	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; Unclassified; otu_2604
8|NCBI_NT_173347653	221498	100	2e-49	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
9|NCBI_NT_173538827	134438	100	1e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
1|rev|NCBI_NT_173694369	221498	100	5e-63	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
2|rev|NCBI_NT_173696157	145117	96.69	2e-53	Bacteria; Unclassified; otu_205
3|rev|NCBI_NT_173242208	214508	100	3e-45	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Citrobacter; Unclassified; otu_3141
4|rev|NCBI_NT_173553141	23149	100	5e-44	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Actinomycineae; Actinomycetaceae; Actinomyces; Unclassified; otu_242
5|rev|NCBI_NT_173244394	131988	100	2e-33	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Colwelliaceae; Colwellia; Unclassified; otu_3024
6|rev|SalternMetagenome_READ_01970268	69031	100	4e-57	other sequences; artificial sequences; vectors; otu_4243
9|rev|SalternMetagenome_READ_01976094	169691	92.52	1e-35	Archaea; Euryarchaeota; Methanopyri; Methanopyrales; Methanopyraceae; Methanopyrus; Unclassified; otu_177
