Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|SalternMetagenome_READ_02452563	10056	100	1e-60	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Buttiauxella; otu_3135
2|SalternMetagenome_READ_02447394	91160	99.14	7e-59	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
3|NCBI_NT_173040004	171306	100	4e-54	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia; Unclassified; otu_3153
4|SalternMetagenome_READ_02437041	50403	100	8e-65	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
5|NCBI_NT_173095637	10056	100	3e-55	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Buttiauxella; otu_3135
6|NCBI_NT_184427609	218720	98.02	1e-47	Bacteria; Unclassified; otu_205
7|SalternMetagenome_READ_02481326	132693	96	1e-41	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
8|SalternMetagenome_READ_02439408	105930	97.98	2e-46	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Collimonas; Unclassified; otu_2645
9|SalternMetagenome_READ_02447254	132286	92.44	9e-40	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Janthinobacterium; Unclassified; otu_2654
10|SalternMetagenome_READ_02482019	81187	96.46	1e-48	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
11|SalternMetagenome_READ_02459182	91160	100	8e-49	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
12|SalternMetagenome_READ_02436591	171306	93.27	1e-35	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia; Unclassified; otu_3153
1|rev|NCBI_NT_173067469	171306	100	4e-57	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia; Unclassified; otu_3153
2|rev|NCBI_NT_173102280	46111	99.04	9e-52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Photorhabdus; Unclassified; otu_3172
3|rev|NCBI_NT_184410374	171306	100	6e-53	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia; Unclassified; otu_3153
4|rev|SalternMetagenome_READ_02474062	91160	97.66	1e-60	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
5|rev|NCBI_NT_173046296	171306	97.2	9e-49	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia; Unclassified; otu_3153
6|rev|SalternMetagenome_READ_02453717	171306	97.27	2e-50	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia; Unclassified; otu_3153
7|rev|NCBI_NT_173157547	10167	100	8e-65	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Serratia; Unclassified; otu_3200
8|rev|NCBI_NT_172919517	218720	98.92	3e-45	Bacteria; Unclassified; otu_205
9|rev|SalternMetagenome_READ_02421330	192598	96.34	3e-33	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnobacterium; otu_1672
10|rev|SalternMetagenome_READ_02472849	132286	95	3e-39	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Janthinobacterium; Unclassified; otu_2654
12|rev|NCBI_NT_173050002	228870	98.86	3e-42	Bacteria; Bacteroidetes; Unclassified; otu_684
14|rev|SalternMetagenome_READ_02466731	50403	100	7e-43	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
15|rev|NCBI_NT_173078967	10167	98.18	3e-52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Serratia; Unclassified; otu_3200
16|rev|SalternMetagenome_READ_02456168	80181	100	2e-46	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
17|rev|SalternMetagenome_READ_02466832	81187	95.56	1e-35	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
18|rev|SalternMetagenome_READ_02428895	91160	95.05	2e-40	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
19|rev|SalternMetagenome_READ_02440986	91160	95.05	2e-40	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
20|rev|SalternMetagenome_READ_02460767	88207	100	1e-41	Bacteria; Proteobacteria; Betaproteobacteria; Methylophilales; Methylophilaceae; Methylobacillus; Unclassified; otu_2699
21|rev|SalternMetagenome_READ_02469489	88207	100	1e-41	Bacteria; Proteobacteria; Betaproteobacteria; Methylophilales; Methylophilaceae; Methylobacillus; Unclassified; otu_2699
22|rev|SalternMetagenome_READ_02478847	88207	98.81	2e-39	Bacteria; Proteobacteria; Betaproteobacteria; Methylophilales; Methylophilaceae; Methylobacillus; Unclassified; otu_2699
