Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|PeruMarginSediment_READ_00479990	159156	97.41	2e-53	Bacteria; Chloroflexi; Dehalococcoidetes; Dehalococcoides; Unclassified; otu_1167
2|PeruMarginSediment_READ_00504846	159156	96.36	2e-47	Bacteria; Chloroflexi; Dehalococcoidetes; Dehalococcoides; Unclassified; otu_1167
3|PeruMarginSediment_READ_00415274	63120	97.98	8e-46	Bacteria; Chloroflexi; Dehalococcoidetes; Dehalococcoides; Unclassified; otu_1167
4|PeruMarginSediment_READ_00364075	63104	94.5	3e-42	Bacteria; Chloroflexi; Dehalococcoidetes; Dehalococcoides; Unclassified; otu_1167
6|PeruMarginSediment_READ_00370877	160555	92.31	2e-34	Bacteria; Chloroflexi; Dehalococcoidetes; Dehalococcoides; Unclassified; otu_1167
7|PeruMarginSediment_READ_00512798	160555	95.05	2e-40	Bacteria; Chloroflexi; Dehalococcoidetes; Dehalococcoides; Unclassified; otu_1167
8|PeruMarginSediment_READ_00471205	159156	95.56	3e-36	Bacteria; Chloroflexi; Dehalococcoidetes; Dehalococcoides; Unclassified; otu_1167
9|PeruMarginSediment_READ_00390145	143480	97.26	7e-31	Bacteria; Actinobacteria; Rubrobacteridae; Rubrobacterales; Rubrobacterineae; unclassified Rubrobacterineae; otu_647
10|PeruMarginSediment_READ_00486888	34194	98.11	6e-50	Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus; Unclassified; otu_130
11|PeruMarginSediment_READ_00466912	835	99.04	9e-52	Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus; otu_61
12|PeruMarginSediment_READ_00502458	73046	98.92	4e-45	Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus; otu_61
14|PeruMarginSediment_READ_00430215	163063	95.18	4e-32	Bacteria; Chloroflexi; Dehalococcoidetes; Dehalococcoides; Unclassified; otu_1167
15|PeruMarginSediment_READ_00458730	201321	98.68	4e-35	Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus; otu_61
16|PeruMarginSediment_READ_00456954	177633	95.61	6e-47	Archaea; Euryarchaeota; Methanopyri; Methanopyrales; Methanopyraceae; Methanopyrus; Unclassified; otu_177
18|PeruMarginSediment_READ_00423879	198509	99.17	3e-61	Archaea; Euryarchaeota; Methanopyri; Methanopyrales; Methanopyraceae; Methanopyrus; Unclassified; otu_177
1|rev|PeruMarginSediment_READ_00450853	63107	98.15	4e-51	Bacteria; Firmicutes; Clostridia; Natranaerobiales; Natranaerobiaceae; Natranaerobius; otu_1828
2|rev|PeruMarginSediment_READ_00368934	63120	99	2e-49	Bacteria; Chloroflexi; Dehalococcoidetes; Dehalococcoides; Unclassified; otu_1167
