Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|NCBI_READ_1594438405	140807	95.52	0.0	Bacteria; Unclassified; otu_205
2|NCBI_READ_1594432821	140807	96.87	0.0	Bacteria; Unclassified; otu_205
3|NCBI_READ_1594421177	6294	91.7	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
4|NCBI_READ_1594431059	6294	92.78	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
5|NCBI_READ_1594430607	140716	97.82	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas; Unclassified; otu_3042
6|NCBI_READ_1594433413	140716	98.85	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas; Unclassified; otu_3042
7|NCBI_READ_1594446418	140716	98.2	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas; Unclassified; otu_3042
8|NCBI_READ_1594439660	79540	94.75	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Psychrobacter; Unclassified; otu_3361
9|NCBI_READ_1594412705	140716	99.1	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas; Unclassified; otu_3042
10|NCBI_READ_1594429635	79540	95.59	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Psychrobacter; Unclassified; otu_3361
11|NCBI_READ_1594430400	140716	99.24	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas; Unclassified; otu_3042
12|NCBI_READ_1594422998	79540	96.31	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Psychrobacter; Unclassified; otu_3361
13|NCBI_READ_1594432775	79540	95.36	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Psychrobacter; Unclassified; otu_3361
14|NCBI_READ_1594411258	140716	97.11	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas; Unclassified; otu_3042
15|NCBI_READ_1594420519	79540	95.38	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Psychrobacter; Unclassified; otu_3361
16|NCBI_READ_1594421169	5655	96.47	0.0	Bacteria; Unclassified; otu_205
17|NCBI_READ_1594449115	79540	95.73	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Psychrobacter; Unclassified; otu_3361
