Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|WASECA_FRM_SOIL_READ_1557390519	40043	95.94	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylomicrobium; Unclassified; otu_3256
2|WASECA_FRM_SOIL_READ_1557419879	128706	96.32	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium; Unclassified; otu_2225
3|WASECA_FRM_SOIL_READ_1557335878	21437	89.1	0.0	Bacteria; Chloroflexi; Unclassified; otu_1145
4|WASECA_FRM_SOIL_READ_1557462894	18226	95.43	0.0	Bacteria; Acidobacteria; Unclassified; otu_206
5|WASECA_FRM_SOIL_READ_1557387906	1783	97.84	0.0	Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Unclassified; otu_207
6|WASECA_FRM_SOIL_READ_1557408938	128032	90.81	0.0	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micromonosporineae; Micromonosporaceae; Salinispora; otu_487
7|WASECA_FRM_SOIL_READ_1557444493	114709	92.25	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
8|WASECA_FRM_SOIL_READ_1557364555	4617	93.42	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium; Unclassified; otu_2179
9|WASECA_FRM_SOIL_READ_1557461390	1295	92.43	0.0	Bacteria; Unclassified; otu_205
10|WASECA_FRM_SOIL_READ_1557373150	226615	97.65	0.0	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Sterolibacterium; Unclassified; otu_2778
11|WASECA_FRM_SOIL_READ_1557361563	163626	89.38	0.0	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Flexibacteraceae; Sporocytophaga; Unclassified; otu_1000
12|WASECA_FRM_SOIL_READ_1557371520	74554	87.74	0.0	Bacteria; Proteobacteria; Deltaproteobacteria; Bdellovibrionales; Bacteriovoracaceae; Bacteriovorax; Unclassified; otu_2789
13|WASECA_FRM_SOIL_READ_1557382067	203588	90.03	0.0	Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Thermaerobacter; otu_1771
14|WASECA_FRM_SOIL_READ_1557463384	108682	94.36	0.0	Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halobacterium; Unclassified; otu_79
15|WASECA_FRM_SOIL_READ_1557450826	142449	90.76	3e-126	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
16|WASECA_FRM_SOIL_READ_1557415950	212457	96.63	7e-129	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
17|WASECA_FRM_SOIL_READ_1557446232	40043	92.96	5e-51	Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylomicrobium; Unclassified; otu_3256
1|rev|WASECA_FRM_SOIL_READ_1557446291	40043	97.45	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylomicrobium; Unclassified; otu_3256
2|rev|WASECA_FRM_SOIL_READ_1557458520	113232	90.68	6e-147	Bacteria; Firmicutes; Clostridia; Clostridiales; Acidaminococcaceae; Thermosinus; otu_1538
3|rev|WASECA_FRM_SOIL_READ_1557378947	32581	91.45	0.0	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Chitinophagaceae; Niastella; Unclassified; otu_916
4|rev|WASECA_FRM_SOIL_READ_1557412539	204430	91.5	0.0	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Crenotrichaceae; Chitinophaga; Unclassified; otu_923
5|rev|WASECA_FRM_SOIL_READ_1557450768	111580	88.8	4e-108	Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Thermaerobacter; otu_1771
6|rev|WASECA_FRM_SOIL_READ_1557448701	155778	88.63	7e-165	Bacteria; Verrucomicrobia; Spartobacteria; Unclassified; otu_3601
7|rev|WASECA_FRM_SOIL_READ_1557416191	224294	98.86	0.0	Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Sorangineae; Polyangiaceae; Polyangium; otu_2921
8|rev|WASECA_FRM_SOIL_READ_1557340368	2729	89.11	5e-141	Bacteria; Chloroflexi; Unclassified; otu_1145
9|rev|WASECA_FRM_SOIL_READ_1557371215	74554	98.23	7e-148	Bacteria; Proteobacteria; Deltaproteobacteria; Bdellovibrionales; Bacteriovoracaceae; Bacteriovorax; Unclassified; otu_2789
10|rev|WASECA_FRM_SOIL_READ_1557462304	18226	87.74	3e-82	Bacteria; Acidobacteria; Unclassified; otu_206
