Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|HF_READ_00272768	111879	95.83	7e-50	Bacteria; Unclassified; otu_205
2|HF_READ_00333640	188968	100	1e-50	Bacteria; Cyanobacteria; Oscillatoriales; Leptolyngbya; Unclassified; otu_1253
3|HF_READ_00239371	167146	98.21	4e-54	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
4|HF_READ_00273502	167146	98.21	4e-54	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
5|HF_READ_00310509	195479	100	8e-49	Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Anabaena; Unclassified; otu_1220
6|HF_READ_00166825	101111	100	4e-51	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
7|HF_READ_00368157	101111	100	4e-51	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
8|HF_READ_00203092	92037	98.26	7e-56	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
9|HF_READ_00165019	92037	100	2e-49	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
10|HF_READ_00374011	101620	99.1	7e-56	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Gilvibacter; otu_835
11|HF_READ_00063920	92037	100	1e-57	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
12|HF_READ_00173196	92037	100	3e-48	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
13|HF_READ_00259244	112562	100	3e-45	Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Enhygromyxa; Unclassified; otu_2902
14|HF_READ_00369483	112562	100	3e-45	Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Enhygromyxa; Unclassified; otu_2902
15|HF_READ_00270604	179300	100	2e-56	Bacteria; Unclassified; otu_205
16|HF_READ_00024033	92037	100	4e-57	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
17|HF_READ_00286416	92037	97.98	8e-46	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
18|HF_READ_00376715	230366	97.12	2e-46	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
19|HF_READ_00237889	106179	100	1e-54	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
20|HF_READ_00384627	106179	100	1e-54	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
21|HF_READ_00195543	230638	97.87	8e-43	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Azorhizobium; otu_2269
22|HF_READ_00028775	137124	97.89	5e-44	Bacteria; Cyanobacteria; Chroococcales; Synechococcus; Unclassified; otu_1205
23|HF_READ_00090052	232669	100	4e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Legionellaceae; Unclassified; otu_3237
24|HF_READ_00381516	92037	100	1e-63	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
25|HF_READ_00357593	68979	93.86	2e-43	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter; Unclassified; otu_2876
26|HF_READ_00257713	5903	98.94	8e-46	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Unclassified; otu_2158
27|HF_READ_00000531	58397	98.13	2e-50	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria; Unclassified; otu_2728
28|HF_READ_00267384	92037	97.58	1e-57	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
29|HF_READ_00073976	92037	98.47	9e-65	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
30|HF_READ_00039549	92037	98.41	2e-62	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
31|HF_READ_00065396	234617	100	1e-47	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
32|HF_READ_00342793	92037	100	9e-52	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
33|HF_READ_00100356	92037	99.05	2e-52	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
34|HF_READ_00252542	92037	98.9	5e-44	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
35|HF_READ_00151139	92037	100	7e-56	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
36|HF_READ_00203968	92037	100	6e-53	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
37|HF_READ_00027679	83959	93.69	1e-41	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; otu_3920
38|HF_READ_00071734	232196	100	2e-49	Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus; otu_2900
39|HF_READ_00270341	234617	100	7e-43	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
40|HF_READ_00170866	101670	95.76	2e-50	Bacteria; Chloroflexi; Chloroflexales; Chloroflexaceae; Roseiflexus; Unclassified; otu_1163
41|HF_READ_00067705	92037	96.97	5e-60	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
42|HF_READ_00048233	25420	99.07	4e-54	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium; Unclassified; otu_2225
43|HF_READ_00207948	136894	100	7e-37	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Tenacibaculum; Unclassified; otu_887
44|HF_READ_00000517	5655	100	1e-44	Bacteria; Unclassified; otu_205
45|HF_READ_00191600	103807	98.2	2e-53	Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylococcus; Unclassified; otu_3253
46|HF_READ_00101788	40525	96.55	3e-36	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Hyphomonadaceae; Oceanicaulis; Unclassified; otu_2289
47|HF_READ_00045685	68979	90.91	1e-32	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter; Unclassified; otu_2876
