Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|WesternChannelOMM_READ_06148240	29534	97.94	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
2|WesternChannelOMM_READ_06254520	154294	99.4	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
3|WesternChannelOMM_READ_06254857	8229	93.84	2e-120	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Alcanivoracaceae; Alcanivorax; Unclassified; otu_3272
dup2WesternChannelOMM_READ_06254857	8229	94.94	2e-104	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Alcanivoracaceae; Alcanivorax; Unclassified; otu_3272
5|WesternChannelOMM_READ_06147126	154294	99.8	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
6|WesternChannelOMM_READ_06148644	154294	99.01	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
7|WesternChannelOMM_READ_06147734	5645	94.75	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
8|WesternChannelOMM_READ_06222020	96014	94.27	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
9|WesternChannelOMM_READ_06147021	113435	98.6	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas; Unclassified; otu_3003
10|WesternChannelOMM_READ_06153131	159222	97.5	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
11|WesternChannelOMM_READ_06195524	105079	96.07	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Nitratireductor; Unclassified; otu_2227
12|WesternChannelOMM_READ_06244629	154294	98.99	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
13|WesternChannelOMM_READ_06146453	1673	91.84	0.0	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Pelobacteraceae; Pelobacter; Unclassified; otu_2884
14|WesternChannelOMM_READ_06152504	103709	98.1	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum; Unclassified; otu_2430
15|WesternChannelOMM_READ_06212819	79540	94.37	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Psychrobacter; Unclassified; otu_3361
16|WesternChannelOMM_READ_06179127	29534	99.8	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
17|WesternChannelOMM_READ_06183715	29534	98.41	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
18|WesternChannelOMM_READ_06153121	154294	98.79	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
19|WesternChannelOMM_READ_06188293	39689	97.28	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
20|WesternChannelOMM_READ_06129188	8229	94.48	5e-133	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Alcanivoracaceae; Alcanivorax; Unclassified; otu_3272
dup2WesternChannelOMM_READ_06129188	8229	93.43	3e-78	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Alcanivoracaceae; Alcanivorax; Unclassified; otu_3272
22|WesternChannelOMM_READ_06181201	6294	95.05	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
23|WesternChannelOMM_READ_06165739	154294	98.77	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
24|WesternChannelOMM_READ_06146162	29534	97.53	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
25|WesternChannelOMM_READ_06198335	29534	98.74	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
26|WesternChannelOMM_READ_06187518	6294	94.69	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
27|WesternChannelOMM_READ_06140883	5583	98.33	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Brevundimonas; Unclassified; otu_2100
28|WesternChannelOMM_READ_06160295	5645	94.78	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
29|WesternChannelOMM_READ_06237614	108110	94.51	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
30|WesternChannelOMM_READ_06161011	127094	99.73	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
dup2WesternChannelOMM_READ_06161011	127094	99.25	2e-68	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
32|WesternChannelOMM_READ_06149759	134438	98.76	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
33|WesternChannelOMM_READ_06138919	5645	94.95	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
34|WesternChannelOMM_READ_06220489	39689	98.57	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
35|WesternChannelOMM_READ_06190385	102326	92.59	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Stella; Unclassified; otu_2422
36|WesternChannelOMM_READ_06194390	103807	97.44	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylococcus; Unclassified; otu_3253
37|WesternChannelOMM_READ_06240387	105024	96.67	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Sulfitobacter; Unclassified; otu_2378
38|WesternChannelOMM_READ_06252587	39689	99.49	6e-107	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
dup2WesternChannelOMM_READ_06252587	29534	98.45	4e-171	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
40|WesternChannelOMM_READ_06166689	39689	97.75	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
41|WesternChannelOMM_READ_06188361	68992	98.99	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Hoeflea; otu_2224
42|WesternChannelOMM_READ_06141793	39689	99.01	3e-165	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
dup2WesternChannelOMM_READ_06141793	29534	97.52	2e-100	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
44|WesternChannelOMM_READ_06193943	29534	96.93	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
45|WesternChannelOMM_READ_06201002	63607	93.99	4e-118	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum; Unclassified; otu_2430
dup2WesternChannelOMM_READ_06201002	140565	91.87	1e-71	Bacteria; Proteobacteria; Alphaproteobacteria; Nisaea; otu_2118
47|WesternChannelOMM_READ_06243550	149878	92.49	0.0	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Pelobacteraceae; Pelobacter; Unclassified; otu_2884
48|WesternChannelOMM_READ_06235032	119998	98.62	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Candidatus Liberibacter; otu_2240
49|WesternChannelOMM_READ_06139374	98298	96.19	0.0	Bacteria; Proteobacteria; Unclassified; otu_2091
50|WesternChannelOMM_READ_06219781	160662	96.49	9e-138	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
dup2WesternChannelOMM_READ_06219781	160662	95.36	1e-64	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
52|WesternChannelOMM_READ_06233293	125759	93.92	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
53|WesternChannelOMM_READ_06213217	39689	98.51	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
54|WesternChannelOMM_READ_06180812	29534	98.53	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
55|WesternChannelOMM_READ_06180277	6294	96.43	2e-63	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
dup2WesternChannelOMM_READ_06180277	154294	99.73	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
57|WesternChannelOMM_READ_06211315	5645	95.82	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
58|WesternChannelOMM_READ_06144221	43239	91.6	6e-177	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
59|WesternChannelOMM_READ_06180406	39689	97.88	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
60|WesternChannelOMM_READ_06234533	29534	96.82	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
61|WesternChannelOMM_READ_06139101	39689	98.92	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
62|WesternChannelOMM_READ_06140841	39689	98.92	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
63|WesternChannelOMM_READ_06243273	68974	96.9	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Candidatus Liberibacter; otu_2240
64|WesternChannelOMM_READ_06198070	96014	98.98	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
65|WesternChannelOMM_READ_06177670	159222	98.67	8e-119	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
dup2WesternChannelOMM_READ_06177670	154294	100	1e-123	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
67|WesternChannelOMM_READ_06189908	45521	95.58	0.0	Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Nodularia; Unclassified; otu_1229
68|WesternChannelOMM_READ_06164567	65357	97.7	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Glaciecola; Unclassified; otu_3007
69|WesternChannelOMM_READ_06246281	101111	93.91	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
70|WesternChannelOMM_READ_06183156	159222	98.23	2e-116	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
dup2WesternChannelOMM_READ_06183156	154294	100	2e-122	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
72|WesternChannelOMM_READ_06243441	5645	95.24	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
73|WesternChannelOMM_READ_06216249	5645	94.67	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
74|WesternChannelOMM_READ_06195679	6294	94.14	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
75|WesternChannelOMM_READ_06234269	225963	94.42	0.0	Bacteria; Unclassified; otu_205
76|WesternChannelOMM_READ_06235979	55371	94.66	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
77|WesternChannelOMM_READ_06207864	98593	97.99	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
78|WesternChannelOMM_READ_06207840	29534	98.3	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
79|WesternChannelOMM_READ_06207121	39689	98.45	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
80|WesternChannelOMM_READ_06129760	30376	94.36	0.0	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Pseudonocardineae; Actinosynnemataceae; Lentzea; otu_529
81|WesternChannelOMM_READ_06149643	30376	94.36	0.0	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Pseudonocardineae; Actinosynnemataceae; Lentzea; otu_529
82|WesternChannelOMM_READ_06218118	92037	96.23	0.0	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
83|WesternChannelOMM_READ_06236628	1673	90.29	1e-150	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Pelobacteraceae; Pelobacter; Unclassified; otu_2884
85|WesternChannelOMM_READ_06192662	103709	98.92	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum; Unclassified; otu_2430
86|WesternChannelOMM_READ_06140049	8229	94.44	8e-132	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Alcanivoracaceae; Alcanivorax; Unclassified; otu_3272
dup2WesternChannelOMM_READ_06140049	47332	95.74	4e-61	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Thalassolituus; Unclassified; otu_3320
88|WesternChannelOMM_READ_06236132	39689	98.54	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
90|WesternChannelOMM_READ_06150695	135755	97.5	2e-141	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
dup2WesternChannelOMM_READ_06150695	135755	97.47	2e-97	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
92|WesternChannelOMM_READ_06254923	29534	98.46	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
93|WesternChannelOMM_READ_06187668	47332	93.17	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Thalassolituus; Unclassified; otu_3320
94|WesternChannelOMM_READ_06129163	6294	95.61	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
95|WesternChannelOMM_READ_06137854	6294	95.61	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
96|WesternChannelOMM_READ_06143211	6294	95.61	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
97|WesternChannelOMM_READ_06227376	92037	96.98	0.0	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
98|WesternChannelOMM_READ_06196501	5655	93.58	0.0	Bacteria; Unclassified; otu_205
99|WesternChannelOMM_READ_06187098	92037	97.31	0.0	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
100|WesternChannelOMM_READ_06229845	91272	92.42	9e-179	Bacteria; Proteobacteria; Gammaproteobacteria; Nitrincola; otu_3267
101|WesternChannelOMM_READ_06166271	39689	98.04	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
102|WesternChannelOMM_READ_06197641	154294	98.5	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
103|WesternChannelOMM_READ_06203445	8229	94.51	8e-151	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Alcanivoracaceae; Alcanivorax; Unclassified; otu_3272
dup2WesternChannelOMM_READ_06203445	74387	98.97	1e-47	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
105|WesternChannelOMM_READ_06188254	5852	98.48	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Hyphomonadaceae; Maricaulis; otu_2288
106|WesternChannelOMM_READ_06216125	159222	97.42	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
107|WesternChannelOMM_READ_06151373	39689	97.77	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Porphyrobacter; Unclassified; otu_2509
108|WesternChannelOMM_READ_06193471	91272	93.04	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Nitrincola; otu_3267
109|WesternChannelOMM_READ_06200823	29534	97.46	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
110|WesternChannelOMM_READ_06188448	90275	93.09	0.0	Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Thermaerobacter; otu_1771
