Sequence_id	Database_id	Percentage_identity	E-value	Classification
CAM_READ_0089312869	161348	94.34	4e-64	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
CAM_READ_0089312943	92037	100	7e-72	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
CAM_READ_0089313031	92037	98.44	3e-134	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
CAM_READ_0089313061	48787	92.92	1e-39	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
CAM_READ_0089315529	92037	99.59	4e-133	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
CAM_READ_0089315565	231888	93.28	2e-95	Bacteria; Bacteroidetes; Flavobacteria; Unclassified; otu_765
CAM_READ_0089315607	92037	98.28	1e-120	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
CAM_READ_0089315631	92037	100	8e-32	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
CAM_READ_0089315725	92037	100	2e-59	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
CAM_READ_0089315731	234175	100	3e-77	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Pelobacteraceae; Pelobacter; Unclassified; otu_2884
CAM_READ_0089315745	91777	91.72	3e-49	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Moraxella; Unclassified; otu_3359
CAM_READ_0089315469	68979	96.06	8e-56	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter; Unclassified; otu_2876
CAM_READ_0089315473	92037	97.95	5e-98	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
CAM_READ_0089315485	204581	100	2e-37	Bacteria; Firmicutes; Clostridia; Clostridiales; Epulopiscium; Unclassified; otu_1629
CAM_READ_0089315531	111879	97.2	4e-105	Bacteria; Unclassified; otu_205
CAM_READ_0089315563	188968	91.3	9e-37	Bacteria; Cyanobacteria; Oscillatoriales; Leptolyngbya; Unclassified; otu_1253
CAM_READ_0089315573	123462	93.1	2e-91	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Roseomonas; otu_2200
CAM_READ_0089314787	107856	92.89	2e-73	Bacteria; Cyanobacteria; Oscillatoriales; Leptolyngbya; Unclassified; otu_1253
CAM_READ_0089314797	231888	93	5e-77	Bacteria; Bacteroidetes; Flavobacteria; Unclassified; otu_765
CAM_READ_0089314807	137040	98.06	3e-77	Bacteria; Cyanobacteria; Chroococcales; Radiocystis; otu_1203
CAM_READ_0089318107	5798	98.38	5e-95	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Unclassified; otu_2350
CAM_READ_0089318111	138778	94.1	3e-122	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
CAM_READ_0089318117	98298	90.32	2e-57	Bacteria; Proteobacteria; Unclassified; otu_2091
CAM_READ_0089318129	68992	100	3e-74	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Hoeflea; otu_2224
CAM_READ_0089318161	111879	92.59	8e-82	Bacteria; Unclassified; otu_205
CAM_READ_0089318171	68994	97.3	1e-70	Bacteria; Unclassified; otu_205
CAM_READ_0089318251	188968	100	6e-40	Bacteria; Cyanobacteria; Oscillatoriales; Leptolyngbya; Unclassified; otu_1253
CAM_READ_0089318337	92037	97.76	9e-65	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
CAM_READ_0089318353	92037	100	3e-112	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
CAM_READ_0089318411	91777	92.98	1e-64	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Moraxella; Unclassified; otu_3359
CAM_READ_0089318469	233692	95.56	3e-36	Eukaryota; Metazoa; Mollusca; Bivalvia; Heteroconchia; Veneroida; Glossoidea; Vesicomyidae; Calyptogena; otu_3817
CAM_READ_0089314839	159230	91.18	9e-44	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Desulfuromonadaceae; Desulfuromonas; Unclassified; otu_2867
CAM_READ_0089314853	92037	100	6e-104	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
CAM_READ_0089314863	122531	98.04	5e-76	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Unclassified; otu_767
