Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|JCVI_READ_1105237534674	105774	91.9	0.0	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Pseudonocardineae; Pseudonocardiaceae; Saccharopolyspora; otu_550
2|JCVI_READ_1105333365763	82792	95.99	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Cryomorphaceae; unclassified Cryomorphaceae; otu_780
3|JCVI_READ_1105297183122	82792	98.05	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Cryomorphaceae; unclassified Cryomorphaceae; otu_780
4|JCVI_READ_1105237590375	234175	96.35	0.0	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Pelobacteraceae; Pelobacter; Unclassified; otu_2884
5|JCVI_READ_1105333398828	230324	86.39	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseinatronobacter; otu_2358
6|JCVI_READ_1105237596469	231888	96.27	0.0	Bacteria; Bacteroidetes; Flavobacteria; Unclassified; otu_765
7|JCVI_READ_1105333448322	143237	97.36	0.0	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
8|JCVI_READ_1105333266950	68830	98.82	0.0	Bacteria; Cyanobacteria; Oscillatoriales; Arthrospira; otu_1245
9|JCVI_READ_1105333391676	155780	94.58	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Unclassified; otu_821
10|JCVI_READ_1105333302464	82792	92.69	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Cryomorphaceae; unclassified Cryomorphaceae; otu_780
11|JCVI_READ_1105333536461	82792	92.71	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Cryomorphaceae; unclassified Cryomorphaceae; otu_780
12|JCVI_READ_1105333379240	92037	99.36	6e-82	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
14|JCVI_READ_1105333438894	525	83.97	2e-46	Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halobacterium; Unclassified; otu_79
