Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|DayNight_READ_00177060	92037	100	1e-60	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
2|DayNight_READ_00207117	92037	100	1e-60	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
3|DayNight_READ_00220344	68974	98.28	7e-56	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Candidatus Liberibacter; otu_2240
4|DayNight_READ_00197315	92037	100	8e-62	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
5|DayNight_READ_00184502	137124	100	2e-56	Bacteria; Cyanobacteria; Chroococcales; Synechococcus; Unclassified; otu_1205
6|DayNight_READ_00205614	92037	100	2e-59	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
7|DayNight_READ_00226523	92037	100	2e-59	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
8|DayNight_READ_00247118	92037	100	2e-59	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
9|DayNight_READ_00256434	92037	100	2e-59	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
10|DayNight_READ_00261136	92037	100	2e-59	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
11|DayNight_READ_00264620	92037	100	2e-59	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
12|DayNight_READ_00268623	92037	100	7e-59	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
13|DayNight_READ_00251918	92037	99.12	4e-57	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
14|DayNight_READ_00262336	92037	99.12	4e-57	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
