Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|MontereyBay_READ_00639359	96014	100	2e-151	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
2|MontereyBay_READ_00626277	105024	95.42	3e-128	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Sulfitobacter; Unclassified; otu_2378
3|MontereyBay_READ_00633273	127094	99.28	1e-152	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
4|MontereyBay_READ_00684258	5685	97.88	4e-146	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; Unclassified; otu_2363
5|MontereyBay_READ_00657210	196857	94.38	4e-115	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
6|MontereyBay_READ_00700682	68995	99.64	6e-154	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum; Unclassified; otu_2430
7|MontereyBay_READ_00641298	5798	92.78	5e-102	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Unclassified; otu_2350
8|MontereyBay_READ_00712206	5645	95.79	2e-120	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
9|MontereyBay_READ_00610243	127094	98.57	4e-149	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
10|MontereyBay_READ_00687770	98298	95.26	3e-122	Bacteria; Proteobacteria; Unclassified; otu_2091
11|MontereyBay_READ_00613563	5798	92.88	2e-104	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Unclassified; otu_2350
12|MontereyBay_READ_00765770	5655	98.48	5e-139	Bacteria; Unclassified; otu_205
13|MontereyBay_READ_00674287	231832	100	5e-142	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas; Unclassified; otu_3042
14|MontereyBay_READ_00712146	127094	99.61	3e-143	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
15|MontereyBay_READ_00645041	127094	99.27	4e-149	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
16|MontereyBay_READ_00628501	127094	99.26	6e-148	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
17|MontereyBay_READ_00690806	96014	98.86	2e-141	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
18|MontereyBay_READ_00731305	191569	96.34	2e-116	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Piscirickettsiaceae; Methylophaga; Unclassified; otu_3407
19|MontereyBay_READ_00625598	105024	99.26	6e-148	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Sulfitobacter; Unclassified; otu_2378
20|MontereyBay_READ_00722559	104638	97.16	3e-140	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; Unclassified; otu_2363
21|MontereyBay_READ_00615865	8178	92.45	8e-101	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Neptunomonas; Unclassified; otu_3306
22|MontereyBay_READ_00668648	104638	97.24	2e-126	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; Unclassified; otu_2363
23|MontereyBay_READ_00766040	55371	97.8	3e-115	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
24|MontereyBay_READ_00707676	5655	94.44	2e-107	Bacteria; Unclassified; otu_205
25|MontereyBay_READ_00733529	127094	97.74	1e-133	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
26|MontereyBay_READ_00676202	61204	99.62	1e-145	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium; Unclassified; otu_2248
27|MontereyBay_READ_00697542	18143	97.45	5e-117	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
28|MontereyBay_READ_00713204	18143	93.8	8e-107	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
29|MontereyBay_READ_00662730	5645	96.17	2e-110	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
30|MontereyBay_READ_00724201	118817	95.87	3e-112	Bacteria; Unclassified; otu_205
31|MontereyBay_READ_00631438	111879	95.48	2e-91	Bacteria; Unclassified; otu_205
32|MontereyBay_READ_00759903	5655	96.03	1e-117	Bacteria; Unclassified; otu_205
33|MontereyBay_READ_00712753	79767	94.02	8e-104	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
