Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|WesternChannelOMM_READ_04755809	5645	96.6	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
2|WesternChannelOMM_READ_05179608	5655	97.25	0.0	Bacteria; Unclassified; otu_205
3|WesternChannelOMM_READ_04713525	55371	94.46	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
4|WesternChannelOMM_READ_05055999	124930	97.59	0.0	Bacteria; Proteobacteria; Betaproteobacteria; Methylophilales; Methylophilaceae; Methylophilus; Unclassified; otu_2701
5|WesternChannelOMM_READ_05064169	5903	94.92	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Unclassified; otu_2158
6|WesternChannelOMM_READ_05064890	55371	93.56	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
7|WesternChannelOMM_READ_04777384	61204	97.62	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium; Unclassified; otu_2248
8|WesternChannelOMM_READ_04746619	61204	98.32	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium; Unclassified; otu_2248
9|WesternChannelOMM_READ_04605474	196857	94.51	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
10|WesternChannelOMM_READ_05228567	5903	95.06	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Unclassified; otu_2158
11|WesternChannelOMM_READ_05133947	61204	98.57	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium; Unclassified; otu_2248
12|WesternChannelOMM_READ_04858052	101990	98.78	0.0	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Flexibacteraceae; Cytophaga; Unclassified; otu_964
13|WesternChannelOMM_READ_04702648	2401	93.28	0.0	Bacteria; Unclassified; otu_205
14|WesternChannelOMM_READ_05209947	98593	95.9	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
15|WesternChannelOMM_READ_04986820	92037	96.77	0.0	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
16|WesternChannelOMM_READ_04970072	127094	99.51	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
17|WesternChannelOMM_READ_05218209	48787	93.79	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
18|WesternChannelOMM_READ_05213831	61204	99.35	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium; Unclassified; otu_2248
19|WesternChannelOMM_READ_04937133	1673	94.81	4e-153	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Pelobacteraceae; Pelobacter; Unclassified; otu_2884
20|WesternChannelOMM_READ_05265962	55371	94.7	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
21|WesternChannelOMM_READ_04971649	43992	91.24	7e-158	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Intrasporangiaceae; Tetrasphaera; otu_379
22|WesternChannelOMM_READ_05197853	100504	93.43	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Zobellia; otu_899
23|WesternChannelOMM_READ_04939524	1673	95.5	4e-153	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Pelobacteraceae; Pelobacter; Unclassified; otu_2884
24|WesternChannelOMM_READ_04734947	143237	99.47	0.0	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
25|WesternChannelOMM_READ_04731886	55371	94.01	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
26|WesternChannelOMM_READ_04781193	61204	98.5	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium; Unclassified; otu_2248
27|WesternChannelOMM_READ_05038369	61870	93.5	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Unclassified; otu_2943
28|WesternChannelOMM_READ_04739720	5645	95.83	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
29|WesternChannelOMM_READ_04869733	5903	94.38	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Unclassified; otu_2158
30|WesternChannelOMM_READ_05338583	5903	94.3	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Unclassified; otu_2158
31|WesternChannelOMM_READ_04774949	96014	94.46	6e-164	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
32|WesternChannelOMM_READ_05055918	120203	99.47	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium; Unclassified; otu_2225
33|WesternChannelOMM_READ_04788570	95512	94.4	2e-164	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
34|WesternChannelOMM_READ_04920647	98593	95.02	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
35|WesternChannelOMM_READ_04803156	105024	99.71	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Sulfitobacter; Unclassified; otu_2378
36|WesternChannelOMM_READ_05296852	105024	99.41	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Sulfitobacter; Unclassified; otu_2378
37|WesternChannelOMM_READ_05218468	195962	92.07	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
