Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|MarinePennateDiatoms_READ_00363219	98593	100	5e-142	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
2|MarinePennateDiatoms_READ_00597505	3468	99.62	9e-147	Eukaryota; Haptophyceae; Prymnesiales; Chrysochromulina; otu_3739
3|MarinePennateDiatoms_READ_00316790	92037	98.39	1e-130	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
4|MarinePennateDiatoms_READ_00409108	92037	98.18	4e-143	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
5|MarinePennateDiatoms_READ_00622933	3439	96.03	5e-105	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
6|MarinePennateDiatoms_READ_00400723	92037	98.48	1e-139	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
7|MarinePennateDiatoms_READ_00600470	3439	96.92	4e-115	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
8|MarinePennateDiatoms_READ_00467590	3439	95	9e-113	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
9|MarinePennateDiatoms_READ_00521672	3439	94.9	8e-110	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
10|MarinePennateDiatoms_READ_00621546	3439	96.53	2e-117	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
11|MarinePennateDiatoms_READ_00528777	131988	96.2	4e-124	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Colwelliaceae; Colwellia; Unclassified; otu_3024
12|MarinePennateDiatoms_READ_00531575	3439	94.9	2e-110	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
13|MarinePennateDiatoms_READ_00635530	3439	94.9	2e-110	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
14|MarinePennateDiatoms_READ_00473480	3439	95.2	8e-110	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
15|MarinePennateDiatoms_READ_00504524	232752	98.4	3e-131	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
16|MarinePennateDiatoms_READ_00489494	3439	94.86	1e-108	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
17|MarinePennateDiatoms_READ_00501323	3439	95.2	8e-110	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
18|MarinePennateDiatoms_READ_00502603	3468	98.78	1e-130	Eukaryota; Haptophyceae; Prymnesiales; Chrysochromulina; otu_3739
19|MarinePennateDiatoms_READ_00351839	232752	98.79	7e-132	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
20|MarinePennateDiatoms_READ_00557449	3468	98.41	7e-132	Eukaryota; Haptophyceae; Prymnesiales; Chrysochromulina; otu_3739
21|MarinePennateDiatoms_READ_00592077	3439	95.2	8e-110	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
22|MarinePennateDiatoms_READ_00529744	3439	95.2	8e-110	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
23|MarinePennateDiatoms_READ_00492568	232752	98.38	2e-129	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
24|MarinePennateDiatoms_READ_00495631	232752	98.79	2e-132	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
25|MarinePennateDiatoms_READ_00609160	3439	95.18	3e-109	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
26|MarinePennateDiatoms_READ_00391296	3468	98.04	3e-131	Eukaryota; Haptophyceae; Prymnesiales; Chrysochromulina; otu_3739
27|MarinePennateDiatoms_READ_00580890	3439	95.18	3e-109	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
28|MarinePennateDiatoms_READ_00614335	3439	95.18	3e-109	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
29|MarinePennateDiatoms_READ_00516206	3439	94.44	1e-105	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
30|MarinePennateDiatoms_READ_00601116	3468	99.61	3e-140	Eukaryota; Haptophyceae; Prymnesiales; Chrysochromulina; otu_3739
31|MarinePennateDiatoms_READ_00240920	98298	94.78	1e-99	Bacteria; Proteobacteria; Unclassified; otu_2091
32|MarinePennateDiatoms_READ_00271704	3468	90.87	2e-89	Eukaryota; Haptophyceae; Prymnesiales; Chrysochromulina; otu_3739
33|MarinePennateDiatoms_READ_00268237	137270	93.65	5e-102	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Rickettsiaceae; Rickettsieae; Rickettsia; spotted fever group; Unclassified; otu_2488
34|MarinePennateDiatoms_READ_00363177	3468	98.01	7e-129	Eukaryota; Haptophyceae; Prymnesiales; Chrysochromulina; otu_3739
35|MarinePennateDiatoms_READ_00634535	3439	94.8	4e-96	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
36|MarinePennateDiatoms_READ_00319347	68994	98.83	1e-136	Bacteria; Unclassified; otu_205
