Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|WesternChannelOMM_READ_03544128	150309	90.32	7e-177	Bacteria; Proteobacteria; Deltaproteobacteria; Bdellovibrionales; Bdellovibrionaceae; Bdellovibrio; Unclassified; otu_2793
2|WesternChannelOMM_READ_03605024	5645	95.33	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
3|WesternChannelOMM_READ_03633779	5798	93.53	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Unclassified; otu_2350
4|WesternChannelOMM_READ_03593884	196857	92.14	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
5|WesternChannelOMM_READ_03596153	5798	93.32	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Unclassified; otu_2350
6|WesternChannelOMM_READ_03300752	105331	96.71	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Yeosuana; otu_898
7|WesternChannelOMM_READ_03530706	55371	94.78	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
8|WesternChannelOMM_READ_03424745	18143	93.39	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
9|WesternChannelOMM_READ_03457880	105331	95.27	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Yeosuana; otu_898
10|WesternChannelOMM_READ_03476154	5645	95.18	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
11|WesternChannelOMM_READ_03666959	124930	98.63	0.0	Bacteria; Proteobacteria; Betaproteobacteria; Methylophilales; Methylophilaceae; Methylophilus; Unclassified; otu_2701
12|WesternChannelOMM_READ_03586995	2446	95.55	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Psychroserpens; otu_867
13|WesternChannelOMM_READ_03580266	2359	93.54	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Polaribacter; Unclassified; otu_862
14|WesternChannelOMM_READ_03229035	61204	98.32	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium; Unclassified; otu_2248
15|WesternChannelOMM_READ_03204117	118269	95.89	0.0	Bacteria; Bacteroidetes; Unclassified; otu_684
16|WesternChannelOMM_READ_03639540	105331	97.45	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Yeosuana; otu_898
17|WesternChannelOMM_READ_03334522	5793	94.55	3e-178	Bacteria; Antarctic; otu_655
18|WesternChannelOMM_READ_03495448	5645	95.15	2e-179	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
