Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|SCUMS_READ_Arctic2333689	226402	99.16	5e-60	Bacteria; Unclassified; otu_205
2|SCUMS_READ_Arctic2333689	226402	99.16	5e-60	Bacteria; Unclassified; otu_205
3|SCUMS_READ_Arctic2378600	213181	98.28	7e-56	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
4|SCUMS_READ_Arctic2378600	213181	98.28	7e-56	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
5|SCUMS_READ_Arctic2920981	169430	100	4e-54	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Microbacteriaceae; Unclassified; otu_382
6|SCUMS_READ_Arctic2920981	169430	100	4e-54	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Microbacteriaceae; Unclassified; otu_382
7|SCUMS_READ_Arctic2903229	232669	100	2e-49	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Legionellaceae; Unclassified; otu_3237
8|SCUMS_READ_Arctic2903229	232669	100	2e-49	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Legionellaceae; Unclassified; otu_3237
9|SCUMS_READ_Arctic2550390	105079	98.26	2e-56	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Nitratireductor; Unclassified; otu_2227
10|SCUMS_READ_Arctic2550390	105079	98.26	2e-56	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Nitratireductor; Unclassified; otu_2227
11|SCUMS_READ_Arctic2655237	146972	100	5e-47	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Microbacteriaceae; Pseudoclavibacter; Unclassified; otu_427
12|SCUMS_READ_Arctic2655237	146972	100	5e-47	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Microbacteriaceae; Pseudoclavibacter; Unclassified; otu_427
13|SCUMS_READ_Arctic2693259	129414	98.97	5e-47	Bacteria; Unclassified; otu_205
14|SCUMS_READ_Arctic2693259	129414	98.97	5e-47	Bacteria; Unclassified; otu_205
15|SCUMS_READ_Arctic2393940	210598	100	2e-52	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
16|SCUMS_READ_Arctic2393940	210598	100	2e-52	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
17|SCUMS_READ_Arctic2739676	18609	97.98	2e-46	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium; Unclassified; otu_2225
18|SCUMS_READ_Arctic2739676	18609	97.98	2e-46	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium; Unclassified; otu_2225
19|SCUMS_READ_Arctic2391912	67796	98.08	2e-49	Bacteria; Proteobacteria; Deltaproteobacteria; Syntrophobacterales; Syntrophaceae; Syntrophus; Unclassified; otu_2933
20|SCUMS_READ_Arctic2391912	67796	98.08	2e-49	Bacteria; Proteobacteria; Deltaproteobacteria; Syntrophobacterales; Syntrophaceae; Syntrophus; Unclassified; otu_2933
21|SCUMS_READ_Arctic2526851	128706	99.09	3e-55	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium; Unclassified; otu_2225
22|SCUMS_READ_Arctic2526851	128706	99.09	3e-55	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium; Unclassified; otu_2225
23|SCUMS_READ_Arctic2916285	208719	96.97	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Halomonadaceae; Halomonas; Unclassified; otu_3290
24|SCUMS_READ_Arctic2916285	208719	96.97	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Halomonadaceae; Halomonas; Unclassified; otu_3290
25|SCUMS_READ_Arctic2655340	226402	99.05	2e-52	Bacteria; Unclassified; otu_205
26|SCUMS_READ_Arctic2655340	226402	99.05	2e-52	Bacteria; Unclassified; otu_205
27|SCUMS_READ_Arctic2924330	149766	100	4e-51	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
28|SCUMS_READ_Arctic2924330	149766	100	4e-51	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
29|SCUMS_READ_Arctic2963172	99158	99.02	1e-50	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
30|SCUMS_READ_Arctic2963172	99158	99.02	1e-50	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
31|SCUMS_READ_Arctic2729551	208719	96.15	5e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Halomonadaceae; Halomonas; Unclassified; otu_3290
32|SCUMS_READ_Arctic2729551	208719	96.15	5e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Halomonadaceae; Halomonas; Unclassified; otu_3290
33|SCUMS_READ_Arctic2589417	232669	98.9	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Legionellaceae; Unclassified; otu_3237
34|SCUMS_READ_Arctic2589417	232669	98.9	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Legionellaceae; Unclassified; otu_3237
35|SCUMS_READ_Arctic2316094	114396	96.52	4e-51	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Rhodoplanes; Unclassified; otu_2189
36|SCUMS_READ_Arctic2316094	114396	96.52	4e-51	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Rhodoplanes; Unclassified; otu_2189
37|SCUMS_READ_Arctic2819179	6365	100	1e-50	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
38|SCUMS_READ_Arctic2819179	6365	100	1e-50	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
39|SCUMS_READ_Arctic2662272	128453	93.86	2e-43	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Zymomonas; otu_2533
40|SCUMS_READ_Arctic2662272	128453	93.86	2e-43	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Zymomonas; otu_2533
41|SCUMS_READ_Arctic2920384	67796	96.15	1e-44	Bacteria; Proteobacteria; Deltaproteobacteria; Syntrophobacterales; Syntrophaceae; Syntrophus; Unclassified; otu_2933
42|SCUMS_READ_Arctic2920384	67796	96.15	1e-44	Bacteria; Proteobacteria; Deltaproteobacteria; Syntrophobacterales; Syntrophaceae; Syntrophus; Unclassified; otu_2933
43|SCUMS_READ_Arctic2344971	6365	92.5	2e-41	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; Unclassified; otu_2528
