Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|WesternChannelOMM_READ_04493991	68992	100	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Hoeflea; otu_2224
2|WesternChannelOMM_READ_04485496	68992	99.35	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Hoeflea; otu_2224
4|WesternChannelOMM_READ_04490947	5645	95.82	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
5|WesternChannelOMM_READ_04522360	55371	93.65	8e-176	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
dup2WesternChannelOMM_READ_04522360	105024	100	5e-47	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Sulfitobacter; Unclassified; otu_2378
7|WesternChannelOMM_READ_04560614	68992	100	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Hoeflea; otu_2224
8|WesternChannelOMM_READ_04526303	5793	96.53	0.0	Bacteria; Antarctic; otu_655
9|WesternChannelOMM_READ_04496179	5645	95.38	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
10|WesternChannelOMM_READ_04564859	68992	99.1	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Hoeflea; otu_2224
11|WesternChannelOMM_READ_04576383	44012	94.22	4e-93	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Paracoccus; Unclassified; otu_2334
dup2WesternChannelOMM_READ_04576383	48787	97.03	1e-114	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
13|WesternChannelOMM_READ_04550957	68992	99.2	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Hoeflea; otu_2224
15|WesternChannelOMM_READ_04580221	105024	95.27	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Sulfitobacter; Unclassified; otu_2378
16|WesternChannelOMM_READ_04508082	5793	95.41	0.0	Bacteria; Antarctic; otu_655
17|WesternChannelOMM_READ_04502001	127094	98.74	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
18|WesternChannelOMM_READ_04525904	48787	93.8	5e-48	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
dup2WesternChannelOMM_READ_04525904	5793	95.07	4e-165	Bacteria; Antarctic; otu_655
20|WesternChannelOMM_READ_04545788	122531	98.16	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Unclassified; otu_767
dup2WesternChannelOMM_READ_04545788	122531	100	8e-49	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Unclassified; otu_767
22|WesternChannelOMM_READ_04568721	55371	94.97	3e-131	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
