Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|ALVINELLA_READ_1878664686	10794	89.45	0.0	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobulbaceae; Desulfotalea; otu_2834
2|ALVINELLA_READ_1878664462	94413	97.85	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
3|ALVINELLA_READ_1878642659	94413	89.84	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
4|ALVINELLA_READ_1878661388	94413	98.48	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
5|ALVINELLA_READ_1878592677	94413	94.93	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
6|ALVINELLA_READ_1878647219	11124	97.37	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Unclassified; otu_2943
7|ALVINELLA_READ_1878661298	10829	90.71	0.0	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobulbaceae; Unclassified; otu_2826
8|ALVINELLA_READ_1878645131	94413	94.22	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
9|ALVINELLA_READ_1878659411	94413	95.43	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
10|ALVINELLA_READ_1878658197	94413	97.6	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
11|ALVINELLA_READ_1878693603	94413	98.31	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
12|ALVINELLA_READ_1878647321	94413	95.16	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
13|ALVINELLA_READ_1878470636	94413	94.46	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
14|ALVINELLA_READ_1878679864	94413	94.35	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
15|ALVINELLA_READ_1878671412	94413	92.32	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
16|ALVINELLA_READ_1878677354	94413	99.04	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
17|ALVINELLA_READ_1878571387	94413	99.6	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
18|ALVINELLA_READ_1878682274	94413	96.76	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
19|ALVINELLA_READ_1878677076	94413	96.68	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
20|ALVINELLA_READ_1878673865	94413	96.29	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
21|ALVINELLA_READ_1878468040	94413	96.33	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
22|ALVINELLA_READ_1878482369	94413	98.69	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
23|ALVINELLA_READ_1878599114	11124	92.37	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Unclassified; otu_2943
24|ALVINELLA_READ_1878656761	94413	98.09	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
25|ALVINELLA_READ_1878524684	11124	94.57	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Unclassified; otu_2943
26|ALVINELLA_READ_1878447277	67794	94.3	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
27|ALVINELLA_READ_1878434709	94413	98.31	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
28|ALVINELLA_READ_1878697636	94413	97.27	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
29|ALVINELLA_READ_1878427428	94413	96.61	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
30|ALVINELLA_READ_1878651265	94413	95.61	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
31|ALVINELLA_READ_1878674303	94413	93.21	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
32|ALVINELLA_READ_1878441316	94413	97.26	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
33|ALVINELLA_READ_1878613442	106942	91.63	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
34|ALVINELLA_READ_1878677150	94413	97.16	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
35|ALVINELLA_READ_1878667807	94413	94.36	0.0	Bacteria; Proteobacteria; Epsilonproteobacteria; Sulfurovum; Unclassified; otu_2972
