Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|WesternChannelOMM_READ_01506253	68974	98.65	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Candidatus Liberibacter; otu_2240
2|WesternChannelOMM_READ_01310218	5655	94.72	0.0	Bacteria; Unclassified; otu_205
3|WesternChannelOMM_READ_01418987	44012	95.83	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Paracoccus; Unclassified; otu_2334
4|WesternChannelOMM_READ_01175626	5903	94.53	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Unclassified; otu_2158
5|WesternChannelOMM_READ_01379418	53290	99.6	0.0	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Nocardioidaceae; Aeromicrobium; Unclassified; otu_498
6|WesternChannelOMM_READ_01518910	108110	95.26	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
7|WesternChannelOMM_READ_01468506	5903	95.1	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Unclassified; otu_2158
8|WesternChannelOMM_READ_01450696	5903	94.15	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Unclassified; otu_2158
9|WesternChannelOMM_READ_01105907	113435	97.09	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas; Unclassified; otu_3003
10|WesternChannelOMM_READ_01440967	101111	96.12	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
11|WesternChannelOMM_READ_01419027	101111	98.05	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
12|WesternChannelOMM_READ_01388173	78569	93.84	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinobacter; Unclassified; otu_3013
