Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|SalternMetagenome_READ_02161112	155994	99.1	7e-56	Bacteria; Firmicutes; Bacillales; Bacillaceae; Bacillus; Unclassified; otu_1368
2|SalternMetagenome_READ_02158235	105930	99.13	3e-58	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Collimonas; Unclassified; otu_2645
3|SalternMetagenome_READ_02204413	50403	100	8e-65	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
4|SalternMetagenome_READ_02191777	80181	98.94	8e-46	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
5|SalternMetagenome_READ_02172975	91160	99.1	3e-55	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
6|SalternMetagenome_READ_02187024	104054	100	3e-55	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
7|SalternMetagenome_READ_02173151	105930	100	1e-54	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Collimonas; Unclassified; otu_2645
8|SalternMetagenome_READ_02194263	80181	97.85	7e-43	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
9|SalternMetagenome_READ_02204758	231968	98.67	5e-34	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
13|SalternMetagenome_READ_02176995	6702	94.23	8e-40	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Dechloromonas; Unclassified; otu_2765
15|SalternMetagenome_READ_02185338	80181	94.68	1e-35	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
16|SalternMetagenome_READ_02185065	81187	93.41	6e-31	Bacteria; Proteobacteria; Betaproteobacteria; Unclassified; otu_2537
17|SalternMetagenome_READ_02151061	70208	98.86	3e-42	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Unclassified; otu_2570
19|SalternMetagenome_READ_02205683	80181	94.44	2e-33	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
1|rev|SalternMetagenome_READ_02204254	91160	100	4e-54	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
2|rev|SalternMetagenome_READ_02202994	214508	100	1e-47	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Citrobacter; Unclassified; otu_3141
3|rev|SalternMetagenome_READ_02194207	80181	97.14	6e-47	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum; Unclassified; otu_2650
4|rev|SalternMetagenome_READ_02203959	214508	95.18	1e-31	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Citrobacter; Unclassified; otu_3141
5|rev|SalternMetagenome_READ_02148028	50403	100	3e-32	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
6|rev|SalternMetagenome_READ_02149747	50403	100	3e-32	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Unclassified; otu_2588
7|rev|SalternMetagenome_READ_02181896	132286	95.4	2e-34	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Janthinobacterium; Unclassified; otu_2654
8|rev|SalternMetagenome_READ_02191150	132286	95.4	2e-34	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Janthinobacterium; Unclassified; otu_2654
