Sequence_id	Database_id	Percentage_identity	E-value	Classification
AtriplexMicrobiome_READ_00002990	69031	96.27	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00003843	105004	95.41	2e-138	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
AtriplexMicrobiome_READ_00006134	146872	99.42	0.0	Bacteria; Firmicutes; Bacillales; Staphylococcus; Unclassified; otu_1483
AtriplexMicrobiome_READ_00006923	69031	96.27	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00007982	69031	96.06	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00009407	69031	95.99	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00009904	69031	95.09	3e-153	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00001314	69031	96.27	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00002756	146872	99.42	0.0	Bacteria; Firmicutes; Bacillales; Staphylococcus; Unclassified; otu_1483
AtriplexMicrobiome_READ_00006434	69031	96.27	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00006886	69031	96.23	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00008641	69031	96.06	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00000115	69031	96.67	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00000529	146872	99.04	0.0	Bacteria; Firmicutes; Bacillales; Staphylococcus; Unclassified; otu_1483
AtriplexMicrobiome_READ_00007074	69031	96.47	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00008224	146872	99.42	0.0	Bacteria; Firmicutes; Bacillales; Staphylococcus; Unclassified; otu_1483
AtriplexMicrobiome_READ_00004828	146872	99.06	0.0	Bacteria; Firmicutes; Bacillales; Staphylococcus; Unclassified; otu_1483
AtriplexMicrobiome_READ_00000047	146872	99.64	6e-154	Bacteria; Firmicutes; Bacillales; Staphylococcus; Unclassified; otu_1483
AtriplexMicrobiome_READ_00000953	69031	96.47	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00001784	69031	96.02	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00010388	69031	94.92	9e-138	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00011149	69031	92.81	7e-60	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00002566	69031	96.68	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00008598	146872	99.39	0.0	Bacteria; Firmicutes; Bacillales; Staphylococcus; Unclassified; otu_1483
AtriplexMicrobiome_READ_00010304	105004	94.31	7e-47	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
AtriplexMicrobiome_READ_00000680	69031	96.27	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00001792	69031	96.68	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00004419	69031	96.67	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00008539	146872	99.22	0.0	Bacteria; Firmicutes; Bacillales; Staphylococcus; Unclassified; otu_1483
AtriplexMicrobiome_READ_00008591	69031	93.3	2e-73	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00007935	69031	96.06	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00001562	69031	96.67	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00007643	69031	96.07	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00007923	69031	96.43	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00008931	69031	96.38	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00003944	69031	96.67	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00002825	69031	96.27	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00003048	69031	96.47	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00003696	69031	96.26	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00006354	69031	97.84	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00006673	69031	96.67	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00009429	100137	96.31	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Beijerinckia; otu_2132
AtriplexMicrobiome_READ_00009901	146872	97.88	0.0	Bacteria; Firmicutes; Bacillales; Staphylococcus; Unclassified; otu_1483
AtriplexMicrobiome_READ_00008871	69031	96.47	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00010507	69031	96	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00000218	146872	99.28	2e-151	Bacteria; Firmicutes; Bacillales; Staphylococcus; Unclassified; otu_1483
AtriplexMicrobiome_READ_00003373	146872	99.42	0.0	Bacteria; Firmicutes; Bacillales; Staphylococcus; Unclassified; otu_1483
AtriplexMicrobiome_READ_00003637	146872	99.42	0.0	Bacteria; Firmicutes; Bacillales; Staphylococcus; Unclassified; otu_1483
AtriplexMicrobiome_READ_00004445	100137	95.65	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Beijerinckia; otu_2132
AtriplexMicrobiome_READ_00005881	146872	99.38	0.0	Bacteria; Firmicutes; Bacillales; Staphylococcus; Unclassified; otu_1483
AtriplexMicrobiome_READ_00006872	146872	98.26	0.0	Bacteria; Firmicutes; Bacillales; Staphylococcus; Unclassified; otu_1483
AtriplexMicrobiome_READ_00004022	69031	95.87	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00000996	69031	96.47	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00001560	69031	97.06	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00002834	146872	99.61	0.0	Bacteria; Firmicutes; Bacillales; Staphylococcus; Unclassified; otu_1483
AtriplexMicrobiome_READ_00010142	69031	93.87	2e-154	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00007024	146872	98.73	0.0	Bacteria; Firmicutes; Bacillales; Staphylococcus; Unclassified; otu_1483
AtriplexMicrobiome_READ_00003700	69031	96.89	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00004403	29534	89.01	3e-55	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
AtriplexMicrobiome_READ_00005760	69031	96.68	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00007285	69031	96.47	0.0	other sequences; artificial sequences; vectors; otu_4243
AtriplexMicrobiome_READ_00010322	100137	96.51	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Beijerinckia; otu_2132
AtriplexMicrobiome_READ_00008675	146872	100	2e-39	Bacteria; Firmicutes; Bacillales; Staphylococcus; Unclassified; otu_1483
AtriplexMicrobiome_READ_00000363	146872	98.81	0.0	Bacteria; Firmicutes; Bacillales; Staphylococcus; Unclassified; otu_1483
AtriplexMicrobiome_READ_00003330	29534	88.54	9e-53	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
