Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|CAM_READ_0223985235	219934	93.88	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Unclassified; otu_2429
2|CAM_READ_0223803945	207691	96.16	0.0	Bacteria; Unclassified; otu_205
3|CAM_READ_0223828605	161219	94.35	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
4|CAM_READ_0223534771	88772	94.85	0.0	Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Anaeromyxobacter; Unclassified; otu_2896
5|CAM_READ_0224001941	108087	93.26	0.0	Bacteria; Unclassified; otu_205
6|CAM_READ_0223512111	13726	94.92	0.0	Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Thermaerobacter; otu_1771
7|CAM_READ_0223500849	112738	94.39	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
8|CAM_READ_0223297357	1854	94.55	0.0	Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Unclassified; otu_207
9|CAM_READ_0223741559	223032	94.38	0.0	Bacteria; Proteobacteria; Deltaproteobacteria; Syntrophobacterales; Syntrophobacteraceae; Thermodesulforhabdus; otu_2941
10|CAM_READ_0223262677	177523	93.83	0.0	Bacteria; Unclassified; otu_205
11|CAM_READ_0223384425	138694	91	6e-171	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium; Unclassified; otu_2225
12|CAM_READ_0223718193	222313	91.84	0.0	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Streptosporangineae; Thermomonosporaceae; Thermomonospora; otu_600
13|CAM_READ_0223595843	65433	92.75	0.0	Bacteria; Chloroflexi; Dehalococcoidetes; Dehalococcoides; Unclassified; otu_1167
14|CAM_READ_0223888267	192261	92.31	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Ectothiorhodospiraceae; Natronocella; otu_3104
15|CAM_READ_0224019099	204909	95.59	0.0	Bacteria; Gemmatimonadetes; Unclassified; otu_2027
16|CAM_READ_0223311691	136346	96.75	0.0	Bacteria; Actinobacteria; Acidimicrobidae; Unclassified; otu_226
17|CAM_READ_0223672567	204909	94.13	0.0	Bacteria; Gemmatimonadetes; Unclassified; otu_2027
18|CAM_READ_0224052209	101238	88.11	6e-159	Bacteria; Unclassified; otu_205
19|CAM_READ_0223024395	60180	97.54	0.0	Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Holophaga; Unclassified; otu_215
20|CAM_READ_0223396119	204909	93.96	0.0	Bacteria; Gemmatimonadetes; Unclassified; otu_2027
21|CAM_READ_0223157241	60180	96.47	0.0	Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Holophaga; Unclassified; otu_215
22|CAM_READ_0223784051	13726	93.74	0.0	Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Thermaerobacter; otu_1771
23|CAM_READ_0223895881	136346	95.06	0.0	Bacteria; Actinobacteria; Acidimicrobidae; Unclassified; otu_226
24|CAM_READ_0223926147	154294	95.81	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter; Unclassified; otu_2506
25|CAM_READ_0223649081	60174	93.14	0.0	Bacteria; Firmicutes; Bacillales; Paenibacillaceae; Paenibacillus; Unclassified; otu_1444
26|CAM_READ_0224090447	101238	88.05	7e-143	Bacteria; Unclassified; otu_205
27|CAM_READ_0223797231	136346	96.9	0.0	Bacteria; Actinobacteria; Acidimicrobidae; Unclassified; otu_226
28|CAM_READ_0223161847	172612	92.09	6e-149	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Cellulomonadaceae; Cellulomonas; Unclassified; otu_335
29|CAM_READ_0223315813	216606	90.46	3e-132	Bacteria; Thermolithobacter; otu_3579
30|CAM_READ_0223273895	136924	93.86	8e-176	Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Unclassified; otu_207
