Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|WesternChannelOMM_READ_07352995	101111	98.46	3e-137	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
2|WesternChannelOMM_READ_07350408	201142	92.22	1e-96	Bacteria; Planctomycetes; Planctomycetacia; Planctomycetales; Planctomycetaceae; Unclassified; otu_2074
3|WesternChannelOMM_READ_07329881	50807	98.56	1e-108	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Pseudochrobactrum; otu_2165
4|WesternChannelOMM_READ_07349311	67842	89.57	2e-31	Bacteria; Chlamydiae; Chlamydiales; Waddliaceae; Waddlia; Unclassified; otu_1129
5|WesternChannelOMM_READ_07347793	226754	100	1e-47	Bacteria; Proteobacteria; Unclassified; otu_2091
6|WesternChannelOMM_READ_07342859	196857	97.92	1e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
7|WesternChannelOMM_READ_07334240	91272	98.94	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Nitrincola; otu_3267
8|WesternChannelOMM_READ_07348965	221659	96.88	3e-42	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
9|WesternChannelOMM_READ_07354424	226754	96.67	1e-38	Bacteria; Proteobacteria; Unclassified; otu_2091
10|WesternChannelOMM_READ_07349225	8406	93.33	2e-31	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
11|WesternChannelOMM_READ_07350999	112434	96.94	8e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia; Unclassified; otu_3153
15|WesternChannelOMM_READ_07340768	153768	92.55	2e-31	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
17|WesternChannelOMM_READ_07336133	221659	97.87	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
20|WesternChannelOMM_READ_07340481	154145	94.57	4e-35	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Neptunomonas; Unclassified; otu_3306
21|WesternChannelOMM_READ_07343499	154145	94.57	4e-35	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Neptunomonas; Unclassified; otu_3306
25|WesternChannelOMM_READ_07340115	63760	98.96	5e-47	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
26|WesternChannelOMM_READ_07345507	137295	93.48	1e-32	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
27|WesternChannelOMM_READ_07354278	95512	98.9	5e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
30|WesternChannelOMM_READ_07350306	110983	100	3e-48	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Dyella; Unclassified; otu_3457
31|WesternChannelOMM_READ_07338002	221659	98.94	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
33|WesternChannelOMM_READ_07339779	7772	98.94	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Nevskia; otu_3472
34|WesternChannelOMM_READ_07332488	138778	98.89	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
35|WesternChannelOMM_READ_07341195	221659	97.92	5e-44	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
36|WesternChannelOMM_READ_07338901	196857	95.83	7e-40	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
37|WesternChannelOMM_READ_07342044	67775	94.79	7e-37	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
38|WesternChannelOMM_READ_07345978	226754	98.92	3e-45	Bacteria; Proteobacteria; Unclassified; otu_2091
39|WesternChannelOMM_READ_07337463	110983	98.89	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Dyella; Unclassified; otu_3457
40|WesternChannelOMM_READ_07346514	221659	96.81	5e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
41|WesternChannelOMM_READ_07346628	221659	96.81	5e-41	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
42|WesternChannelOMM_READ_07354510	65940	96.7	3e-39	Bacteria; Proteobacteria; Gammaproteobacteria; Cardiobacteriales; Cardiobacteriaceae; Dichelobacter; otu_3059
44|WesternChannelOMM_READ_07350039	87861	97.92	1e-44	Bacteria; Unclassified; otu_205
45|WesternChannelOMM_READ_07340171	226754	95.74	1e-38	Bacteria; Proteobacteria; Unclassified; otu_2091
47|WesternChannelOMM_READ_07352628	221659	97.87	2e-43	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
48|WesternChannelOMM_READ_07329614	221659	98.94	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
49|WesternChannelOMM_READ_07340536	221659	98.94	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
50|WesternChannelOMM_READ_07344985	221659	98.94	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
51|WesternChannelOMM_READ_07350150	132521	98.94	8e-46	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
