Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|WesternChannelOMM_READ_00178688	7772	95.22	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Nevskia; otu_3472
2|WesternChannelOMM_READ_00296300	101111	98.6	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
3|WesternChannelOMM_READ_00081168	101111	98.99	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
4|WesternChannelOMM_READ_00189359	5903	96.33	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Unclassified; otu_2158
5|WesternChannelOMM_READ_00219089	5903	96.48	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Unclassified; otu_2158
6|WesternChannelOMM_READ_00226923	138778	93.3	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
7|WesternChannelOMM_READ_00036204	196857	94.69	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
8|WesternChannelOMM_READ_00181567	138778	92.74	8e-170	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
9|WesternChannelOMM_READ_00087449	83477	96.67	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Coxiellaceae; Coxiella; Unclassified; otu_3231
10|WesternChannelOMM_READ_00087099	83477	96.41	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Coxiellaceae; Coxiella; Unclassified; otu_3231
11|WesternChannelOMM_READ_00272511	53290	100	0.0	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Nocardioidaceae; Aeromicrobium; Unclassified; otu_498
12|WesternChannelOMM_READ_00127618	96014	95.45	4e-162	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
13|WesternChannelOMM_READ_00223239	61204	99.55	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium; Unclassified; otu_2248
14|WesternChannelOMM_READ_00161582	50807	96.96	0.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Pseudochrobactrum; otu_2165
15|WesternChannelOMM_READ_00304521	79767	94.24	1e-180	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
16|WesternChannelOMM_READ_00274629	116532	95.86	2e-170	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Krokinobacter; otu_842
17|WesternChannelOMM_READ_00232150	135194	88.74	9e-114	Bacteria; Unclassified; otu_205
18|WesternChannelOMM_READ_00228413	105331	95.4	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Yeosuana; otu_898
19|WesternChannelOMM_READ_00174799	105331	95.62	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Yeosuana; otu_898
20|WesternChannelOMM_READ_00250287	96014	98.25	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
21|WesternChannelOMM_READ_00248552	119242	99.02	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Cryomorphaceae; Crocinitomix; otu_772
22|WesternChannelOMM_READ_00185500	82792	98.75	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Cryomorphaceae; unclassified Cryomorphaceae; otu_780
23|WesternChannelOMM_READ_00109697	96014	94.8	3e-153	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
24|WesternChannelOMM_READ_00133337	61189	99.72	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Cellulophaga; Unclassified; otu_800
25|WesternChannelOMM_READ_00242817	118817	96.55	0.0	Bacteria; Unclassified; otu_205
26|WesternChannelOMM_READ_00094392	79767	93.65	7e-164	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
27|WesternChannelOMM_READ_00033561	134438	95.12	7e-148	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
28|WesternChannelOMM_READ_00089524	141639	91.86	9e-129	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella; Unclassified; otu_3048
29|WesternChannelOMM_READ_00004398	195962	97.46	0.0	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
30|WesternChannelOMM_READ_00096623	134438	94.82	7e-145	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
31|WesternChannelOMM_READ_00127498	2446	95.34	2e-176	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Psychroserpens; otu_867
32|WesternChannelOMM_READ_00205436	53290	94.86	5e-174	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Nocardioidaceae; Aeromicrobium; Unclassified; otu_498
33|WesternChannelOMM_READ_00001769	79767	92.41	2e-151	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
34|WesternChannelOMM_READ_00115488	108110	94.24	5e-149	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
35|WesternChannelOMM_READ_00002897	58609	95.36	6e-158	Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales; Flexibacteraceae; Roseivirga; otu_996
36|WesternChannelOMM_READ_00050040	213627	95.55	1e-155	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Gelidibacter; Unclassified; otu_831
37|WesternChannelOMM_READ_00068173	18143	93.98	1e-162	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
38|WesternChannelOMM_READ_00077042	18143	93.98	1e-162	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
39|WesternChannelOMM_READ_00067024	18143	93.72	1e-159	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
40|WesternChannelOMM_READ_00293854	95512	92.95	7e-117	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
41|WesternChannelOMM_READ_00206873	164271	91.61	6e-108	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
42|WesternChannelOMM_READ_00284720	79767	92.93	1e-121	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
43|WesternChannelOMM_READ_00163378	79767	92.81	3e-119	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
44|WesternChannelOMM_READ_00021543	65700	93.26	2e-68	Bacteria; Ferribacter; otu_1345
45|WesternChannelOMM_READ_00002294	173611	94.94	4e-112	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Legionellaceae; Legionella; Unclassified; otu_3240
46|WesternChannelOMM_READ_00321097	138778	94.42	5e-108	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
47|WesternChannelOMM_READ_00082242	79767	95.77	6e-120	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
48|WesternChannelOMM_READ_00198526	196857	89.9	3e-91	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
49|WesternChannelOMM_READ_00302028	79767	94.19	8e-101	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
50|WesternChannelOMM_READ_00149717	213627	95.9	2e-113	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Gelidibacter; Unclassified; otu_831
51|WesternChannelOMM_READ_00325625	105331	95.11	4e-99	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Yeosuana; otu_898
52|WesternChannelOMM_READ_00125737	118817	96.79	7e-104	Bacteria; Unclassified; otu_205
53|WesternChannelOMM_READ_00314957	118817	95.28	1e-93	Bacteria; Unclassified; otu_205
54|WesternChannelOMM_READ_00086289	230638	93.27	3e-119	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Azorhizobium; otu_2269
55|WesternChannelOMM_READ_00297208	230638	93.27	3e-119	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Azorhizobium; otu_2269
56|WesternChannelOMM_READ_00196093	79767	97.41	5e-95	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
57|WesternChannelOMM_READ_00075040	61189	99.32	8e-163	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Cellulophaga; Unclassified; otu_800
58|WesternChannelOMM_READ_00148048	61189	98.67	8e-119	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Cellulophaga; Unclassified; otu_800
59|WesternChannelOMM_READ_00303803	101780	95.21	2e-72	Bacteria; Unclassified; otu_205
60|WesternChannelOMM_READ_00222488	101780	94.58	2e-69	Bacteria; Unclassified; otu_205
61|WesternChannelOMM_READ_00325239	2446	97.08	2e-81	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Psychroserpens; otu_867
62|WesternChannelOMM_READ_00165941	101111	98.6	7e-72	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
