Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|CAM_READ_0080262111	7677	99.11	0.0	Bacteria; Unclassified; otu_205
2|CAM_READ_0080734177	11398	94.65	0.0	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Frankineae; Frankiaceae; Unclassified; otu_292
3|CAM_READ_0080212587	7677	94.28	5e-174	Bacteria; Unclassified; otu_205
4|CAM_READ_0080288795	127094	98.65	0.0	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
5|CAM_READ_0080372275	151090	90.57	6e-127	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Legionellaceae; Legionella; Unclassified; otu_3240
6|CAM_READ_0080275709	233692	94.64	1e-165	Eukaryota; Metazoa; Mollusca; Bivalvia; Heteroconchia; Veneroida; Glossoidea; Vesicomyidae; Calyptogena; otu_3817
7|CAM_READ_0080181659	79548	92.97	2e-123	Bacteria; Proteobacteria; Deltaproteobacteria; Unclassified; otu_2787
8|CAM_READ_0080076615	233692	97.85	9e-169	Eukaryota; Metazoa; Mollusca; Bivalvia; Heteroconchia; Veneroida; Glossoidea; Vesicomyidae; Calyptogena; otu_3817
9|CAM_READ_0080679239	7677	95.49	9e-163	Bacteria; Unclassified; otu_205
10|CAM_READ_0080178717	105774	88.51	5e-112	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Pseudonocardineae; Pseudonocardiaceae; Saccharopolyspora; otu_550
11|CAM_READ_0080701387	106179	89.09	5e-115	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
12|CAM_READ_0080596375	8100	91.64	1e-124	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
13|CAM_READ_0080758225	113920	95.84	3e-169	Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylomonas; Unclassified; otu_3258
14|CAM_READ_0080418063	156535	95.69	7e-151	Bacteria; Verrucomicrobia; unclassified Verrucomicrobia; Unclassified; otu_3605
15|CAM_READ_0080568193	125759	94.77	1e-124	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
16|CAM_READ_0080380537	7677	94.23	9e-157	Bacteria; Unclassified; otu_205
17|CAM_READ_0080731163	7677	98.95	2e-154	Bacteria; Unclassified; otu_205
18|CAM_READ_0080100915	106171	94.03	2e-110	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Unclassified; otu_2512
19|CAM_READ_0080766615	113435	94.03	1e-136	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas; Unclassified; otu_3003
20|CAM_READ_0080274209	8100	91.59	3e-122	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
21|CAM_READ_0080707469	50807	95.35	2e-135	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Pseudochrobactrum; otu_2165
22|CAM_READ_0080365707	35504	88.92	2e-114	Bacteria; Firmicutes; Bacillales; Bacillaceae; Bacillus; Unclassified; otu_1368
23|CAM_READ_0080427141	233692	92.53	2e-117	Eukaryota; Metazoa; Mollusca; Bivalvia; Heteroconchia; Veneroida; Glossoidea; Vesicomyidae; Calyptogena; otu_3817
24|CAM_READ_0080119109	123462	98.4	3e-165	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Roseomonas; otu_2200
25|CAM_READ_0080828215	105774	91.73	3e-97	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Pseudonocardineae; Pseudonocardiaceae; Saccharopolyspora; otu_550
26|CAM_READ_0080091423	7677	97.75	8e-135	Bacteria; Unclassified; otu_205
27|CAM_READ_0080730383	63607	95.29	1e-114	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum; Unclassified; otu_2430
28|CAM_READ_0080226603	182959	97.07	6e-117	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geothermobacter; otu_2879
29|CAM_READ_0080240099	233692	94.39	7e-123	Eukaryota; Metazoa; Mollusca; Bivalvia; Heteroconchia; Veneroida; Glossoidea; Vesicomyidae; Calyptogena; otu_3817
30|CAM_READ_0080879079	7677	98.43	5e-133	Bacteria; Unclassified; otu_205
31|CAM_READ_0080715067	233692	98.33	2e-125	Eukaryota; Metazoa; Mollusca; Bivalvia; Heteroconchia; Veneroida; Glossoidea; Vesicomyidae; Calyptogena; otu_3817
32|CAM_READ_0080530061	68979	99.59	7e-135	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter; Unclassified; otu_2876
33|CAM_READ_0080093847	61856	93.01	9e-132	Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Opitutaceae; Opitutus; otu_3614
34|CAM_READ_0080807457	5903	97.04	2e-132	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Unclassified; otu_2158
